Issue key,Issue id,Created,Resolved,Issue Type,Status,Priority,Due Date,Updated,Resolution,Custom field (Story Points),Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint
IBSET-779,2962214,08.10.2025 10:47,,Task,Ready for Release,Major,,13.02.2026 09:37,,5.0,IBSET PI5:2025 Iteration 3&4,IBSET PI5:2025 IP Iteration,IBSET PI1:2026 Iteration1,,,,
IBSET-777,2961841,08.10.2025 09:33,,Task,Backlog,Major,,20.01.2026 15:03,,,,,,,,,
IBSET-758,2921478,09.09.2025 11:20,,Bug,Ready for Release,Major,,08.10.2025 09:58,,,IBSET PI4:2025 Iteration 1,IBSET PI4:2025 Iteration 2,IBSET PI4:2025 Iteration 3,,,,
IBSET-754,2907347,02.09.2025 14:41,,Task,On Hold,Major,,25.02.2026 10:32,,3.0,IBSET PI4:2025 Iteration 3,IBSET PI4:2025 Iteration 4,IBSET PI1:2026 Iteration2,IBSET PI1:2026 Iteration3,,,
IBSET-748,2906432,02.09.2025 12:05,,Task,Ready for Release,Major,,09.12.2025 12:06,,3.0,IBSET PI4:2025 Iteration 4,IBSET PI4:2025 IP Iteration,IBSET PI5:2025 Iteration 1,IBSET PI5:2025 Iteration 2,,,
IBSET-732,2899612,27.08.2025 13:22,,Task,Backlog,Major,,20.01.2026 22:23,,1.0,IBSET PI4:2025 Iteration 1,IBSET PI4:2025 Iteration 2,IBSET PI1:2026 IP Iteration,,,,
IBSET-727,2899603,27.08.2025 13:20,,Story,Backlog,Major,,20.01.2026 15:03,,,,,,,,,
IBSET-718,2899336,27.08.2025 11:39,,Bug,Ready for Release,Major,,01.09.2025 10:06,,,IBSET PI3:2025 IP Iteration,,,,,,
IBSET-717,2898701,27.08.2025 08:12,,Task,Ready for Release,Major,,27.08.2025 14:54,,,IBSET PI3:2025 IP Iteration,,,,,,
IBSET-715,2897185,26.08.2025 10:28,,Task,Ready for Release,Major,,02.09.2025 09:47,,1.0,IBSET PI3:2025 IP Iteration,,,,,,
IBSET-714,2897122,26.08.2025 09:35,,Task,Ready for Release,Major,,26.08.2025 15:10,,1.0,IBSET PI3:2025 IP Iteration,,,,,,
IBSET-711,2895305,25.08.2025 09:05,,Task,Ready for Release,Major,,26.08.2025 08:29,,,IBSET PI3:2025 Iteration 4,,,,,,
IBSET-709,2893554,22.08.2025 09:30,,Task,Ready for Release,Major,,25.08.2025 10:00,,,IBSET PI3:2025 Iteration 4,,,,,,
