Type,Key,Summary,Resolution Date,Open,Ready for Refinement,On Hold,Reopened,Investigation,Backlog,On-hold,Funnel,In Development,Ready for test,In Testing,Refined,Selected for Development,In Progress,Waiting for acceptance,Under Investigation,Done,Abandoned
,SMARTPAY-900,Fix recovery end-point names to have API name in them,2/25/26,4.80h,,,,,,,,1.70h,0.32h,18.03h,,,,,,1512.30h,
,SMARTPAY-899,Recovery creation request execution for valid cases takes a lot of time,2/26/26,24.20h,,,,,,,,22.15h,20.78h,0.10h,,,,,,1487.95h,
,SMARTPAY-898,Update end point getting fraud screening request created for the batch,2/26/26,0.00h,0.03h,,,,,,,22.80h,78.85h,67.10h,,,,,,1488.05h,
,SMARTPAY-897,BH: update end point calculating fraud screening status and end point usage,2/23/26,2.50h,,,,,,,,42.43h,1.33h,76.03h,,,,,,1555.90h,
,SMARTPAY-895,"[DB]Do batch handler db structure cleanup and ""not null"" changes",2/20/26,143.03h,,,,,,,,1.27h,1.00h,22.88h,,,,,,1632.93h,
,SMARTPAY-894,BH-tracker: update batch and payment file status if no status response is needed,2/19/26,1.18h,23.50h,,,,,,,0.00h,98.37h,43.23h,25.33h,,,,,1657.22h,
,SMARTPAY-934,To add new XSD validation file - Batch Handler,,0.00h,1867.37h,,,,,,,,,,,,,,,,
,SMARTPAY-893,Update status-reports Kafka topic,2/18/26,1.45h,18.45h,,1.85h,,,,,48.98h,0.05h,119.77h,,,,,,1677.15h,
,SMARTPAY-892,"[tracker] grafana filter topics requests by type retry,dlt and main",2/10/26,0.00h,,,,,,,,74.02h,25.05h,0.17h,,,,,,1865.38h,
,SMARTPAY-891,BH-tracker: Wrong status provided when creating status report entry,2/16/26,0.00h,21.23h,,,,,,,169.53h,5.37h,71.07h,,,,,,1722.40h,
,SMARTPAY-890,BH-tracker: flow handles rejected payments incorrectly,2/11/26,0.00h,21.82h,,,,,,,4.13h,2.33h,118.13h,,,,,,1843.75h,
,SMARTPAY-888,[ibank] SmartForm Breach of Limits,2/3/26,0.00h,,,,,,,,5.37h,64.32h,21.37h,,,,,,2042.87h,
,SMARTPAY-886,Publishing to fraud screening requests kafka topic does not work,2/2/26,0.00h,78.82h,,,,,,,,,,,,,,,2057.33h,
,SMARTPAY-885,Payment Limit Service - Refactor Limit Usage Classes,2/24/26,263.42h,,,,,,,,0.05h,25.68h,317.18h,,,,,,1530.42h,
,SMARTPAY-884,"Domestic (iBank and STAR) regression testing on Skyvault in EE, LV, LT [26-30.01.2026]",2/11/26,336.47h,,,,,,,,,,,,,,,,,1844.67h
,SMARTPAY-883,"Domestic (iBank and STAR) regression testing on Skyvault in EE, LV,LT Gate [26-30.01]",1/30/26,50.17h,,,,,,,,0.00h,0.00h,1.25h,,,,,,2129.75h,
,SMARTPAY-882,[batch-handler-UI] order certificate for PROD and put to configuration,3/24/26,1321.22h,,,,,,,,,,,,,,,,,860.03h
,SMARTPAY-881,[batch-handler-exp-<new appl name>] order certificate for PROD and put to configuration,,2181.27h,,,,,,,,,,,,,,,,,
,SMARTPAY-880,[batch-handler and tracker] add prod certificate DN name to prod kafka,3/24/26,1321.38h,,,,,,,,,,,,,,,,,860.07h
,SMARTPAY-879,[batch-handler] order certificate for PROD and put to configuration,3/24/26,1321.37h,,,,,,,,,,,,,,,,,860.13h
,SMARTPAY-878,[batch-handler-tracker] order certificate for PROD and put to configuration,3/24/26,1321.37h,,,,,,,,,,,,,,,,,860.13h
,SMARTPAY-877,[batch-handler-data-<new appl name>] order certificate for PROD and put to configuration,,2181.53h,,,,,,,,,,,,,,,,,
,SMARTPAY-873,Create scheduler to find entries in need of recovery,,23.65h,,,64.30h,672.30h,,,,477.33h,800.52h,169.40h,,,,,,,
,SMARTPAY-876,CVUL0074945,2/19/26,57.97h,0.00h,,0.58h,,,,,0.00h,332.12h,0.00h,0.00h,,,,,1655.97h,162.27h
,SMARTPAY-875,CVUL0074524,3/17/26,245.40h,,,,,,,,234.98h,675.97h,21.23h,,,,,,1031.40h,
,SMARTPAY-872,Wrong payment status report value if batch reporting status is not needed,2/4/26,74.77h,,,,,,,,142.73h,0.12h,4.00h,0.00h,,,,,2009.72h,
,SMARTPAY-871,Wrong payment status report value if batch reporting status is not needed,1/26/26,0.20h,,,,,,,,,,,,,,,,,2231.27h
,SMARTPAY-870,BH-tracker: wrong status is provided to fraud screening create API,1/30/26,0.00h,71.85h,,,,,,,22.65h,0.33h,8.08h,,,,,,2129.40h,
,SMARTPAY-869,Payment Limit service - Deprecate usage of PMNT_LIMIT_SERVICE_START sysglobal,1/23/26,0.15h,,,,,,,,0.43h,,,,,,,,2297.70h,
Production bug,SMARTPAY-909,Penetration test finding. Payment Import: Persistent Cross-Site Scripting,3/4/26,0.02h,906.87h,,,,,,,3.20h,23.70h,22.77h,0.00h,,,,,1343.27h,
,SMARTPAY-867,s1.2 - BH-data-manager: create API to update recovery status,2/11/26,120.12h,0.98h,,21.52h,,,,,120.03h,3.12h,6.35h,188.80h,,,,,1843.02h,
,SMARTPAY-866,Technical debt: [ibank] SmartForm Payment Limits Refactoring,2/3/26,289.80h,,,,,,,,,,,,,,,,2034.63h,
