Type,Key,Summary,Resolution Date,Open,Ready for Refinement,On Hold,Reopened,Investigation,Backlog,On-hold,Funnel,In Development,Ready for test,In Testing,Refined,Selected for Development,In Progress,Waiting for acceptance,Under Investigation,Done,Abandoned
,SMARTPAY-544,Testing and data loading coordination for DW,8/5/25,812.58h,,651.80h,,,,,,,0.00h,1485.27h,,,,,,6408.13h,
,SMARTPAY-543,[ibank]Getting restriction from restriction engine too fast causes instant payment progress popup not to be displayed,4/16/25,0.13h,,,,,,,,260.78h,26.65h,20.88h,,,,,,9070.88h,
,SMARTPAY-529,[sepa-exchange] order mtls certs and add to keystore,4/15/25,97.18h,,,,,,,,47.65h,285.52h,0.03h,,,,,,9093.90h,
,SMARTPAY-531,DB: create place to store ISO status reason codes,5/10/25,265.20h,0.00h,,,,,,,1.70h,52.80h,25.13h,692.95h,,,,,8491.25h,
Production bug,SMARTPAY-526,Ibank: Filtering in defined payment is not working,4/22/25,0.00h,43.00h,,,,,,,,,,,,,,,,9552.38h
,SMARTPAY-540,[2025:2.2-BPAY] DB: create tables for fraud screening and status report,4/23/25,68.55h,265.15h,0.98h,,,,,,191.35h,,,166.77h,,,,,8904.77h,
Production bug,SMARTPAY-523,"There is not possible to cancel payment in IBANK, <label id=""ee.hansa.bank.payments.PaymentValidationException:invalidPaymentStatus"">",4/2/25,1.00h,3.07h,,,0.05h,,,,92.18h,68.98h,52.13h,,,,,,9405.98h,
,SMARTPAY-541,7. Tracker: Update payment status and get actions,3/2/26,161.70h,265.12h,1110.58h,,,,,,175.72h,5008.87h,167.50h,1364.77h,,,,,1388.45h,
,SMARTPAY-532,10. Tracker: Initiate fraud screening request,2/13/26,161.85h,267.33h,892.98h,793.03h,,,,,61.30h,4059.95h,90.87h,1474.05h,,,,,1793.48h,
,SMARTPAY-522,[restriction-engine] logging to rest API timing,4/28/25,0.00h,,,,,,,,838.92h,3.58h,69.43h,,,,,,8780.93h,
Production bug,SMARTPAY-524,STAR: print transactions show misleading message,3/31/25,118.43h,,,,,,,,3.28h,1.32h,120.53h,,,,,,9452.17h,
,SMARTPAY-539,5. Data manager: Create API to get Payment file data,5/30/25,234.87h,267.23h,,,,,,,48.57h,380.43h,2.02h,818.48h,,,,,8012.30h,
Production bug,SMARTPAY-520,LV issue with beneficiary residence country and payment balance code,4/30/25,0.03h,172.47h,,41.88h,0.17h,,,,593.02h,185.48h,61.03h,,,,,,8737.07h,
,SMARTPAY-518,[DB] Domestic Payments - Outgoing search - preset search changes,4/11/25,1.95h,,,,,,,,502.20h,1.45h,102.77h,,,,,,9187.07h,
Production bug,SMARTPAY-519,Beneficiary bank name is not retrieved from the system for SEPA cross border payments in STAR,4/3/25,90.42h,,,0.02h,,,,0.15h,164.38h,169.58h,48.97h,,,,,,9385.82h,
,SMARTPAY-517,[DB] create new error codes for restriction engine support,3/17/25,0.10h,,,,,,,,68.50h,6.52h,1.17h,,,,,,9785.95h,
Production bug,SMARTPAY-516,Mass payments: user without spec right can see mass payment,4/2/25,0.00h,237.50h,,,,,,,7.97h,95.48h,119.62h,,,,,,9403.38h,
Production bug,SMARTPAY-514,[STAR - light-java] missing payment information on printing before Authorization,,9909.38h,,,,,,,,,,,,,,,,,
Production bug,SMARTPAY-513,Lexus db archiving error (def_payments_log table),3/20/25,0.07h,,,,,,,,0.68h,43.52h,,,,,,,9912.77h,
,SMARTPAY-512,STAR: in PDF payer's address should not be printed for European payment in LT,3/13/25,0.05h,23.63h,,,,,,,31.20h,0.02h,22.83h,,,,,,9883.07h,
Production bug,SMARTPAY-511,[MT101] Transaction cannot be created to IDXOLV22 incoming MT101,3/21/25,0.00h,140.83h,,,,,,,3.62h,21.62h,168.52h,,,,,,9696.75h,
,SMARTPAY-510,Update automated regression test with IPR Instant payment blocking test cases,,10056.05h,,,,,,,,,,,,,,,,,
,SMARTPAY-509,Order TEST server and DB,4/11/25,530.88h,,,,,,,,358.03h,,,,,,,,9194.45h,
,SMARTPAY-534,9. [Blocker for VDE19-86] Tracker: Create Kafka topic to send fraud screening request to BH worker,6/11/25,666.00h,267.27h,,21.52h,,,,,358.42h,217.30h,53.28h,889.13h,,,,,7722.08h,
,SMARTPAY-535,8. Tracker: Initiate status report creation,2/17/26,666.08h,267.22h,989.97h,793.02h,,,,,38.45h,4112.80h,38.27h,1540.80h,,,,,1700.48h,
,SMARTPAY-537,2. [Blocker for VDE19-86] Data manager: Create API to store fraud screening request,5/7/25,666.60h,267.13h,,,,,,,239.05h,51.68h,24.60h,407.22h,,,,,8515.35h,
,SMARTPAY-542,1. [Blocker for VDE19-271] Data manager: Create API to store status report information,5/7/25,667.78h,267.05h,,,,,,,82.62h,282.57h,0.42h,327.58h,,,,,8568.80h,
,SMARTPAY-533,4. Data manager: Create API to update payment status and check if response is needed,12/1/25,695.80h,267.00h,3032.90h,89.25h,,,,,636.83h,247.97h,944.88h,739.77h,,,,,3570.42h,
,SMARTPAY-538,1. Create worker-payment-batch-handler-tracker application,5/16/25,695.92h,264.78h,,,,,,,137.85h,0.17h,,839.70h,,,,,8262.55h,
,SMARTPAY-536,6. [Blocker for VDE19-271] Tracker: Create Kafka topic to request status report creation,5/30/25,695.95h,264.97h,256.93h,0.28h,,,,,148.75h,148.25h,1.53h,695.77h,,,,,8012.53h,
,SMARTPAY-499,STAR: wrong PDF printed for international payments in LT and EE,3/12/25,0.00h,140.68h,,108.28h,,,,,170.45h,2.08h,36.28h,0.90h,,,,,9906.07h,
,SMARTPAY-498,[DB] create new column in PAYMENTS schema,2/26/25,93.88h,,,,,,,0.05h,0.00h,24.05h,0.08h,,,,,,10249.50h,
,SMARTPAY-497,[sepa-exchange] create API pool for connecting to MDM,3/21/25,23.78h,,,,,,,,424.07h,216.58h,32.03h,,,,,,9688.78h,
,SMARTPAY-546,DB: create new error code for fraudulent transactions,4/17/25,1127.47h,0.00h,,,,,,,0.00h,52.57h,2.73h,162.20h,,,,,9043.07h,
,SMARTPAY-496,Open firewalls for Kafka - PROD,9/18/25,0.02h,0.00h,,,,,,,2.22h,,,5038.42h,,,,,5350.90h,
,SMARTPAY-495,STAR: cross-border SEPA printout has beneficiary address twice in LT,2/25/25,0.00h,23.88h,,,,,,,2.47h,117.07h,7.35h,,,,,,10266.10h,
,SMARTPAY-493,Setup DB changes deployment in application.,4/22/25,4.73h,,,,,,,,520.27h,,,,,,,,10083.42h,
,SMARTPAY-492,Decimal places not displayed if amount for defined payment is a whole number,2/21/25,171.65h,70.80h,,,,,,,0.00h,23.38h,0.12h,,,,,,10365.33h,
,SMARTPAY-491,[payment-order-validator] Perform analysis of existing validations in Java and Oracle procedures,4/22/25,0.00h,,,,,,,,597.80h,18.50h,,,,,,,10081.85h,
Production bug,SMARTPAY-490,Pagination feature layout,2/26/25,287.63h,,,,2.18h,,,,44.07h,98.88h,43.38h,,,,,,10247.90h,
Production bug,SMARTPAY-489,DB: Error in PVRT0034 step in LV_ARCH,2/10/25,0.00h,0.78h,,,,,,,0.47h,94.28h,0.67h,,,,,,10633.07h,
Production bug,SMARTPAY-488,Wrong tab name in domestic defined payment form LV,2/11/25,42.82h,,,,,,,,4.10h,67.52h,29.88h,,,,,,10603.17h,
,SMARTPAY-487,Create DB structure,3/31/25,812.77h,,,,,,,,625.05h,,,,,,,,9458.33h,
,SMARTPAY-486,Configure DB,4/22/25,1008.38h,,,,,,,,,,,,,,,,,9887.78h
,SMARTPAY-485,Order DEV server and DB,3/5/25,812.82h,,,,,,,,,,,,,,,,10083.37h,
,SMARTPAY-484,"Open firewalls for Kafka - TEST, DEV",2/20/25,341.90h,,118.33h,,,,,,44.63h,0.00h,0.00h,,,,,,10391.53h,
,SMARTPAY-478,Provide option of regular payment,4/22/25,1534.80h,,,,,,,,,,,,,,,,,9384.85h
,SMARTPAY-472,Analyze business requirements of Temporary block for IP,3/31/25,383.73h,,,,498.28h,,,,0.00h,170.15h,429.40h,,,,,,9457.57h,
,SMARTPAY-480,[ibank-standing-massPayments list] check for vulnerability,4/17/25,504.93h,0.00h,,,0.00h,,,,333.20h,525.07h,23.30h,628.57h,,,,,9049.98h,
,SMARTPAY-482,[ibank-standing-e-invoices] check for vulnerability,10/3/25,504.95h,0.00h,,,0.00h,,,,,,,5567.08h,,,,,4993.07h,
,SMARTPAY-481,[ibank-standing-orders] check for vulnerability,4/17/25,504.97h,0.00h,,,0.00h,,,,124.15h,190.48h,23.60h,1172.20h,,,,,9049.68h,
,SMARTPAY-479,[ibank-list-of-payments] check for vulnerability,4/3/25,504.98h,0.00h,,,0.00h,,,,71.15h,,,1101.03h,,,,,9387.93h,
,SMARTPAY-471,S-3.2. Implement monitoring solution for restriction engine,6/30/25,1201.23h,0.00h,,,,,,,265.33h,241.42h,0.98h,2112.42h,,,,,7267.87h,
,SMARTPAY-470,[sepa-exchange] implement restriction-engine for Instant payment,4/17/25,696.45h,119.33h,,24.60h,,,,,556.48h,67.08h,581.62h,,,,,,9043.70h,
,SMARTPAY-468,Stop archiving def_mk table in LT and EE,1/24/25,0.02h,17.67h,,,,,,,0.00h,49.75h,0.03h,,,,,,11039.90h,
,SMARTPAY-469,Create database for Batch handler,4/22/25,1248.72h,,,,,,,,,,,,,,,,,9887.75h
,SMARTPAY-467,Performance issues while querying data for cart of payments/GIRO payment part,4/22/25,96.80h,,,,,,,,,,,,,,,,,11040.10h
,SMARTPAY-466,DB: update payment_bookmark table to use new def_payment ids in LT,1/24/25,0.02h,18.32h,,,,,,,0.43h,120.98h,45.42h,,,,,,11040.13h,
,SMARTPAY-465,[core-payment-order-validator] create DB user AND ROLE,2/3/25,336.82h,,,,,,,,93.73h,0.00h,0.00h,,,,,,10797.08h,
,SMARTPAY-464,[core-payment-order-validator] configure DB pool connections,2/3/25,0.05h,,,,,,,,455.82h,0.00h,0.00h,,,,,,10797.03h,
,SMARTPAY-463,[core-payment-order-validator] alert grafana,1/15/25,3.20h,,,,,,,,,,,,,,,,11253.12h,
,SMARTPAY-461,[core-payment-order-validator] configure certificates for PROD,2/3/25,0.28h,,,,,,,,575.60h,0.00h,0.00h,,,,,,10797.08h,
,SMARTPAY-459,"Remove sysglobal from code - ibank, STAR",1/16/25,0.02h,,,,,,,,0.00h,95.78h,78.67h,,,,,,11225.83h,
Production bug,SMARTPAY-458,[ibank]penetration finding FIN0002084,3/7/25,164.03h,,,160.32h,,,,,725.17h,165.73h,99.43h,78.10h,,,,,10027.85h,
,SMARTPAY-457,[core-payment-order-validator] configure application certs test and dev,1/10/25,0.02h,,,,,,,,47.77h,0.00h,0.00h,,,,,,11373.23h,
,SMARTPAY-456,[core-payment-order-validator] configure certificates for DEV TEST,1/8/25,2.77h,,,,,,,,,,,,,,,,11421.50h,
Production bug,SMARTPAY-455,"[ibank]penetration finding FIN0002082, FIN0002080, FIN0002081, FIN0002083",3/11/25,0.07h,,,1.78h,,,,,700.17h,229.60h,243.55h,319.07h,,,,,9930.80h,
Production bug,SMARTPAY-443,[ibank] SmartForm CorporatePaymentException:invalidAction,2/19/26,0.05h,,,,,,,,958.98h,0.00h,0.00h,10536.32h,,,,,0.00h,
,SMARTPAY-441,iBank: Missing translations for defined payments filtering button,12/18/24,0.32h,,,,,,,,0.88h,1.00h,1.75h,,,,,,11922.95h,
,SMARTPAY-440,Request VPN3 access,1/3/25,19.82h,,,,,,,,0.93h,0.00h,0.00h,,,,378.65h,,11545.90h,
,SMARTPAY-438,DB: fix lexus db def_payments_log archiving,12/18/24,0.55h,0.00h,,,,,,,0.05h,137.97h,23.85h,0.00h,,,,,11929.20h,
,SMARTPAY-437,Update sysglobal PAYMENT_HIGH_RISK_PRICING_DATE,12/12/24,0.00h,0.78h,,,,,,,,,,120.02h,,,46.42h,,12073.72h,0.00h
Production bug,SMARTPAY-442,Manipulating payment ID value for mass payment link in list of payments allows to see other customer mass payment data,2/21/25,354.25h,0.02h,,91.18h,,,,,880.37h,237.23h,92.73h,234.20h,,,,,10368.32h,
,SMARTPAY-436,STAR using wrong PDF blank for domestic payments (with sysglobal SINGLE FORM ON),2/10/25,408.93h,,1107.12h,,,,,,68.38h,0.10h,103.20h,,,,,,10625.10h,
,SMARTPAY-435,DB: technical preparation for defined payments migration,12/5/24,0.28h,0.00h,,,,,,,1.22h,122.50h,23.18h,0.00h,,,,,12238.40h,
,SMARTPAY-434,[payment-order-validator][andromeda repo] local active profile,12/17/24,365.02h,0.00h,,,,,,,94.08h,0.00h,0.00h,0.00h,,,,,11950.25h,
,SMARTPAY-433,[payment-order-validator] [andromeda] need to cteate first commit to repository,12/12/24,336.20h,0.00h,,,,,,,0.00h,0.00h,0.00h,0.00h,,,,,12073.75h,
,SMARTPAY-432,[payment-order-validator][jira task] create component id for new application,1/15/25,342.28h,0.00h,461.75h,,,,,,349.00h,,,0.00h,,,,,11256.75h,0.18h
,SMARTPAY-431,[payment-order-validator][andromeda tasks] create repository for application,12/12/24,172.20h,0.00h,,,,,,,70.80h,0.00h,0.00h,93.28h,,,,,12073.73h,
,SMARTPAY-426,"[DB] :[SINGLE FORM ON] Print Transactions, update PDFs used for EU cross-border payments",4/22/25,0.08h,0.00h,,,,,,,24.92h,,,0.00h,,,,,,12454.42h
,SMARTPAY-425,S5.3. - ibank: remove curtain of listed bank defined payments,12/10/24,0.00h,137.65h,,,,,,,50.42h,263.38h,3.72h,0.00h,,,,,12115.98h,
,SMARTPAY-427,Aleksej task - send additional parameter of payment type,4/22/25,121.47h,0.00h,,,0.00h,,,,46.42h,,,29.32h,,,,,,12403.70h
,SMARTPAY-418,Beneficiary´s residence country is Latvia in Smart form (LV),12/4/24,89.35h,0.00h,,,,,,,71.13h,150.85h,142.57h,0.00h,,,,,12260.15h,
,SMARTPAY-422,Create NameSpace,1/30/25,1845.48h,,,,,,,,,,,,,,,,10896.38h,
,SMARTPAY-421,Onboarding to Andromeda,2/17/25,2014.60h,,,,,,,,148.08h,18.67h,0.00h,,,,,,10461.58h,98.90h
,SMARTPAY-420,Onboarding to CI/CD,1/30/25,1845.47h,,,,,,,,,,,,,,,,10896.40h,
,SMARTPAY-423,Create BitBucket repository,4/22/25,1611.38h,,,,,,,,407.48h,162.50h,,,,,,,,10560.50h
,SMARTPAY-419,Order firewall openings,1/30/25,1845.43h,,,,,,,,,,,,,,,,10896.47h,
,SMARTPAY-417,[CORE DB] Backup Restore testing for Instant Payments Baltic (W871),11/21/24,192.95h,0.00h,,,,,,,,0.00h,0.38h,0.00h,,,,,12572.47h,
,SMARTPAY-416,[CORE DB] Backup Restore testing for SEPA Payments Baltic (W668),11/21/24,193.18h,0.00h,,,,,,,,0.00h,0.28h,0.00h,,,,,12572.57h,
,SMARTPAY-415,[CORE DB] Backup Restore testing for Giro Payments (W718),11/21/24,193.52h,0.00h,,,,,,,,0.00h,0.18h,0.00h,,,,,12572.68h,
Production bug,SMARTPAY-414,Error in Domestic payment form Beneficiary name,11/26/24,4.75h,0.00h,,,71.33h,,,,95.87h,70.02h,93.05h,0.00h,,,,,12455.48h,
Production bug,SMARTPAY-413,Payment file gets technical error upon uploading to iBank,11/13/24,0.08h,16.82h,,,,,,,23.98h,0.62h,4.42h,0.00h,,,,,12763.92h,
,SMARTPAY-410,"[DB - LV,EE] fix procedure for domestic payments creation",11/12/24,17.88h,0.00h,,,,,,,1.83h,0.00h,0.00h,0.00h,,,,,12792.05h,
,SMARTPAY-547,Represent stopped fraudulent payment,5/14/25,3552.90h,0.00h,,,,,,,219.57h,2.37h,169.40h,474.27h,,,,,8394.85h,
,SMARTPAY-548,handle fraud screening results from OFD broker,5/14/25,3554.08h,0.00h,,,,,,,212.12h,0.87h,31.63h,621.57h,,,,,8394.10h,
,SMARTPAY-409,"iBank - Unstructured address country appeared for Correspondent bank, Intermediary bank",11/13/24,0.02h,0.00h,,,,,,,26.48h,3.52h,23.75h,64.93h,,,,,12763.78h,
,SMARTPAY-407,"[DB - LV,EE] fix procedure for domestic standing order creation and view",11/12/24,13.25h,0.00h,,,,,,,96.45h,0.85h,0.00h,0.00h,,,,,12793.38h,
Production bug,SMARTPAY-406,[ibank] High risk PEN finding on payments List - FIN0002037,12/3/24,0.00h,0.00h,,,,,,,472.95h,53.25h,121.70h,0.00h,,,,,12282.90h,
Production bug,SMARTPAY-405,STAR bug in initiating MT941/942 statements. last chosen time disappears.,11/13/24,0.00h,20.30h,,0.43h,,,,,9.45h,119.25h,44.40h,0.00h,,,,,12762.35h,
Production bug,SMARTPAY-404,[ibank] High risk PEN finding on einvoices - FIN0002036,11/28/24,0.02h,0.00h,,,0.00h,,,,81.48h,332.17h,167.15h,0.00h,,,,,12404.62h,
,SMARTPAY-403,Vulanarabilities CVE-2023-20873 spring-boot-actuator-autoconfigure,3/24/26,0.00h,0.00h,5504.53h,,0.00h,,,,6718.65h,,,0.00h,,,,,857.63h,
,SMARTPAY-402,Vulnerabilities CVE-2023-2976 and CVE-2020-8908 with Guava,12/20/24,0.00h,0.00h,,,,,,,479.70h,0.00h,24.28h,717.55h,,,,,11879.70h,
,SMARTPAY-401,S5.3. - iBank: defined and bank defined menu should be visible in menu list (with no functionality inside them),12/12/24,0.00h,19.80h,,1.95h,,,,,42.48h,436.47h,43.48h,534.43h,,,,,12070.45h,
,SMARTPAY-400,DB: create package for defined payments new table,10/30/24,0.05h,0.00h,,,,,,,118.77h,26.07h,0.02h,0.00h,,,,,13104.78h,
,SMARTPAY-399,[EPE] Outgoing payment fee - counterparty country indicator,10/31/24,0.15h,0.00h,,,,,,,0.45h,15.63h,217.23h,0.00h,,,,,13081.22h,
,SMARTPAY-398,[DB] Outgoing payment fee - standing orders,10/31/24,18.43h,0.00h,,,,,,,0.07h,0.20h,216.93h,0.00h,,,,,13081.22h,
,SMARTPAY-397,"STAR-LIGHJAVA :[SINGLE FORM ON] Print Transactions, update PDFs used for EU cross-border payments",12/2/24,0.00h,0.00h,,100.73h,,,,,579.90h,140.23h,287.88h,0.00h,,,,,12307.42h,
,SMARTPAY-396,STAR: [SINGLE FORM ON] Foreign payments update PDFs used for EU cross-border payments,11/11/24,0.00h,0.00h,,,,,,,25.93h,339.45h,233.78h,0.00h,,,,,12817.37h,
,SMARTPAY-424,IBAN & Name Check reject code change,1/10/25,0.40h,1182.10h,,,,,,,0.77h,70.27h,517.45h,470.05h,,,,,11364.05h,
,SMARTPAY-393,CVUL0056490,3/24/26,12800.58h,,,,,,,,,,,,,,,,857.67h,
,SMARTPAY-392,CVUL0058619,1/13/25,2360.10h,,,,,,,,,,,,,,,,11298.15h,
,SMARTPAY-391,CVUL0056419,3/24/26,12800.58h,,,,,,,,,,,,,,,,857.68h,
,SMARTPAY-390,CVUL0058656,3/24/26,12800.58h,,,,,,,,,,,,,,,,857.68h,
,SMARTPAY-388,CVUL0056148,3/24/26,12800.58h,,,,,,,,,,,,,,,,857.70h,
,SMARTPAY-387,commons-text library vulnerability CVUL0056054,10/30/24,219.97h,0.00h,,,0.00h,,,,69.85h,265.20h,0.00h,0.00h,,,,,13103.25h,
,SMARTPAY-386,Hsqldb library vulnerability CVUL0056752,10/30/24,267.67h,0.00h,,,,,,,1.55h,285.80h,0.00h,0.00h,,,,,13103.23h,
,SMARTPAY-385,CVUL0056194,3/24/26,12800.57h,,,,,,,,,,,,,,,,857.70h,
,SMARTPAY-384,CVUL0057322,3/24/26,12800.57h,,,,,,,,,,,,,,,,857.72h,
,SMARTPAY-383,CVUL0056171,3/24/26,12800.55h,,,,,,,,,,,,,,,,857.72h,
,SMARTPAY-382,CVUL0056426,3/24/26,12800.53h,,,,,,,,,,,,,,,,857.75h,
,SMARTPAY-381,CVUL0056316,3/24/26,12800.60h,,,,,,,,,,,,,,,,857.77h,
,SMARTPAY-380,CVUL0056617,3/24/26,12800.58h,,,,,,,,,,,,,,,,857.77h,
,SMARTPAY-379,CVUL0056121,3/24/26,12800.58h,,,,,,,,,,,,,,,,857.77h,
,SMARTPAY-378,CVUL0056075,3/24/26,12800.58h,,,,,,,,,,,,,,,,857.78h,
,SMARTPAY-377,CVUL0056058,3/24/26,12800.58h,,,,,,,,,,,,,,,,857.78h,
,SMARTPAY-376,jackson-databind library vulnerability CVUL0056645,11/12/24,553.90h,0.00h,,,,,,,,311.35h,0.00h,0.00h,,,,,12793.12h,
,SMARTPAY-375,jackson-databind library vulnerability CVUL0056861,11/12/24,553.90h,0.00h,,,,,,,,311.35h,0.00h,0.00h,,,,,12793.12h,
,SMARTPAY-374,jackson-databind library vulnerability CVUL0056398,11/12/24,553.90h,0.00h,,,,,,,,311.37h,0.00h,0.00h,,,,,12793.10h,
,SMARTPAY-373,jackson-databind library vulnerability CVUL0056397,11/12/24,553.92h,0.00h,,,,,,,,311.35h,0.00h,0.00h,,,,,12793.12h,
,SMARTPAY-372,CVUL0056256,3/24/26,12800.60h,,,,,,,,,,,,,,,,857.80h,
,SMARTPAY-371,CVUL0056362,3/24/26,12800.60h,,,,,,,,,,,,,,,,857.80h,
,SMARTPAY-370,jackson-databind library vulnerability CVUL0056349,11/12/24,553.92h,0.00h,,,,,,,,311.37h,0.00h,0.00h,,,,,12793.12h,
,SMARTPAY-369,jackson-databind library vulnerability CVUL0057047,11/12/24,553.92h,0.00h,,,,,,,,311.37h,0.00h,0.00h,,,,,12793.12h,
,SMARTPAY-368,CVUL0056821,3/24/26,12800.60h,,,,,,,,,,,,,,,,857.82h,
,SMARTPAY-367,CVUL0056047,3/24/26,12800.60h,,,,,,,,,,,,,,,,857.82h,
,SMARTPAY-366,CVUL0056934,3/24/26,12800.58h,,,,,,,,,,,,,,,,857.83h,
,SMARTPAY-365,CVUL0056217,3/24/26,12800.58h,,,,,,,,,,,,,,,,857.83h,
,SMARTPAY-364,CVUL0056996,3/24/26,12800.57h,,,,,,,,,,,,,,,,857.85h,
,SMARTPAY-363,CVUL0056146,3/24/26,12800.57h,,,,,,,,,,,,,,,,857.85h,
,SMARTPAY-362,CVUL0056138,3/24/26,12800.57h,,,,,,,,,,,,,,,,857.87h,
,SMARTPAY-361,CVUL0056137,3/24/26,12800.55h,,,,,,,,,,,,,,,,857.87h,
,SMARTPAY-360,CVUL0056216,3/24/26,12800.55h,,,,,,,,,,,,,,,,857.88h,
,SMARTPAY-359,CVUL0056439,3/24/26,12800.53h,,,,,,,,,,,,,,,,857.90h,
,SMARTPAY-358,CVUL0056462,3/24/26,12800.50h,,,,,,,,,,,,,,,,857.93h,
,SMARTPAY-357,CVUL0056470,3/24/26,12800.50h,,,,,,,,,,,,,,,,857.95h,
,SMARTPAY-356,CVUL0056266,3/24/26,12800.47h,,,,,,,,,,,,,,,,857.97h,
,SMARTPAY-355,CVUL0056163,3/24/26,12800.45h,,,,,,,,,,,,,,,,858.00h,
,SMARTPAY-354,CVUL0057236,3/24/26,12800.43h,,,,,,,,,,,,,,,,858.02h,
,SMARTPAY-353,CVUL0056028 com.thoughtworks.xstream_xstream version 1.4.14 has 32 vulnerabilities,11/1/24,167.82h,0.00h,,,,,,,167.73h,271.85h,0.00h,0.00h,,,,,13051.00h,0.03h
,SMARTPAY-352,CVUL0056026,3/24/26,12800.47h,,,,,,,,,,,,,,,,858.02h,
,SMARTPAY-348,"STAR-LIGHJAVA :[SINGLE FORM OFF] Print Transactions, update PDFs used for EU cross-border payments",10/17/24,0.00h,0.00h,,0.18h,,,,,95.98h,201.97h,116.23h,0.00h,,,,,13411.28h,
Production bug,SMARTPAY-428,[REGR] Payment should fail in case bank-components decide to rollback transaction,12/16/24,1437.10h,32.42h,,,,,,,161.38h,191.00h,95.38h,1.70h,,,,,11973.08h,
Production bug,SMARTPAY-347,No any pricelists are visible in STAR (Administrative - Pricing - Product administration),9/26/24,1.67h,0.00h,,,,,,,0.55h,0.60h,0.53h,0.00h,,,,,13916.97h,
,SMARTPAY-346,STAR: use the same PDF for both foreign and domestic SOA in EE,10/8/24,19.23h,0.00h,,,,,,,118.90h,,,169.10h,,,,,,13633.47h
Test,SMARTPAY-326,"[iBank] Non-SEPA payment that is pending for funds, High risk enabled, funds received to make the payment (IBAN, Clearing code, Unstructured address)",11/21/24,1745.18h,0.00h,,,0.00h,,,,,,,,,,,,12577.50h,
Test,SMARTPAY-325,"[iBank] SEPA payment that is pending for funds, High risk enabled, funds received to make the payment (IBAN, Clearing code, Unstructured address)",11/21/24,1745.20h,,,,,,,,,,,,,,,,12577.52h,
Test,SMARTPAY-324,"[iBank] Non-SEPA payment with future value date, High risk enabled before execution (IBAN, Clearing code, Unstructured address)",11/21/24,1745.25h,,,,,,,,,,,,,,,,12577.47h,
Test,SMARTPAY-323,"[iBank] SEPA payment with future value date, High risk enabled before execution (IBAN, Clearing code, Unstructured address)",11/21/24,1745.20h,,,,,,,,,,,,,,,,12577.52h,
Test,SMARTPAY-322,"[iBank] Non-SEPA payment created before High risk enabled, manual payment execution after High risk enabled (IBAN, Clearing code, Unstructured address)",11/21/24,1745.20h,,,,,,,,,,,,,,,,12577.53h,
Test,SMARTPAY-321,"[iBank] SEPA payment created before High risk enabled, manual payment execution after High risk enabled (IBAN, Clearing code, Unstructured address)",11/21/24,1745.20h,,,,,,,,,,,,,,,,12577.53h,
Test,SMARTPAY-320,"[iBank] Non-SEPA payment with High risk country enabled, country not on the High risk countries list (IBAN, Clearing code, Unstructured address)",11/21/24,1745.20h,,,,,,,,,,,,,,,,12577.53h,
Test,SMARTPAY-319,"[iBank] SEPA payment with High risk country enabled, country not on the High risk countries list (IBAN, Clearing code, Unstructured address)",11/21/24,1745.20h,,,,,,,,,,,,,,,,12577.53h,
Test,SMARTPAY-318,"[iBank] Non-SEPA payment with High risk country enabled, specific High risk country selected (IBAN, Clearing code, Unstructured address)",11/21/24,1745.20h,,,,,,,,,,,,,,,,12577.53h,
Test,SMARTPAY-317,"[iBank] SEPA payment with High risk country enabled, specific High risk country selected (IBAN, Clearing code, Unstructured address)",11/21/24,1745.20h,,,,,,,,,,,,,,,,12577.53h,
Production bug,SMARTPAY-315,User gets Technical error during creation of payment report in STAR,9/19/24,26.05h,0.00h,,,,,,,455.50h,358.07h,29.48h,0.00h,,,,,14082.78h,
,SMARTPAY-313,[iBank]Overwriting payment details in salary payment from list of payments makes payment deletion not possible,8/13/24,3.88h,0.00h,,,,,,,,16.95h,5.08h,0.00h,,,,,14972.78h,
Production bug,SMARTPAY-312,Ibank: mass defined payment - tech error when details of one or more beneficiaries were corrected,8/13/24,64.55h,0.00h,,,,,,,3.07h,1.38h,21.38h,0.00h,,,,,14976.82h,
Production bug,SMARTPAY-311,[Ibank] Mass payment details can not be overwritten in mass payments Edit page,8/9/24,0.00h,0.53h,,,,,,,1.22h,3.58h,0.62h,0.00h,,,,,15066.05h,
Production bug,SMARTPAY-310,Ibank: overwriting issue on creating consolidated payment,8/9/24,1.03h,0.00h,,,,,,,11.30h,0.43h,7.52h,0.00h,,,,,15066.70h,
,SMARTPAY-309,Ibank: overwriting issue on creating consolidated payment,8/8/24,0.02h,,,,,,,,,,,,,,,,,15087.23h
Production bug,SMARTPAY-308,Beneficiary does not open in mass payment opened from payment list,8/14/24,0.05h,0.00h,,,,,,,13.98h,103.17h,23.92h,0.00h,,,,,14946.73h,
Production bug,SMARTPAY-307,ibank: issue on creating consolidated payment and defined consolidated payment,8/8/24,3.67h,0.00h,,,,,,,2.47h,2.18h,0.38h,0.00h,,,,,15087.32h,
Production bug,SMARTPAY-306,EE: in group account statement .csv file format shows ? instead of -,8/5/24,2.32h,0.68h,,,,,,,2.67h,0.55h,163.72h,66.82h,,,,,15170.42h,
,SMARTPAY-304,[iso-exchange] fix logread batch openshift timezone,8/19/24,0.15h,0.00h,,,,,,,0.20h,623.43h,0.00h,0.00h,,,,,14832.27h,
