Type,Key,Summary,Resolution Date,Open,Ready for Refinement,Investigation,Reopened,On Hold,Backlog,To Do,Refined,In Development,Ready for test,In Testing,In Progress,Waiting for acceptance,Done,Abandoned,,,
Production bug,EASYPAY-1476,"[IBank] Can submit a payment, with an empty ""Amount"" field",3/19/26,667.32h,0.00h,,,243.42h,,,0.07h,294.38h,47.78h,0.03h,,,978.25h,,,,
,EASYPAY-1412,"[FLM | Validate and Enrich] TEST Ultimate party address without name (RTGS, FPO)",2/19/26,0.00h,595.40h,0.20h,,,,,0.00h,,50.35h,1.37h,,,1651.22h,,,,
Bug Sub-Task,EASYPAY-1369,Incorrect creditor postal address conversion for pain.001.001.03,2/3/26,0.73h,0.00h,0.13h,,,,,0.00h,169.40h,64.50h,26.58h,,,2039.43h,,,,
,EASYPAY-1367,[STAR] update existing SEPA domestic payments to a hybrid postal address,,0.08h,2327.60h,,,,,,,,,,,,,,,,
,EASYPAY-1366,BH-worker: publish Key value to Kafka message,2/4/26,0.00h,24.43h,,,,,,0.00h,288.18h,29.55h,0.02h,,,2011.38h,,,,
,EASYPAY-1361,[DB] Remove Foreign Key from SWIFT table,2/3/26,0.00h,144.10h,0.58h,,,,,0.08h,4.55h,67.57h,120.90h,,,2040.05h,,,,
,EASYPAY-1408,BH-data-manager: create Kafka topic to request recovery,2/17/26,212.70h,22.62h,,,,,,123.73h,331.52h,8.05h,0.00h,,,1698.08h,,,,
,EASYPAY-1362,GRPC services return value 0 instead of null,1/23/26,0.00h,19.80h,,,,,,2.12h,29.77h,14.83h,31.30h,,,2299.37h,,,,
,EASYPAY-1399,Instant payment limits in List of Payments,,264.42h,137.48h,2065.78h,,,,,,,,,,,,,,,
,EASYPAY-1357,Ibank: we're providing userId instead of coreId in mock page signatures information block,1/23/26,0.72h,93.97h,,,,,,26.43h,21.65h,24.63h,0.32h,,,2304.23h,,,,
,EASYPAY-1370,[iBank] Cannot access International payment tab,1/26/26,0.00h,0.67h,,,,,,0.00h,1.52h,214.28h,65.57h,,,2234.33h,,,,
,EASYPAY-1356,PaymentPriorityOutChannelCode GRPC API returns RTGS where should be FPO,1/22/26,45.87h,0.23h,0.45h,,,,,70.80h,3.02h,0.80h,75.33h,,,2322.28h,,,,
,EASYPAY-1352,BH-worker: update storing of payment information,2/4/26,0.00h,170.57h,,,,,,0.00h,18.75h,319.95h,0.00h,,,2011.52h,,,,
,EASYPAY-1351,DB: update payment_info table - add new field to it,1/26/26,23.42h,264.25h,,,,,,,,,,,,2233.25h,,,,
,EASYPAY-1517,[ISO Exchange] Change TIPS camt.054 from V06 to V12,,503.85h,1013.62h,859.78h,,,,,21.35h,2.62h,140.63h,,,,,,,,
,EASYPAY-1523,[ISO Exchange] Change TIPS camt.053 from V06 to V12,,644.53h,1013.68h,719.03h,,,,,21.37h,2.60h,140.63h,,,,,,,,
,EASYPAY-1530,[ISO Exchange] Change TIPS camt.004 from V07 to V10,,501.02h,1013.60h,862.65h,,,,,21.37h,2.60h,140.63h,,,,,,,,
,EASYPAY-1514,[ISO Exchange] Change RTGS camt.053 from V08 to V12,,645.35h,984.33h,719.05h,,,,,6.87h,16.77h,170.55h,,,,,,,,
,EASYPAY-1512,[ISO Exchange] Change CLM camt.053 from V08 to V12,,645.27h,1727.22h,,,,,,0.10h,5.23h,165.15h,,,,,,,,
,EASYPAY-1526,[ISO Exchange] Change CoCo head.001 from V01 to V04,,578.83h,1482.03h,,,,,,263.33h,7.08h,211.72h,,,,,,,,
,EASYPAY-1519,[CORE DB] Update message versions in DEBT_CRED_NOTIFICATION_RULES,4/21/26,575.60h,1587.82h,,,,,,0.00h,15.62h,49.15h,125.68h,,,189.48h,,,,
,EASYPAY-1511,[ISO Exchange] Change RTGS camt.054 from V08 to V12,,578.65h,1770.60h,,,,,,6.87h,16.78h,168.22h,2.33h,,,,,,,
,EASYPAY-1349,"Homebank regression testing on Skyvault in EE, LV,LT [26-30.01.2026]",1/30/26,382.47h,0.00h,,,,,,0.00h,,24.00h,0.02h,,,2137.53h,,,,
,EASYPAY-1348,"E-invoices regression testing on Skyvault in EE, LV,LT [26-30.01.2026]",2/2/26,382.47h,0.00h,,,,,,0.00h,,24.05h,76.05h,,,2061.45h,,,,
,EASYPAY-1347,Make adjustments to kafka topic from BpayStream to FLM,2/6/26,23.12h,144.28h,,,,,,148.47h,214.37h,46.53h,1.10h,,,1966.73h,,,,
,EASYPAY-1346,11. Update API storing payment file data - validate channel value,3/23/26,0.63h,1535.87h,,,,,,0.08h,142.82h,1.85h,1.45h,,,886.20h,,,,
Bug Sub-Task,EASYPAY-1345,Mass payment file isn't rejected when one of intrabank payment currency is different than other intrabank payments in file,1/13/26,66.73h,0.00h,,,,,,0.03h,1.10h,0.20h,24.33h,,,2543.82h,,,,
,EASYPAY-1344,[E-Invoice] Penetration Test findings >> FIN0002262,1/8/26,0.03h,0.00h,,,,,,1.03h,18.72h,3.32h,2.08h,,,2661.00h,,,,
,EASYPAY-1354,[DB] Create sysglobal to enable or disable triggers,1/16/26,0.27h,192.03h,,,,,,0.12h,22.62h,1.90h,2.65h,,,2469.25h,,,,
Bug Sub-Task,EASYPAY-1342,Payment file isn't rejected when information in file xml is incorrect,1/6/26,0.17h,,,,,,,,,,,,,,2708.67h,,,
,EASYPAY-1341,Use channel code HGW instead of SGW,1/8/26,0.00h,43.83h,,,,,,,,,,,,2665.45h,,,,
,EASYPAY-1339,[E-Invoice] Penetration Test findings >> FIN0002281,1/8/26,0.03h,0.28h,,,,,,0.48h,4.82h,49.97h,18.67h,,,2661.75h,,,,
Bug Sub-Task,EASYPAY-1338,Kafka requires non-mandatory fields to be filled for payment,2/4/26,0.00h,71.92h,,,,,,0.45h,359.23h,0.53h,367.13h,,,2010.03h,,,,
,EASYPAY-1337,Account not found error handling issue,1/9/26,137.28h,0.00h,,,,,,72.42h,4.50h,1.98h,22.93h,,,2635.48h,,,,
Production bug,EASYPAY-1336,[DB] FPO payment is cancelled too early in LV (after repeater),12/30/25,0.02h,0.00h,,,,,,0.00h,2.48h,0.35h,2.75h,,,2874.20h,,,,
,EASYPAY-1335,Mass payment file header and payment information CtrlSum and Number of transaxtions are not validated,1/9/26,142.77h,0.00h,,,,,,0.18h,52.88h,0.47h,48.78h,,,2635.02h,,,,
,EASYPAY-1334,Update error codes,1/13/26,234.65h,0.00h,,,,,,0.42h,,123.02h,3.60h,,,2538.32h,,,,
