Type,Key,Summary,Resolution Date,Open,Ready for Refinement,Investigation,Reopened,On Hold,Backlog,To Do,Refined,In Development,Ready for test,In Testing,In Progress,Waiting for acceptance,Done,Abandoned,,,
,EASYPAY-1131,"(RT1, LT) FS001: Send and receive pacs.008 within new timeframe (7 seconds)",9/12/25,0.12h,1149.70h,,,,,,0.00h,,578.62h,0.48h,,,5491.25h,,,,
,EASYPAY-1130,"(RT1, LT) FS003: Send and receive pacs.008 with amount over EUR 100.000,00",8/19/25,0.08h,283.08h,,,,,,0.00h,,0.00h,863.63h,,,6073.35h,,,,
,EASYPAY-1129,"(RT1, LT) FR001: Receive and processes RT1 RTF",8/19/25,0.03h,1129.00h,,,,,,0.00h,,0.00h,21.72h,,,6069.43h,,,,
,EASYPAY-1128,[LT] Execute mandatory testcases for RT1 Q4 2025,9/16/25,0.78h,184.68h,,,,,,0.00h,,1637.33h,0.00h,,,5397.38h,,,,
,EASYPAY-1127,Change sysglobal RT1_LAC_COUNT value,9/23/25,0.07h,1685.08h,,,,,,215.27h,2.23h,89.20h,3.37h,,,5231.37h,,,,
,EASYPAY-1126,Update Kafka topic schema - provide signature information differently,7/3/25,28.62h,0.10h,,,,,,0.00h,45.07h,0.00h,0.00h,,,7199.77h,,,,
,EASYPAY-1125,"(RT1, EE) FS027: Receive pacs.008 from TIPS participant to TIPS BIC",9/16/25,0.42h,1829.67h,24.57h,,,,,0.00h,,0.00h,21.18h,,,5397.90h,,,,
,EASYPAY-1124,"(RT1, EE) FS026: Send and receive pacs.008 with TIPS participant",9/16/25,68.70h,1877.65h,,,,,,0.00h,,0.00h,0.00h,,,5395.38h,,,,
,EASYPAY-1123,"(RT1, EE) FS023, FS024: Send pacs.008 and receive reject with timeout - OPTIONAL",9/16/25,0.10h,1944.10h,,,,,,0.00h,,0.00h,0.00h,,,5397.63h,,,,
,EASYPAY-1122,"(RT1, EE) RR001: Receive and process PSR and RSF files",9/16/25,17.27h,1923.68h,,,,,,0.00h,,0.00h,24.05h,,,5397.92h,,,,
,EASYPAY-1121,"(RT1, EE) FS014: Send and receive pacs.028 (ST_UPDATE) on camt.056 (RECALL)",9/15/25,17.57h,1706.13h,119.37h,,,,,0.00h,,0.00h,20.50h,,,5427.65h,,,,
,EASYPAY-1120,"(RT1, EE) FS013: Send and receive pacs.028 Payment Inquiry (INQUIRY)",9/15/25,17.70h,1920.98h,,,,,,0.00h,,0.00h,2.52h,,,5422.18h,,,,
,EASYPAY-1119,"(RT1, EE) FS012: Send and receive camt.029 (REC_REFUSE)",9/15/25,17.87h,1877.35h,,,,,,0.00h,,0.00h,40.73h,,,5427.65h,,,,
,EASYPAY-1118,"(RT1, EE) FS011: Send and receive pacs.004 (RETURN)",9/15/25,17.92h,1876.68h,,,,,,0.00h,,0.00h,41.38h,,,5427.67h,,,,
,EASYPAY-1117,"(RT1, EE) FS010: Send and receive camt.056 (RECALL)",9/11/25,18.02h,1834.58h,,,,,,0.00h,,0.00h,0.00h,,,5511.17h,,,,
,EASYPAY-1116,"(RT1, EE) FS002: Send and receive pacs.002 confirmation with valid OrgnlMsgNmId element",9/16/25,18.08h,1919.12h,,,,,,0.00h,,0.00h,30.98h,,,5395.65h,,,,
,EASYPAY-1115,"(RT1, EE) FS008, FS009: Send and receive pacs.008 with hybrid address",9/12/25,18.35h,430.13h,,,,,,0.00h,,0.00h,1419.50h,,,5496.13h,,,,
,EASYPAY-1114,"(RT1, EE) FS007: Send and receive pacs.008 with multiple Org ID",9/12/25,18.45h,1853.97h,,,,,,0.00h,,0.00h,0.00h,,,5491.82h,,,,
,EASYPAY-1113,"(RT1, EE) FS004, FS005, FS006: Send and receive pacs.008 with NEW ""AccptncDtTm"" element",9/13/25,18.75h,1872.83h,,,,,,0.00h,,0.00h,0.82h,,,5472.13h,,,,
,EASYPAY-1112,"(RT1, EE) FS001: Send and receive pacs.008 within new timeframe (7 seconds)",9/14/25,19.17h,1898.40h,,,,,,0.00h,,0.00h,4.32h,,,5443.07h,,,,
,EASYPAY-1111,Change sysglobal RT1_LIMIT value for outgoing messages,9/23/25,0.00h,1707.77h,116.05h,,,,,305.07h,0.10h,4.72h,0.07h,,,5231.50h,,,,
,EASYPAY-1110,"(RT1, EE) FS003: Send and receive pacs.008 with amount over EUR 100.000,00",8/29/25,19.48h,1510.57h,,,,,,0.00h,,0.00h,0.02h,,,5835.23h,,,,
,EASYPAY-1109,"(RT1, EE) FR001: Receive and processes RT1 RTF",9/11/25,19.90h,1831.30h,,,,,,0.00h,,0.00h,0.02h,,,5514.50h,,,,
,EASYPAY-1108,[EE] Execute mandatory testcases for RT1 Q4 2025,9/17/25,0.00h,185.47h,145.68h,,,,,0.00h,,1655.72h,0.00h,,,5379.02h,,,,
,EASYPAY-1107,"iBank Private and Business PB: Automated switch of Payment priority ""Instant"" to ""Ordinary""/""Economy"" in SMART payment form in case customer has disabled/exceeded instant payments limit",9/23/25,1686.12h,43.88h,92.77h,,,,,2.55h,166.67h,23.88h,118.55h,,,5234.48h,,,,
,EASYPAY-1299,Update Kafka schema - W981.baltic.payments.raw.topic-value Part 2,12/3/25,0.00h,3526.52h,0.98h,,,,,283.43h,27.32h,1.00h,18.23h,,,3530.67h,,,,
,EASYPAY-1297,Update BpayStream application to include new attributes for Kafka message. Part 2,12/4/25,0.02h,3526.53h,0.98h,,,,,312.00h,19.82h,0.03h,23.32h,,,3505.48h,,,,
,EASYPAY-1106,"Forms Teller - SEPA recall outgoing payment (instant DUPL, TECH)",6/26/25,0.77h,,23.07h,,,,,,,,,,,,7367.55h,,,
,EASYPAY-1105,"(STEP2, LT) FR001: Receive and processes STEP2 RTF",9/19/25,192.00h,1871.52h,,,,,,,,,,,,,5329.93h,,,
,EASYPAY-1104,"(STEP2, LT) FS013: Send camt.029 (CL_VD_RJCT) as response to camt.087 (CL_VALUE)",9/16/25,0.35h,1993.37h,,,,,,0.00h,,0.00h,0.00h,,,5399.73h,,,,
,EASYPAY-1103,"(STEP2, LT) FS012: Receive pacs.028 (ST_UPDATE) referred to camt.087 (CL_VALUE)",9/19/25,0.33h,2063.18h,,,,,,,,,,,,,5329.93h,,,
,EASYPAY-1102,"(STEP2, LT) FS010: Receive camt.087 (CL_VALUE)",9/17/25,0.33h,1995.80h,,,,,,0.00h,,0.00h,17.95h,,,5379.37h,,,,
,EASYPAY-1101,"(STEP2, LT) FS013: Send and receive camt.029 (CL_NR_RJCT or CL_NR_ACCP) as response to camt.027 (CL_RECEIPT)",9/19/25,0.32h,2063.18h,,,,,,,,,,,,,5329.95h,,,
,EASYPAY-1100,"(STEP2, LT) FS011: Send and receive pacs.028 (ST_UPDATE) referred to camt.027 (CL_RECEIPT)",9/19/25,0.30h,2063.18h,,,,,,,,,,,,,5329.95h,,,
,EASYPAY-1099,"(STEP2, LT) FS009: Send and receive camt.027 (CL_RECEIPT)",9/16/25,0.30h,1994.92h,,,,,,0.00h,,0.00h,0.00h,,,5398.23h,,,,
,EASYPAY-1098,"(STEP2, LT) FS007: Send and receive camt.029 (REC_REFUSE)",9/17/25,0.28h,2019.30h,,,,,,0.00h,,0.00h,0.00h,,,5373.87h,,,,
,EASYPAY-1097,"(STEP2, LT) FS006: Send and receive pacs.004  (RETURN)",9/17/25,0.22h,2019.22h,,,,,,0.00h,,0.00h,0.00h,,,5374.02h,,,,
,EASYPAY-1096,"(STEP2, LT) FS008: Send and receive pacs.028 (ST_UPDATE) referred to camt.056 (RECALL)",9/19/25,0.20h,2063.30h,,,,,,,,,,,,,5329.95h,,,
,EASYPAY-1095,"(STEP2, LT) FS005: Send and receive camt.056 (RECALL)",9/17/25,0.18h,2019.22h,,,,,,0.00h,,0.00h,0.00h,,,5374.05h,,,,
,EASYPAY-1094,"(STEP2, LT) FS003, FS004: Send and receive pacs.008 with hybrid address",8/27/25,0.17h,1513.05h,,,,,,0.00h,,0.00h,0.00h,,,5880.22h,,,,
,EASYPAY-1093,"(STEP2, LT) FS001, FS002: Send and receive pacs.008 with multiple Org ID",8/27/25,0.17h,1513.10h,,,,,,0.00h,,0.00h,0.00h,,,5880.18h,,,,
,EASYPAY-1092,[LT] Execute mandatory testcases for STEP2 Q4 2025,9/19/25,0.37h,2063.17h,,,,,,,,,,,,5329.92h,,,,
,EASYPAY-1091,"(STEP2, LV) FR001: Receive and processes STEP2 RTF",9/19/25,192.47h,1871.43h,,,,,,,,,,,,,5330.00h,,,
,EASYPAY-1090,"(STEP2, LV) FS013: Send camt.029 (CL_VD_RJCT) as response to camt.087 (CL_VALUE)",9/16/25,0.42h,1993.70h,,,,,,0.00h,,0.00h,0.00h,,,5399.78h,,,,
,EASYPAY-1089,"(STEP2, LV) FS012: Receive pacs.028 (ST_UPDATE) referred to camt.087 (CL_VALUE)",9/19/25,0.40h,2063.48h,,,,,,,,,,,,,5330.02h,,,
,EASYPAY-1088,"(STEP2, LV) FS010: Receive camt.087 (CL_VALUE)",9/17/25,0.40h,1996.18h,,,,,,0.00h,,0.00h,17.90h,,,5379.42h,,,,
,EASYPAY-1087,"(STEP2, LV) FS013: Send and receive camt.029 (CL_NR_RJCT or CL_NR_ACCP) as response to camt.027 (CL_RECEIPT)",9/19/25,0.37h,2063.52h,,,,,,,,,,,,,5330.02h,,,
,EASYPAY-1086,"(STEP2, LV) FS011: Send and receive pacs.028 (ST_UPDATE) referred to camt.027 (CL_RECEIPT)",9/19/25,0.27h,2063.62h,,,,,,,,,,,,,5330.03h,,,
,EASYPAY-1085,"(STEP2, LV) FS009: Send and receive camt.027 (CL_RECEIPT)",9/16/25,0.25h,1995.48h,,,,,,0.00h,,0.00h,0.00h,,,5398.17h,,,,
,EASYPAY-1084,"(STEP2, LV) FS007: Send and receive camt.029 (REC_REFUSE)",9/17/25,0.23h,2019.48h,,,,,,0.00h,,0.00h,0.00h,,,5374.20h,,,,
,EASYPAY-1083,"(STEP2, LV) FS006: Send and receive pacs.004  (RETURN)",9/17/25,0.22h,2019.53h,,,,,,0.00h,,0.00h,0.00h,,,5374.17h,,,,
,EASYPAY-1082,"(STEP2, LV) FS008: Send and receive pacs.028 (ST_UPDATE) referred to camt.056 (RECALL)",9/19/25,0.15h,2063.73h,,,,,,,,,,,,,5330.03h,,,
,EASYPAY-1081,"(STEP2, LV) FS005: Send and receive camt.056 (RECALL)",9/17/25,0.13h,2019.50h,,,,,,0.00h,,0.00h,0.03h,,,5374.23h,,,,
,EASYPAY-1080,"(STEP2, LV) FS003, FS004: Send and receive pacs.008 with hybrid address",8/28/25,0.12h,1534.40h,,,,,,0.00h,,0.00h,0.00h,,,5859.38h,,,,
,EASYPAY-1079,"(STEP2, LV) FS001, FS002: Send and receive pacs.008 with multiple Org ID",8/28/25,0.10h,1534.55h,,,,,,0.00h,,0.00h,0.00h,,,5859.27h,,,,
,EASYPAY-1078,[LV] Execute mandatory testcases for STEP2 Q4 2025,9/19/25,0.45h,2063.47h,,,,,,,,,,,,5330.00h,,,,
,EASYPAY-1077,"(STEP2, EE) FR001: Receive and processes STEP2 RTF",9/19/25,305.50h,1871.38h,,,,,,,,,,,,,5330.05h,,,
,EASYPAY-1076,"(STEP2, EE) FS013: Send camt.029 (CL_VD_RJCT) as response to camt.087 (CL_VALUE)",9/16/25,112.87h,1994.20h,,,,,,0.00h,,0.00h,0.00h,,,5399.92h,,,,
,EASYPAY-1075,"(STEP2, EE) FS012: Receive pacs.028 (ST_UPDATE) referred to camt.087 (CL_VALUE)",9/19/25,112.88h,2064.10h,,,,,,,,,,,,,5330.07h,,,
,EASYPAY-1074,"(STEP2, EE) FS010: Receive camt.087 (CL_VALUE)",9/17/25,112.87h,1996.87h,,,,,,0.00h,,0.00h,17.83h,,,5379.50h,,,,
,EASYPAY-1073,"(STEP2, EE) FS013: Send and receive camt.029 (CL_NR_RJCT or CL_NR_ACCP) as response to camt.027 (CL_RECEIPT)",9/19/25,112.87h,2064.17h,,,,,,,,,,,,,5330.07h,,,
,EASYPAY-1072,"(STEP2, EE) FS011: Send and receive pacs.028 (ST_UPDATE) referred to camt.027 (CL_RECEIPT)",9/19/25,112.87h,2064.23h,,,,,,,,,,,,,5330.08h,,,
,EASYPAY-1071,"(STEP2, EE) FS009: Send and receive camt.027 (CL_RECEIPT)",9/16/25,112.83h,1996.05h,,,,,,0.00h,,0.00h,0.00h,,,5398.32h,,,,
,EASYPAY-1070,"(STEP2, EE) FS007: Send and receive camt.029 (REC_REFUSE)",9/17/25,112.80h,2020.73h,,,,,,0.00h,,0.00h,0.00h,,,5373.70h,,,,
,EASYPAY-1069,"(STEP2, EE) FS006: Send and receive pacs.004  (RETURN)",9/17/25,112.78h,2021.00h,,,,,,0.00h,,0.00h,0.00h,,,5373.47h,,,,
,EASYPAY-1068,"(STEP2, EE) FS008: Send and receive pacs.028 (ST_UPDATE) referred to camt.056 (RECALL)",9/19/25,112.77h,2064.43h,,,,,,,,,,,,,5330.12h,,,
,EASYPAY-1067,"(STEP2, EE) FS005: Send and receive camt.056 (RECALL)",9/17/25,112.77h,2020.88h,,,,,,0.00h,,0.00h,0.00h,,,5373.73h,,,,
,EASYPAY-1066,LT STAR Giro payment (ID) // testing,7/28/25,0.00h,764.40h,0.03h,,,,,0.00h,,143.95h,0.75h,,,6600.33h,,,,
,EASYPAY-1065,"(STEP2, EE) FS003, FS004: Send and receive pacs.008 with hybrid address",8/27/25,115.30h,1512.67h,,,,,,0.00h,,0.00h,0.00h,,,5881.97h,,,,
,EASYPAY-1064,"(STEP2, EE) FS001, FS002: Send and receive pacs.008 with multiple Org ID",8/27/25,115.40h,1513.62h,,,,,,0.00h,,0.00h,0.00h,,,5881.03h,,,,
,EASYPAY-1063,Update API which updates batch and file status,10/13/25,0.00h,2419.08h,,,,,,0.00h,80.87h,138.47h,118.65h,,,4753.35h,,,,
,EASYPAY-1062,[EE] Execute mandatory testcases for STEP2 Q4 2025,9/19/25,0.00h,2063.88h,116.58h,,,,,,,,,,,5330.05h,,,,
,EASYPAY-1257,[iBank] Remove check for SEPA RB 2025 sysglobal,11/13/25,2806.22h,46.32h,,,,,,336.63h,316.93h,0.12h,25.55h,,,4002.92h,,,,
,EASYPAY-1059,[DB] Create return payment (ID),8/14/25,0.18h,956.67h,,,,,,23.80h,140.48h,71.40h,170.90h,,,6192.32h,,,,
,EASYPAY-1050,Change time for sending 1st. status request inquiry message pacs.028,9/16/25,0.00h,1271.03h,218.05h,,,,,1.00h,75.10h,506.65h,113.47h,,,5402.32h,,,,
,EASYPAY-1049,[SEPA_EXCHANGE] Incoming SEPA message's original transaction information storing in new Party ID structure,7/28/25,0.05h,26.95h,,,,,,334.78h,214.93h,151.97h,258.83h,,,6600.37h,,,,
,EASYPAY-1048,Forms Teller - SEPA credit to ledger (ID),8/8/25,0.02h,979.83h,,,,,,0.00h,30.28h,285.33h,51.33h,,,6331.45h,,,,
,EASYPAY-1047,Forms Teller EE - Annulation (ID),8/6/25,0.00h,1004.33h,75.85h,,,,,1.53h,92.93h,97.10h,24.12h,,,6384.75h,,,,
,EASYPAY-1046,Forms Teller - SEPA message details (ID),8/12/25,0.17h,1004.32h,118.95h,,,,,164.63h,48.00h,1.13h,148.07h,,,6237.07h,,,,
,EASYPAY-1045,Forms Teller - SEPA recall refuse (ID),8/7/25,0.00h,909.70h,117.60h,,,,,91.37h,5.53h,163.45h,74.65h,,,6360.18h,,,,
,EASYPAY-1044,Forms Teller - SEPA incoming payments which require manual name check (ID),8/6/25,0.00h,909.53h,117.93h,,,,,26.13h,0.98h,261.17h,21.15h,,,6385.75h,,,,
,EASYPAY-1043,Forms Teller - SEPA return incoming payment (ID),8/6/25,0.00h,909.73h,117.82h,,,,,94.38h,2.52h,191.63h,26.17h,,,6380.48h,,,,
,EASYPAY-1042,Forms Teller - SEPA repeal outgoing payment (ID),8/7/25,0.08h,909.25h,118.38h,,,,,94.22h,2.68h,217.20h,22.72h,,,6358.37h,,,,
,EASYPAY-1041,Forms Teller - SEPA recall outgoing payment (ID),8/6/25,0.02h,1007.38h,44.62h,,,,,92.52h,4.38h,163.45h,53.35h,,,6381.47h,,,,
,EASYPAY-1040,Forms Teller - SEPA claim non-receipt outgoing payment (ID),8/7/25,0.03h,1007.88h,44.15h,,,,,94.73h,2.15h,239.67h,3.17h,,,6355.45h,,,,
,EASYPAY-1039,Forms Teller - Incoming payment (ID),8/6/25,0.08h,1028.28h,,,,,,0.02h,27.05h,161.40h,126.60h,,,6380.10h,,,,
,EASYPAY-1038,Forms Teller - Outgoing payment (ID),8/6/25,0.00h,1028.38h,0.45h,,,,,0.02h,92.47h,167.85h,53.35h,,,6381.47h,,,,
,EASYPAY-1037,[SEPA_EXCHANGE] Incoming pacs.004 message (orig tx for Return) storing in new Party ID structure,8/22/25,0.00h,1203.50h,162.23h,,,,,0.00h,170.35h,117.35h,99.57h,,,5997.18h,,,,
,EASYPAY-1036,[SEPA_EXCHANGE] Incoming/outgoing pacs.008 message storing in new Party ID structure,9/12/25,0.00h,986.48h,162.28h,88.67h,,,,0.00h,292.52h,431.40h,296.45h,,,5492.58h,,,,
Production bug,EASYPAY-1035,there is filled einvoices.einvoice.seller_agreement_id with operator agreement id in case abstract einvoice,6/10/25,2.43h,,,,,,,,,,,,,7751.13h,,,,
,EASYPAY-1032,SIPCI returns can't be processed,6/6/25,0.03h,1.40h,,,,,,0.02h,2.70h,0.10h,0.00h,,,7844.48h,,,,
,EASYPAY-1027,[DB] Migrate party ID data to new structure,9/25/25,0.00h,1631.87h,695.00h,,,,,41.78h,123.07h,145.13h,49.80h,,,5181.67h,,,,
,EASYPAY-1026,OpenBanking. Payment party ID,8/26/25,0.03h,1505.77h,,,,,,150.15h,,210.62h,101.12h,,,5900.77h,,,,
,EASYPAY-1025,BankLink. Payment party ID,9/1/25,0.13h,1457.85h,0.00h,,,,,150.13h,,215.23h,240.18h,,,5757.07h,,,,
,EASYPAY-1029,[ibank] TPH incoming payment displaying issues,9/19/25,0.25h,20.68h,,910.15h,,,,742.40h,72.12h,646.48h,152.10h,,,5325.58h,,,,
,EASYPAY-1024,Update status codes used when calling APIs to store or update data,10/9/25,265.20h,2591.43h,,,,,,0.00h,173.87h,0.00h,0.00h,,,4843.72h,,,,
,EASYPAY-1023,LT STAR Domestic/European payment PDF (ID),7/31/25,0.00h,1144.80h,0.67h,,,,,3.00h,,48.07h,164.18h,,,6530.85h,,,,
,EASYPAY-1022,LV STAR Domestic/European payment PDF (ID),7/31/25,0.00h,1144.78h,0.72h,,,,,3.00h,,47.97h,164.25h,,,6530.87h,,,,
,EASYPAY-1021,EE STAR Domestic/European payment PDF (ID),7/31/25,0.37h,1144.78h,0.78h,,,,,3.02h,,48.05h,164.22h,,,6530.83h,,,,
,EASYPAY-1018,Update payment file (pain.001) validation,10/14/25,0.00h,3018.32h,,,,,,0.00h,165.88h,0.47h,0.00h,,,4730.45h,,,,
,EASYPAY-1014,STAR Repeal (ID),8/7/25,0.00h,1174.63h,0.50h,,,,,0.00h,47.25h,145.53h,194.67h,,,6355.15h,,,,
,EASYPAY-1012,BH-data-manager: update API end point storing payment information,1/29/26,3743.67h,1776.00h,,,,,,0.60h,51.07h,191.75h,2.85h,,,2155.10h,,,,
,EASYPAY-1031,[SO] Add new 12:00 Standing orders processing time in LV,7/9/25,0.00h,407.58h,,,,,,409.08h,,,,,50.52h,7054.93h,,,,
,EASYPAY-1011,EKS pacs.004 changes,6/9/25,0.00h,17.28h,0.15h,,,,,25.07h,,27.15h,98.32h,,,7771.82h,,,,
,EASYPAY-1010,EKS pacs.002 changes,6/5/25,0.00h,17.52h,1.37h,,,,,25.08h,,5.95h,17.83h,,,7873.50h,,,,
,EASYPAY-1009,EKS pacs.008 changes,6/6/25,0.00h,18.92h,0.18h,,,,,0.10h,24.97h,3.77h,49.38h,,,7844.13h,,,,
,EASYPAY-1393,iBank: when payments are signed via list of payments - write session information to AQ,,3622.12h,4339.27h,0.00h,,,,,,,,,,,,,,,
,EASYPAY-1392,DB: create sysglobal for sending batch information to batch handler,2/3/26,3717.23h,2039.42h,,,,,,142.42h,0.77h,1.40h,19.48h,,,2040.72h,,,,
,EASYPAY-1391,iBank: update signing via list of payments - store session information,,5758.07h,1174.32h,,21.55h,,,,0.00h,815.50h,192.17h,0.00h,,,,,,,
Production bug,EASYPAY-1229,EPE validation issues while processing VGTU payments,10/8/25,0.00h,3240.95h,,,,,,,,,,,,,4869.22h,,,
,EASYPAY-1467,6. Request a fraud screening response from OFD broker and publish it to FLM,,5518.48h,1988.38h,,,,,,166.32h,145.37h,362.27h,,,,,,,,
,EASYPAY-1002,Create API to find fraud screening request not having a response,8/11/25,1918.65h,,,,,,,,,,,,,,6262.32h,,,
,EASYPAY-1001,BpayStream application for sending payment events to Kafka,7/29/25,0.12h,1078.32h,,,,,,3.38h,433.73h,68.90h,28.53h,,,6571.82h,,,,
,EASYPAY-1000,E-invoice payment engine (automated payments),9/4/25,0.00h,1822.17h,0.05h,174.00h,,,,2.92h,149.47h,286.23h,64.97h,,,5685.15h,,,,
,EASYPAY-1522,[ISO Exchange] Change CLM head.001 from V01 to V04 (all message types),,1938.73h,5183.02h,600.97h,,,,,267.27h,3.15h,210.30h,1.43h,,,,,,,
,EASYPAY-1515,[ISO Exchange] Change RTGS head.001 from V01 to V04 (all message types) ***,,1938.73h,4971.42h,600.67h,,,,,211.05h,264.22h,30.23h,188.57h,,,,,,,
,EASYPAY-1527,[ISO Exchange] Change CLM camt.054 from V08 to V12,,1873.42h,5561.77h,599.32h,,,,,0.10h,5.23h,165.15h,,,,,,,,
,EASYPAY-1524,[ISO Exchange] Change CLM camt.025 from V05 to V07,,1873.87h,5564.53h,596.08h,,,,,0.10h,5.23h,165.15h,,,,,,,,
,EASYPAY-1528,[ISO Exchange] Change CLM camt.050 from V05 to V07,,1873.87h,5565.53h,595.15h,,,,,0.10h,5.23h,165.15h,,,,,,,,
,EASYPAY-1518,[ISO Exchange] Change CLM camt.004 from V08 to V10,,1873.82h,5563.43h,597.32h,,,,,0.12h,5.23h,165.15h,,,,,,,,
,EASYPAY-1531,[ISO Exchange] Change RTGS camt.004 from V08 to V10,,1873.92h,5539.80h,597.35h,,,,,6.88h,16.77h,170.55h,,,,,,,,
,EASYPAY-1533,[ISO Exchange] Change RTGS camt.025 from V05 to V07,,1873.70h,5541.52h,595.98h,,,,,6.88h,16.77h,52.83h,117.72h,,,,,,,
,EASYPAY-1516,[ISO Exchange] Change RTGS camt.050 from V05 to V07,,1873.67h,5542.45h,595.12h,,,,,3.28h,2.02h,70.57h,118.33h,,,,,,,
,EASYPAY-1004,RT1-Uploader not working,5/29/25,95.18h,0.00h,,,,,,0.03h,0.13h,71.77h,2.65h,,,8039.97h,,,,
,EASYPAY-1390,[IBank]: Warning message because of changes in payment uploaded via SGW,4/21/26,886.92h,6043.98h,,,,,,3.92h,595.37h,337.88h,170.15h,,,188.80h,,,,
,EASYPAY-997,Change Hard Timeout for Instant Payment Processing,9/16/25,0.00h,1680.28h,0.15h,,,,,0.00h,141.70h,891.02h,116.87h,,,5398.92h,,,,
,EASYPAY-996,STAR Authorise FPO (ID),7/23/25,0.00h,1193.88h,123.85h,,,,,0.00h,149.78h,0.00h,48.83h,,,6715.73h,,,,
,EASYPAY-1389,DB: create queue for sending payment batches to Batch handler,2/17/26,6028.85h,0.00h,,,,,,140.47h,1.95h,22.38h,334.88h,,,1705.15h,,,,
,EASYPAY-1298,create new Kafka topic to stream data from Bpay stream app to Flow manager entrypoint,12/10/25,720.17h,4003.67h,0.67h,,,,,0.00h,167.90h,5.30h,0.25h,,,3355.10h,,,,
,EASYPAY-1296,Create Ksql STREAM for selecting data to Flow Manager dedicated topic,12/15/25,46.53h,3881.75h,819.35h,,,,,144.68h,27.32h,21.28h,70.63h,,,3241.48h,,,,
,EASYPAY-995,STAR Incoming international payment (ID) // testing,7/31/25,0.00h,1487.42h,43.33h,,,,,0.00h,,190.50h,32.35h,,,6521.92h,,,,
,EASYPAY-994,[DB] create FK's for PAYMENTS.PAYMENT_PARTY_IDENTIFIER in STAR double acceptance tables,6/27/25,0.05h,882.82h,,,,,,0.00h,28.25h,0.28h,18.98h,,,7346.23h,,,,
,EASYPAY-993,STAR Foreign payment (ID),7/24/25,0.03h,1193.65h,147.68h,,,,,2.00h,19.08h,147.93h,71.25h,,,6695.18h,,,,
,EASYPAY-992,[DB] Outgoing return is shown incorrectly in Forms-teller,5/29/25,0.00h,0.00h,,,,,,19.80h,26.80h,122.37h,71.87h,,,8036.17h,,,,
,EASYPAY-990,STAR Print transactions (ID),7/23/25,0.00h,1457.82h,72.10h,,,,,0.00h,25.25h,23.32h,0.00h,,,6721.17h,,,,
,EASYPAY-989,STAR Domestic payment (ID),7/24/25,0.00h,1339.73h,70.88h,,,,,0.00h,3.73h,191.07h,50.53h,,,6691.88h,,,,
,EASYPAY-988,Update BpayStream application to include new attributes for Kafka message,6/12/25,0.00h,305.62h,0.77h,2.67h,,,,4.73h,115.45h,23.33h,194.42h,,,7702.02h,,,,
,EASYPAY-987,Not possible to sent out ST2 ST_UPDATE messages,5/16/25,1.07h,,,,,,,,,,,,,8348.22h,,,,
,EASYPAY-986,Update Kafka schema - W981.baltic.payments.raw.topic-value,6/4/25,0.03h,237.33h,72.50h,,,,,120.07h,0.18h,23.33h,0.27h,,,7898.83h,,,,
,EASYPAY-984,4. Update fraud screening request update API endpoint,10/30/25,773.07h,647.20h,1915.65h,,,,,437.32h,72.98h,22.07h,145.15h,,,4340.75h,,,,
,EASYPAY-983,Update calling of APIs - provide application name in header,10/14/25,1482.25h,1870.08h,,,,,,286.73h,4.85h,0.00h,0.00h,,,4726.80h,,,,
,EASYPAY-981,[DB] Update Standing Order execution due to changes in payment party ID,6/26/25,0.00h,934.57h,0.23h,,,,,0.00h,48.05h,0.78h,29.97h,,,7363.13h,,,,
,EASYPAY-1388,DB: create table to store session information,2/5/26,4397.42h,1822.60h,,,,,,26.08h,113.82h,24.67h,46.02h,,,1994.32h,,,,
,EASYPAY-980,Update API creating payment file information,6/4/25,144.97h,0.00h,,,,,,0.00h,,339.90h,47.15h,,,7893.88h,,,,
,EASYPAY-979,Update API for storing batch information,6/3/25,145.30h,0.00h,,,,,,0.00h,,341.22h,23.33h,,,7916.40h,,,,
,EASYPAY-978,Update API storing payment information,6/4/25,145.60h,0.00h,,,,,,0.00h,,358.55h,28.72h,,,7893.65h,,,,
,EASYPAY-977,Enable additional logging on applications for performance test needs,5/16/25,0.00h,63.27h,,,,,,1.32h,2.33h,92.00h,0.00h,,,8354.75h,,,,
,EASYPAY-976,Create API to get dp.id of the payment,6/3/25,0.00h,90.92h,,,,,,0.00h,80.30h,430.75h,16.98h,,,7923.15h,,,,
,EASYPAY-972,Change RT1-uploader,6/13/25,22.83h,908.55h,0.25h,,,,,,,,,,,,7680.50h,,,
,EASYPAY-971,Stop sending status request inquiries after hard deadline,6/13/25,0.00h,907.43h,24.25h,,,,,,,,,,,,7680.50h,,,
,EASYPAY-970,Create Instant Payment cancelation and money refund after hard dead-line,6/13/25,0.00h,,931.77h,,,,,,,,,,,,7680.48h,,,
,EASYPAY-968,[DB] Create new db procedure for account locking,5/14/25,0.05h,0.00h,,,,,,13.68h,54.43h,235.35h,53.67h,,,8396.65h,,,,
,EASYPAY-1005,[IBank] Add new e-invoice operator,6/3/25,,,,,,645.10h,2.50h,71.07h,,115.20h,0.37h,1.22h,,7922.33h,,,,
,EASYPAY-967,[DB] Create DB table VM.SEPA_PAYMENT_PARTY_IDENTIFIER in ARCH DB,6/26/25,0.03h,863.02h,,,,,,385.47h,93.75h,0.00h,71.18h,,,7370.92h,,,,
