Type,Key,Summary,Resolution Date,Ready for patch [deleted],Open,Ready for Development,Backlog,On Hold,Waiting test deploy,To Do,Ready for Refinement,In Progress,In Code Review,Acceptance Testing,Ready for Deploy,Testing,Ready for Testing,Code review,Discovery,Delivery,Canceled,Done,Cancelled
,GUI-4089,ui-wizard required fields not announced properly in NVDA,,,1192.30h,,,,,,,,,,,,,,,,,,
,GUI-4083,Top margin for link,,,1267.98h,,,,,,,,,,,,,,,,,,
,GUI-4081,readonly text ui-field has no visible focus outline,,,1286.75h,,,,,,,,,,,,,,,,,,
,GUI-4080,ui-timepicker with input type=text sets value immediately on click,,,1288.53h,,,,,,,,,,,,,,,,,,
,GUI-4079,"screen readers read links with icons as ""graphic link""",,,1291.77h,,,,,,,,,,,,,,,,,,
,GUI-4077,Dropdown code refactor,,,1293.83h,,,,,,,,,,,,,,,,,,
,GUI-4075,grammar.ts missing grammatical number logic for Latvian,,,1319.42h,,,,,,,,,,,,,,,,,,
,GUI-4074,"ui-checkbox display issue in Chrome with font size ""Very large"" setting",,,1328.42h,,,,,,,,,,,,,,,,,,
,GUI-4073,Fix incorrect type of ignore-levels prop in ui-breadcrumbs,,,1328.68h,,,,,,,,,,,,,,,,,,
,GUI-4072,Header switch - New component,,,1340.52h,,,,,,,,,,,,,,,,,,
,GUI-4067,Create Shared Navigation Service,,,1340.58h,,,,,,,,,,,,,,,,,,
,GUI-4064,Refactor ui-tooltip to be in line with WCAG guidelines for tooltips,,,1342.60h,,,,,,,,,,,,,,,,,,
,GUI-4063,ui-tooltip close button is shown on top of contents,,,1355.33h,,,,,,,,,,,,,,,,,,
,GUI-4061,Header - New component,,,1361.73h,,,,,,,,,,,,,,,,,,
,GUI-4060,Checkboxes and radios don't receive focus on unsuccessful submission,,,1363.25h,,,,,,,,,,,,,,,,,,
,GUI-4059,Continue Typescript migration,,,1223.58h,,,,,,,140.00h,,,,,,,,,,,
,GUI-4057,Checkbox label not announced if label has a tooltip,,,1367.83h,,,,,,,,,,,,,,,,,,
,GUI-4054,Refactor shared/ui-baltic... on FDP,,,1504.88h,,,,,,,,,,,,,,,,,,
,GUI-4050,Investigate best practices for UI-annotation to make it accessible,,,1534.57h,,,,,,,,,,,,,,,,,,
,GUI-4048,introduction offer has incorrect title size on mobile,,,173.92h,,,,,,,,,,,,,,,,1362.45h,,
,GUI-4046,ui-curtain button does not fit on 200% zoom mobile view,,,1602.70h,,,,,,,,,,,,,,,,,,
,GUI-4045,ui-tooltip should be associated with ui-field label,,,1603.00h,,,,,,,,,,,,,,,,,,
,GUI-4044,ui-datepicker error message too generic,,,1604.07h,,,,,,,,,,,,,,,,,,
,GUI-4043,sortable tables do not remove old aria-sort attributes,,,1427.62h,,,,,,,,,,,,,,,,177.15h,,
,GUI-4042,ui-tooltip not usable on mobile at 200% zoom,,,1605.13h,,,,,,,,,,,,,,,,,,
,GUI-4041,ui-calendar not usable at 200% zoom level,,,1606.13h,,,,,,,,,,,,,,,,,,
,GUI-4040,NVDA reads out ui-hint on ui-inputgroup multiple times,,,1606.33h,,,,,,,,,,,,,,,,,,
,GUI-4039,ui-elements.d.ts/index.d.ts export namespace,,,1628.42h,,,,,,,,,,,,,,,,,,
,GUI-4038,[White background] Update page layouts to support new sections,,,1533.50h,,,,,,,117.62h,,,,,,,,,,,
,GUI-4037,Ui-phonefield does not allow custom labels,,,1676.38h,,,,,,,,,,,,,,,,,,
,GUI-4036,Native ui-dropdown select not attached to a label (PW a11y testing),,,1676.42h,,,,,,,,,,,,,,,,,,
,GUI-4035,[White background] Header and Footer updates,,,1227.22h,,,,,,,332.00h,117.62h,,,,,,,,,,
,GUI-4033,ui-table should support td cells in thead (PW a11y testing),,,1680.68h,,,,,,,,,,,,,,,,,,
,GUI-4032,ARIA roles mixed up badly in controls of ui-tabs (PW a11y testing),,,1692.83h,,,,,,,,,,,,,,,,,,
,GUI-4031,ui-slides ARIA roles issue (PW a11y testing),,,1693.02h,,,,,,,,,,,,,,,,,,
,GUI-4030,ui-card aria-label issue (PW a11y testing),,,1693.18h,,,,,,,,,,,,,,,,,,
,GUI-4029,ui-awards breaks ARIA relationship when used with ui-slides (PW a11y testing),,,1694.43h,,,,,,,,,,,,,,,,,,
,GUI-4028,ui-stepper ARIA issues (PW a11y testing),,,1695.15h,,,,,,,,,,,,,,,,,,
,GUI-4027,ui-modal backdrop has illegal ARIA markup (PW a11y testing),,,1695.62h,,,,,,,,,,,,,,,,,,
,GUI-4025,ui-infobox has color contrast issues (PW a11y testing),,,1697.18h,,,,,,,,,,,,,,,,,,
,GUI-4024,Ui-autocomplete does not scroll options with keyboard buttons,,,1697.83h,,,,,,,,,,,,,,,,,,
,GUI-4023,Tooltips should not have interactable content inside,,,1699.83h,,,,,,,,,,,,,,,,,,
,GUI-4022,Dispatching change event on empty input sets datepicker to current date,,,1701.95h,,,,,,,,,,,,,,,,,,
,GUI-4021,ui-upload missing label (PW a11y testing),,,1701.98h,,,,,,,,,,,,,,,,,,
,GUI-4020,ui-assets/ui-asset a11y issues (PW a11y testing),,,1702.57h,,,,,,,,,,,,,,,,,,
,GUI-4019,a screenreader-only hint in ui-autocomplete disappears after opening the popup (PW a11y testing),,,1703.13h,,,,,,,,,,,,,,,,,,
,GUI-4018,The color of price text in ui-awards has insufficient contrast (PW a11y testing),,,1760.03h,,,,,,,,,,,,,,,,,,
,GUI-4017,ui-journey-item has non-existent role (PW a11y testing),,,1760.52h,,,,,,,,,,,,,,,,,,
,GUI-4016,UIField.addHint() creates a ui-hint with incorrect tag and duplicate ID (PW a11y testing),,,1760.78h,,,,,,,,,,,,,,,,,,
,GUI-4015,Accessibility issues in ui-meterbar (PW a11y testing),,,1766.25h,,,,,,,,,,,,,,,,,,
,GUI-4014,aria-hidden issues in ui-slideview (PW a11y testing),,,1766.65h,,,,,,,,,,,,,,,,,,
,GUI-4012,radio buttons of ui-rating missing labels (PW a11y testing),,,1769.27h,,,,,,,,,,,,,,,,,,
,GUI-4011,ui-icon-progress has no accessible name (PW a11y testing),,,1769.52h,,,,,,,,,,,,,,,,,,
,GUI-4010,A button in ui-dialogbubble uses a role incorrectly (PW a11y testing),,,1770.58h,,,,,,,,,,,,,,,,,,
,GUI-4009,UI Award doesn't have clickable attribute when inside a spoiler,,,1770.97h,,,,,,,,,,,,,,,,,,
,GUI-4007,Hints increase table cell width,,,1684.77h,,,,,,,41.90h,95.00h,,,,,,,,,,
,GUI-4006,Expand table's automatic sorting capabilities,,,1843.97h,,,,,,,,,,,,,,,,,,
,GUI-4000,Console error in select,,,2029.60h,,,,,,,,,,,,,,,,,,
,GUI-3999,Misplaced units when short input used in table,,,2031.65h,,,,,,,,,,,,,,,,,,
,GUI-3998,Cross-salex box titles not available in LV PPTE iBank,,,0.68h,,,,,,,,,,,,,,,,2033.03h,,
,GUI-3997,Fix inverted table accessibility issues,,,2131.88h,,,,,,,,,,,,,,,,,,
,GUI-3995,Pagination labels should be shortened to not repeat,,,2132.20h,,,,,,,,,,,,,,,,,,
,GUI-3994,Possibility to add attribute reflection on the initialiazation of the component,,,2136.43h,,,,,,,,,,,,,,,,,,
,GUI-3993,Figure out what is <ui-template> element and can it be removed?,,,2152.57h,,,,,,,,,,,,,,,,,,
,GUI-3992,ui-field validation messages get overridden by data-required-multiple-rule,,,2178.60h,,,,,,,,,,,,,,,,,,
,GUI-3991,Console error in expandable ui-tables,,,2178.90h,,,,,,,,,,,,,,,,,,
,GUI-3989,link has wrong focus,,,2179.67h,,,,,,,,,,,,,,,,,,
,GUI-3988,Asset list - Check and uncheck interaction,,,2183.33h,,,,,,,,,,,,,,,,,,
,GUI-3987,Adjust types in util-types library in the FDP ibank project,,,2206.65h,,,,,,,,,,,,,,,,,,
,GUI-3986,Update iBank related script name from Bitbucket to Github,,,77.05h,,,,,,,,,,,,,,,,2131.10h,,
,GUI-3985,Consider to remove inert attribute polyfill,,,2298.40h,,,,,,,,,,,,,,,,,,
,GUI-3981,Unpredictable behaviour of 'ui' element with VoiceOver (and other tools),,,2324.75h,,,,,,,,,,,,,,,,,,
,GUI-3978,NVDA Checkbox error alerts,,,2349.60h,,,,,,,,,,,,,,,,,,
,GUI-3977,"VoiceOver does NOT ignore ""hidden"" checkbox inside <ui-checkbox-account> element",,,2349.73h,,,,,,,,,,,,,,,,,,
,GUI-3975,ui-buttonbar alignment,,,721.50h,,,,,,,,,,,,,,,,1629.57h,,
,GUI-3973,UI-Textcounter has no red error border.,,,2372.13h,,,,,,,,,,,,,,,,,,
,GUI-3968,Enter button hitting conflicts with form submission,,,2459.93h,,,,,,,,,,,,,,,,,,
,GUI-3965,[CI] Improve pre-commit hook,,,2470.15h,,,,,,,,,,,,,,,,,,
,GUI-3963,Fix label from ui-field to be read as label for ui-dropdown,,,0.03h,,,,,,,,,,,,,,,,2512.50h,,
,GUI-3962,Refactor slots logic for components,,,2515.27h,,,,,,,,,,,,,,,,,,
,GUI-3960,High zoom level visual improvements for the contact pages,,,2531.87h,,,,,,,,,,,,,,,,,,
,GUI-3959,UISection docs dropdowns aren't helpful,,,2536.72h,,,,,,,,,,,,,,,,,,
,GUI-3955,NVDA duplicate announcements for form elements,,,2615.52h,,,,,,,,,,,,,,,,,,
,GUI-3954,UI-button is not focusing erroneous field,,,2634.18h,,,,,,,,,,,,,,,,,,
,GUI-3953,Pagination - Accessibility and usability improvements,,,2635.95h,,,,,,,,,,,,,,,,,,
,GUI-3951,Update cookie-consent component to accept custom domain names,,,2637.03h,,,,,,,,,,,,,,,,,,
,GUI-3950,Change ui-font-headline-small font weight to 900,,,1.25h,,,,,,,,,,,,,,,,2638.47h,,
,GUI-3949,Blur event on required input field doesn't mark it as invalid,,,2663.43h,,,,,,,,,,,,,,,,,,
,GUI-3948,Social-media class misalignment inside article,,,2684.10h,,,,,,,,,,,,,,,,,,
,GUI-3946,UI-message and UI-link combo NVDA announcement duplication.,,,2707.98h,,,,,,,,,,,,,,,,,,
,GUI-3941,Incorrect spacing for iconed ui-links in table cell,,,2781.38h,,,,,,,,,,,,,,,,,,
,GUI-3940,UI Status inside inverted table removes column headings,,,2800.07h,,,,,,,,,,,,,,,,,,
,GUI-3939,High zoom level visual improvements for the start page,,,2818.18h,,,,,,,,,,,,,,,,,,
,GUI-3938,Keyboard navigation of the login modal on mobile is broken,,,2818.58h,,,,,,,,,,,,,,,,,,
,GUI-3937,Contact us modal in the header (mobile) doesn't have a close button in the tab order,,,2819.75h,,,,,,,,,,,,,,,,,,
,GUI-3934,Implicit submit should not trigger on interactive elements,,,2689.97h,,,,,,,145.30h,17.65h,,,,,,,,,,
,GUI-3933,disabled hidden inputs cause an orphaned label,,,2853.13h,,,,,,,,,,,,,,,,,,
,GUI-3930,searchinput aria-label is still set when inside of ui-field with a label of its own,,,2855.00h,,,,,,,,,,,,,,,,,,
