Type,Key,Summary,Resolution Date,Ready for patch [deleted],Open,Ready for Development,Backlog,On Hold,Waiting test deploy,To Do,Ready for Refinement,In Progress,In Code Review,Acceptance Testing,Ready for Deploy,Testing,Ready for Testing,Code review,Discovery,Delivery,Canceled,Done,Cancelled
,GUI-1245,Confirm with signing method info message,,,,,,,,146.63h,,,,,,,,,,,44851.05h,,
,GUI-1237,Select all,,,,,,,,502.07h,,,,,,,,,,,44515.27h,,
,GUI-1220,[PEN Test][UI] xss issue,,,,,,,,0.83h,,,,,,,,,,,45185.63h,,
,GUI-1184,Issue with table view - when resizing window in ibank text message,,,,,,,,838.43h,,,,,,,,,,,45167.33h,,
,GUI-1176,Maintain payment list pt.3,,,,,,,,189.10h,,820.22h,,,,,,,,,45017.27h,,
,GUI-1141,Banklink icon not shown,,,,,,,,294.92h,,,,,,,,,,,46360.43h,,
,GUI-1086,Everything related to signing widget,7/4/23,,,,1511.18h,,,22772.82h,,,,,,,,,,,8542.58h,,15146.42h
,GUI-1076,Read-only radio button,,,,,,,,2.77h,,291.08h,,,,,,,,,47874.40h,,
,GUI-1036,Admin interface,,,,,,,,47.95h,,3480.20h,,,,,2520.63h,0.00h,,,42665.05h,,
,GUI-1035,Everything related to admin interface for business,7/4/23,,,,1511.18h,,,23513.77h,,,,,,,,,,,8542.58h,,15146.42h
,GUI-1010,"Upgrade browser ""tooltip"" in validator",,,,,,,,26.18h,,,,,,,,,,,49219.55h,,
,GUI-1000,Everything related to chat,7/4/23,,,,1511.08h,,,24355.80h,,,,,,,,,,,8542.58h,,15146.53h
,GUI-984,SMART Form Mouse Pointer Tooltip Incorrect Language,,,264.50h,,,,,1610.97h,69.57h,,,,,,,,,,48377.78h,,
,GUI-969,Everything related to animation,7/4/23,,,,1511.18h,,,25290.45h,,,,,,,,,,,8542.58h,,15146.43h
,GUI-941,Everything related to cookies,7/4/23,,,,1511.18h,,,25700.32h,,,,,,,,,,,8542.58h,,15146.43h
,GUI-940,Everything related to new header,7/4/23,,,,1511.13h,,,25700.47h,,,,,,,,,,,8542.58h,,15146.48h
,GUI-934,SMART_PMT modal window for instant fail issue,,,,,,,,0.57h,,,,,,,,,,,51071.00h,,
,GUI-933,Blurry text in popup - news 1st page,,,,138.57h,0.32h,,,486.68h,,0.03h,,,,,,,,,50587.00h,,
,GUI-907,Edge problem in rendering,,,,,,,,120.97h,,,,,,,,,,,51405.37h,,
,GUI-891,Card transaction details printing sometimes doesn´t work correctly,,,,1.10h,0.28h,,,2978.53h,,,,,,,,,,,48713.78h,,
,GUI-884,ui-slider value set in JS,,,,,,,,25.37h,,,,,,,,,,,51739.02h,,
,GUI-878,Parent field for controls frontend part,,,,,,,,14735.73h,,816.05h,,,,,,,,,36280.92h,,
,GUI-818,Make UI transition ends easily detectable,,,,,,,,4055.47h,,,,,,,,,,,48715.15h,,
,GUI-797,Modal in inactive tab adjustment,,,,,,,,430.23h,,,,,,,,,,,52747.05h,,
,GUI-793,AI - I cant open tooltip in modal,,,,,,,,796.50h,,,,,,,,,,,52409.02h,,
,GUI-787,Language bar error,,,,,,,,3.07h,,,,,,,,,,,53247.20h,,
,GUI-773,Page recreate using web components,,,,,,,,105.02h,,579.22h,,,,,23.72h,320.62h,,,52508.50h,,
,GUI-772,Optional fields,,,,,,,,17256.72h,,,,,,,,,,,36280.92h,,
,GUI-764,Defined payments new solution,,,,,,,,17308.85h,,,,,,,,,,,36280.90h,,
,GUI-740,Dynamic charts delivery,,,,,,,,9673.93h,,,,,,,,,,,44176.57h,,
,GUI-739,ERROR on Ibank Vendornet - MenuItemInterceptors - Failed to invoke interceptor,,,,,,,,599.38h,,,,,,,,,,,53251.13h,,
,GUI-713,Everything related to feedback form,7/4/23,,,,1510.80h,,,29010.02h,,,,,,,,,,,8542.58h,,15146.80h
,GUI-702,Navigation in Google maps,,,,,,,,0.05h,,,,,,,,,,,54259.80h,,
,GUI-670,SMART_PMT confirmation page button position is wrong (OLD FORM),,,69.08h,,,,,144.60h,,,,,,,,,,,54716.62h,,
,GUI-651,Pages not responding for 5 minutes in TEST,,,,,,,,1733.45h,,,,,,,,,,,53224.00h,,
,GUI-649,mobile_view: amount are absent or not fully visible on chart,,,,,,,,5.90h,,,,,,,93.60h,,,,54929.93h,,
,GUI-626,Wide picture/banner,,,,,,31273.68h,,265.10h,,,,,,,,,,,23827.08h,,
,GUI-608,Everything related to redoing xsl based pages to web components,7/4/23,,,,1510.78h,,,30404.72h,,,,,,,,,,,8542.58h,,15146.82h
,GUI-575,Everything related to payment form,7/4/23,,,,1510.75h,,,30862.50h,,,,,,,,,,,8542.58h,,15146.85h
,GUI-566,Unify general icons to fit new icon grid,,,,,,,,0.25h,,504.12h,,,,,,,,,55603.53h,,
,GUI-554,Everything related to icons and their unification,7/4/23,,,,1510.72h,,,31024.75h,,,,,,,,,,,8542.58h,,15146.90h
,GUI-551,Tooltips for disabled buttons,,,,,,,,6262.15h,,,,,,,,,,,50013.57h,,
,GUI-534,"Everything related to integration between 3ds secure, Modirum",7/4/23,,,,1510.70h,,,31267.73h,,,,,,,,,,,8542.58h,,15146.90h
,GUI-531,Calendar with predefined date in modal,,,,,,,,139.75h,,26.05h,,,,,0.00h,,,,56444.40h,,
,GUI-523,Payment form part 2,,,,,,,,189.73h,,,,,,,,,,,56612.65h,,
,GUI-518,Support UIChallenge without cancel button,,,,,,,,1532.70h,,,,,,,,,,,55389.07h,,
,GUI-507,Table 9 to web components,,,,,,,,51.57h,,95.70h,,,,,,335.85h,,,56612.87h,,
,GUI-499,Numeric pattern (:numeric_comma_dot:) validation allows 'e' character to be entered,,,,,,,,886.80h,,95.62h,,,,,0.02h,142.07h,,,56302.47h,,
,GUI-472,Horizontal radio button,,,,,,,,24.88h,,,,,,,,,,,57763.00h,,
,GUI-467,Ui Signing for payment form,,,,,,,,648.88h,,190.47h,,,,,,,,,56948.78h,,
,GUI-504,Login button and some links not working in old devices,,,,,746.75h,,,7126.30h,,,,,,,,,,,50013.53h,,
,GUI-408,Try to replace ibank main form,,,,,,,,1.80h,,,,,,,,,,,58746.25h,,
,GUI-401,Bug in UISlider,,,,,,,,28.63h,,,,,,,,,,,58770.77h,,
,GUI-568,Adding external account column fix,,,,,,,,9312.57h,,,,,,,,,,,49747.97h,,
,GUI-368,Bugs in UIField,,,,,,,,3.32h,,,,,,,,,,,59299.48h,,
,GUI-335,Refactoring index and summary statement pages accoridng to design,,,,,,,,11039.32h,,,,,,,,,,,48713.75h,,
,GUI-376,Create alignment for the same tables same columns with,,,,,,0.00h,,3210.35h,,363.63h,,,,,24.97h,,,,56276.82h,,
,GUI-313,Everything related to improvement of development process,7/4/23,,,,,,,34316.43h,,477.07h,,,,,,,,1511.35h,8542.58h,,15146.25h
,GUI-312,https://www.swedbank.ee/guidelines#typography#cards 4-card images have incorrect name and wrong mobile view,,,,,,,,3359.62h,,,,,,,,,,,56635.70h,,
,GUI-288,Basic labels for web components,,,,,,,,0.23h,,171.67h,,,,,,,,,60307.85h,,
,GUI-285,New overlay element,,,,,,,,142.55h,,478.00h,,,,,,530.30h,,,59467.53h,,
,GUI-269,Bell notification does not show up in mobile/zoomed-in view,,,,,21.85h,,,142.20h,,,,,,,,,,,60670.55h,,
,GUI-264,JAWS is not reading the log out button,,,,,,,,985.55h,,,,,,,,,,,59998.57h,,
,GUI-261,SEO improvements,,,,,,,,485.18h,,,,,,,,,,,60596.38h,,
,GUI-255,Icon to table + new row type,,,,,,,,337.25h,,44.10h,,,,,53.18h,68.60h,,,60667.22h,,
,GUI-250,Badge in comparison table makes table broken in IE,,,,,,36693.88h,,821.25h,,,,,,,,,,,23804.68h,,
,GUI-247,"Images broken in IE explorer, test env. LT ",,,,,,,,2906.55h,,,,,,,,,,,58438.75h,,
,GUI-243,Account statement export buttons in ibank,,,,,,,,985.57h,,,,,,,,,,,60498.55h,,
,GUI-225,Everything related to creating and using UI own continuous integration and delivery,7/4/23,,,,1510.70h,,,36620.50h,,,,,,,,,,,8542.58h,,15146.92h
,GUI-187,Business card table mobile view styling is off,,,,,,,,8065.47h,,,,,,,,,,,54856.35h,,
,GUI-186,Everything related to Web Components,7/4/23,,,,384.93h,,,37723.30h,,,,,,,,,1126.38h,,8542.58h,,15146.28h
,GUI-181,EMS/NPS questionnaire and invitation letter adaption to smart phone users.,,,,,,,,341.60h,,,,,,,,,,,63089.92h,,
,GUI-141,User ID input field opens keyboard with letters in iOS,,,,,70.47h,,,409.15h,,,,,,,,,,,63789.23h,,
,GUI-119,Checkbox pages,,,,,,,,4202.07h,,,,,,,,,,,60427.07h,,
,GUI-93,Eye catchers on smaller screens,,,,,,73.45h,,696.60h,,,,,,,,,,,64600.60h,,
,GUI-263,TimeOutNotifier: Redundant refreshSession request,,,2446.85h,,,,,17093.23h,,,,,,,,,,,45883.47h,,
,GUI-56,New period by month element to Guidelines,,,,,,36264.20h,,530.70h,,,,,,,,,,,29203.15h,,
,GUI-39,Code Base Clean-Up,7/4/23,,,,1510.80h,,,40984.80h,,,,,,,,,,,8542.60h,,15146.80h
,GUI-127,Upgrade/cleanup markup for definitionRow template,,,4363.95h,,,698.92h,,4535.20h,,2453.32h,,,,,,,,,57088.42h,,
