Type,Key,Summary,Resolution Date,Open,To Do,On Hold,Development,Ready for Testing,Testing,Refinement,Code review,Analysis,Business acceptance test,Done
,CORE-10399,Filebarn API certificate will expire (bca_reports_PB ),2/2/26,0d 0h 18m,5d 3h 45m,,0d 19h 51m,12d 2h 7m,0d 0h 0m,,,,,25d 1h 13m
,CORE-10397,Filebarn API certificate will expire,2/12/26,1d 0h 15m,3d 9h 43m,,0d 14h 49m,,22d 22h 49m,,,,,15d 3h 53m
,CORE-10390,TIDY Implement double identification for disposal candidate records,1/19/26,0d 0h 0m,0d 0h 51m,,2d 21h 34m,2d 3h 31m,,0d 0h 0m,,,,38d 21h 52m
,CORE-10387,"TIDY Add account types CE, CG, and CL to LDM setup",1/29/26,0d 0h 1m,,,,0d 23h 33m,0d 0h 54m,14d 23h 3m,,,,28d 22h 55m
,CORE-10385,"Onboard Azure NS to Andromeda Portal (DEV, TEST, GATE)",2/27/26,0d 0h 0m,,44d 20h 5m,,,,,,,,0d 5h 52m
,CORE-10378,Exclude customer Swedbank from VAT generator in LT/LV,1/27/26,0d 5h 43m,7d 23h 18m,,1d 5h 46m,0d 0h 43m,4d 2h 5m,,1d 10h 28m,,,31d 1h 45m
,CORE-10376,TIDY New batch to check shadow tables structure,2/19/26,0d 0h 0m,15d 18h 31m,,5d 13h 45m,8d 11h 54m,1d 2h 30m,10d 4h 22m,,,,8d 0h 4m
,CORE-10369,TIDY Create shadow tables for data backup,2/20/26,0d 0h 1m,9d 17h 49m,,11d 8h 19m,7d 15h 43m,3d 8h 0m,10d 22h 45m,,,,6d 20h 54m
,CORE-10359,New grants for CORE_MONITORING_RL,1/8/26,0d 0h 7m,,,1d 19h 58m,,,,,,,50d 5h 17m
,CORE-10358,TIDY Update disposal summary record when global disposal is canceled,1/30/26,0d 0h 1m,,,,0d 23h 11m,0d 22h 4m,22d 22h 21m,,,,28d 0h 49m
,CORE-10341,Onboard worker-ldm-task-exec GATE to skyvault as an andromeda application,2/26/26,13d 20h 25m,1d 3h 15m,,16d 22h 58m,20d 3h 11m,,,,,,0d 20h 7m
,CORE-10301,Onboard worker-statementsdb-sync GATE to skyvault as an andromeda application/1,2/10/26,13d 20h 28m,2d 23h 34m,,11d 22h 3m,6d 22h 56m,,,,,,17d 5h 1m
