Type,Key,Summary,Resolution Date,Open,Investigation,Ready for Refinement,Backlog,Reopened,On Hold,Refined,In Development,Ready for test,In Testing,Waiting for acceptance,In Progress,Done,Abandoned,,,,
,CALLS-1547,Integrate reprocessing DLT into spacetime management,4/28/26,0.03h,,451.95h,,,,1.93h,747.47h,68.38h,21.87h,,,24.63h,,,,,
,CALLS-1546,[FLM] Output counting variables only when count matches,3/6/26,0.00h,,0.48h,,,,0.00h,2.40h,16.42h,0.00h,,,1297.07h,,,,,
,CALLS-1545,[DB] Add new permissions as a script to authorization management,3/6/26,0.58h,,0.00h,,,,0.00h,22.20h,0.00h,0.00h,,,1293.82h,,,,,
,CALLS-1544,Cleanup execution metrics from ACT_RU_METER_LOG,,1321.60h,,,,,,,,,,,,,,,,,
,CALLS-1543,Remove indexes from History tables (1),3/9/26,18.62h,,0.43h,,,,0.12h,94.57h,0.00h,0.13h,,,1224.22h,,,,,
,CALLS-1542,[placeholder] Monitor/alert for Kafka DLT topics,,1318.73h,,0.08h,,,,24.82h,,,,,,,,,,,
,CALLS-1541,[FLM Entrypoint] implement idempotency check for new Payment Order,4/20/26,4.72h,,19.10h,,,,119.68h,818.10h,49.20h,119.38h,,,213.45h,,,,,
,CALLS-1538,Move application context to common lib,3/5/26,0.05h,,45.65h,,,,0.00h,0.00h,1.18h,0.00h,,,1319.13h,,,,,
,CALLS-1537,Create custom logger for usage in script tasks,3/6/26,0.08h,,28.95h,,,,0.00h,42.60h,0.10h,0.00h,,,1294.32h,,,,,
,CALLS-1536,Move complex script tasks to java delegates,3/26/26,0.15h,,338.17h,,,,0.02h,25.70h,0.63h,189.68h,,,811.77h,,,,,
,CALLS-1535,Create a component for cancellation script tasks,3/5/26,0.18h,,0.00h,,,,0.00h,28.83h,15.55h,0.00h,,,1321.60h,,,,,
,CALLS-1529,modify trigger on DP table to broadcast payments to BPAY streaming application,,19.70h,,0.00h,,,,1488.00h,,,,,,,,,,,
,CALLS-1528,"[FLM] Error ""Expected 'Number', got 'STRING'"" while processing mass payment (instdAmt)",2/27/26,0.00h,1.03h,16.68h,,,,0.00h,28.47h,0.22h,2.57h,,,1462.58h,,,,,
,CALLS-1527,[FLM|Entrypoint] Change processVariables to processVariablesToTriggeredScope when sending payment state change,2/25/26,16.18h,,0.00h,,,,0.00h,2.98h,0.02h,3.02h,,,1506.85h,,,,,
,CALLS-1526,"[FLM] Optimize signal event usage in Process definitions, send with variables",2/27/26,0.00h,70.27h,0.00h,,,,0.00h,2.17h,0.00h,0.00h,,,1458.00h,,,,,
,CALLS-1525,[FLM] Status update from core DB not correctly updated in FLM,3/2/26,0.00h,70.15h,0.00h,,,,0.00h,2.33h,69.88h,2.58h,,,1385.53h,,,,,
,CALLS-1524,[FLM] Creditor MIG address validation for domestic payment,2/26/26,45.62h,,,,,,,,,,,,,1488.27h,,,,
,CALLS-1522,[FLM | Validate and Enrich] Creditor MIG address validation address line,3/2/26,69.82h,,0.00h,,,,0.00h,0.67h,2.73h,93.42h,,,1388.13h,,,,,
,CALLS-1521,[FLM] Create an incident when limit usage ID already exists when calling Limits API,,0.00h,,1631.10h,,,,,,,,,,,,,,,
,CALLS-1518,Penetration tests,3/10/26,0.00h,,0.00h,,,,191.13h,268.92h,0.00h,0.00h,,,1193.90h,,,,,
,CALLS-1514,[FLM] Limits service does not return BPMNerror when NOT_FOUND,2/19/26,0.00h,,18.77h,,,,0.95h,20.43h,30.95h,0.58h,,,1651.47h,,,,,
