Type,Key,Summary,Resolution Date,Funnel,Backlog,Open,Investigation,Ready for Refinement,On Hold,Analysing,Implementing,In Deployment,In Development,Ready for test,In Testing,Refined,Waiting for acceptance,Done,Cancelled,Abandoned,Funnel to Done,Implementing to Done
,VDE19-475,[ISO20022] VoP for MX Payments,4/28/26,2376.15h,,,,,,,,,,,,,,,48.83h,,2376.15h,0.00h
,VDE19-474,[ISO20022] Fraud Screening for MX Payments,,2086.30h,,,,,,338.72h,,,,,,,,,,,2425.02h,0.00h
,VDE19-473,[ISO20022] Instant Payment Limit for MX Payments,,2376.25h,,,,,,48.82h,,,,,,,,,,,2425.07h,0.00h
,VDE19-472,[ISO20022] Status Reporting for MX payments,,773.87h,834.72h,,,,,816.58h,,,,,,,,,,,2425.17h,0.00h
,VDE19-471,[ISO20022] MX Payment Data Validation and Enrichment,4/23/26,773.88h,186.92h,,,,,767.30h,366.62h,160.20h,,,,,,170.27h,,,2254.92h,526.82h
,VDE19-470,[ISO20022] MX Payment flow Orchestration,,2021.20h,,,,,,404.08h,,,,,,,,,,,2425.28h,0.00h
,VDE19-469,[ISO20022] MX Payments Manual Exception Handling,,2425.40h,,,,,,,,,,,,,,,,,2425.40h,0.00h
,VDE19-468,[ISO20022] Changes in Messaging (ISO Exchange),,774.17h,215.22h,,,,,763.13h,673.03h,,,,,,,,,,2425.55h,673.03h
,VDE19-467,[ISO20022] Adjust Contract Management for Swift Services,,2425.72h,,,,,,,,,,,,,,,,,2425.72h,0.00h
,VDE19-466,Clean up vulnerability list for services belonging to Baltic Payments,3/30/26,401.78h,0.00h,,,,,0.02h,1421.00h,0.00h,,,,,,738.92h,,,1822.80h,1421.00h
,VDE19-463,[TPH][MQ][ROMA CONF][MT991] MQ and RoMa conf to send message MT991 to SAA,3/23/26,22.15h,0.00h,,,,,694.37h,934.23h,0.00h,,,,,,913.38h,,,1650.75h,934.23h
,VDE19-462,SWIFT MX Standard Release 2026 changes,,1779.62h,,,,,,813.25h,,,,,,,,,,,2592.87h,0.00h
,VDE19-486,40. Received E-Invoices Page,3/23/26,451.20h,0.00h,,,,,0.02h,1349.08h,0.00h,,,,,,906.08h,,,1800.30h,1349.08h
,VDE19-461,Migration of old Notification AQ messages to Notification Dispatcher,,2707.18h,,,,,,,,,,,,,,,,,2707.18h,0.00h
,VDE19-460,Payment priority selection in iBank,,2730.92h,,,,,,,,,,,,,,,,,2730.92h,0.00h
,VDE19-459,Supporting structured remittance information in international payments,,2735.70h,,,,,,,,,,,,,,,,,2735.70h,0.00h
,VDE19-458,Unstructured address removal changes,,2400.40h,,,,,,336.48h,,,,,,,,,,,2736.88h,0.00h
,VDE19-457,Payment systems Q4 2026 release,,1923.52h,,,,,,813.38h,,,,,,,,,,,2736.90h,0.00h
,VDE19-455,"T2, RT1 and TIPS Q2 2026 release",,1368.42h,119.23h,,,,,552.30h,697.10h,,,,,,,,,,2737.05h,697.10h
,VDE19-439,Enabler [SLA]: prod BUG fixes & small improvements // 2025,1/15/26,1.37h,0.00h,,,,,0.00h,0.00h,399.97h,,,,,,2521.35h,,,401.33h,399.97h
,VDE19-444,Enabler: [TIDY Agr Summ] Baltic Payments R&D // W045,,3068.47h,,,,,,,,,,,,,,,,,3068.47h,0.00h
,VDE19-443,Enabler: [TIDY Agr Summ] Baltic Payment Order Management // W991,,3068.52h,,,,,,,,,,,,,,,,,3068.52h,0.00h
