Type,Key,Summary,Resolution Date,Funnel,Backlog,Open,Investigation,Ready for Refinement,On Hold,Analysing,Implementing,In Deployment,In Development,Ready for test,In Testing,Refined,Waiting for acceptance,Done,Cancelled,Abandoned,Funnel to Done,Implementing to Done
,VDE19-74,[IPR] ensure possibility for Payment flow manager to check service limitations using external services,8/29/25,3287.97h,0.00h,,,,,,,3770.05h,1075.90h,0.02h,,,,,5858.88h,8133.93h,1075.92h,
,VDE19-41,[IPR] ensure possibility for Payment flow manager to verify executability of payment order using external services,11/7/25,4342.95h,0.00h,,,,,,,5263.77h,256.98h,0.02h,,,,,4177.13h,9863.72h,257.00h,
,VDE19-77,[IPR] Deploy Camunda 7 as orchestrator for payment flow manager,3/26/26,2862.10h,0.00h,,,,,,,6715.50h,3669.65h,0.00h,,,,,841.62h,13247.25h,3669.65h,
,VDE19-38,"[IPR] Prepare activation of cross border Inst payments in Ibank in SMART form, in Mobile App and Open Bank for all customers",4/3/25,767.12h,0.00h,,,,,,,916.27h,1315.52h,1682.80h,,,,,9407.28h,4681.70h,2998.32h,
,VDE19-63,[IPR] Receive file metadata from SGW,5/6/25,2958.20h,0.00h,,,,,,,2519.25h,0.00h,0.00h,,,,,8611.70h,5477.45h,0.00h,
,VDE19-166,[IPR] Enabler: align new business process for instant payment performance via STAR App,4/22/25,696.68h,0.00h,,,,,,,4626.43h,0.00h,,,,,,8953.55h,5323.12h,0.00h,
,VDE19-150,[IPR] Enabler: analyze new requirements for Instant Payments limits,7/17/25,476.13h,0.00h,,,,,,,4849.22h,0.00h,,,,,,8927.53h,5325.35h,0.00h,
,VDE19-177,[Prep-NiceActimize] Maintenance: implement Error handling process for BpayStreaming app,1/23/25,0.13h,834.52h,172.03h,,,,,,720.10h,1278.55h,238.22h,,,,,11085.80h,3243.55h,1516.77h,
,VDE19-58,[TPH] Account Check service enhancements,12/5/24,0.00h,329.93h,,,,,,,1543.67h,337.75h,0.02h,,,,,12263.58h,2211.37h,337.77h,
,VDE19-165,[FLM] Enabler: assess open source orchestration solutions,12/19/24,0.43h,21.17h,379.32h,700.40h,,,,,0.03h,1493.60h,,,,,,11922.33h,2594.95h,1493.60h,
,VDE19-162,TEST: [TPH] Non-functional testing,,1656.65h,,,,,,,,13029.97h,,,,,,,,14686.62h,0.00h,
,VDE19-110,[Prep-NiceActimize] Create BpayStream integration application,11/4/24,360.90h,,169.67h,94.92h,,,,,24.87h,1174.13h,0.00h,,,,,13009.77h,1824.48h,1174.13h,
,VDE19-49,Enabler: [TPH] Test automation suite,1/3/25,1415.00h,,,,,,,,1846.27h,,,,,,11566.17h,,14827.43h,11566.17h,
,VDE19-118,[TPH][ISOX] TPH outgoing payment related messages flow with ISO_exchange,,1171.88h,,,,,,,,14017.63h,,,,,,,,15189.52h,0.00h,
,VDE19-57,[IPR] Apply risk rules for cross-border Instant payments,2/25/25,2321.72h,0.00h,,,,,,,939.72h,2016.25h,91.00h,,,,,10298.38h,5368.68h,2107.25h,
,VDE19-52,[IPR] Special prices for SEPA and SEPA Instant payments,12/2/24,1177.88h,0.00h,,,,,,,2059.70h,264.45h,407.63h,,,,,12337.25h,3909.67h,672.08h,
,VDE19-91,[IPR] Changes in STAR due to unification of cross-border and domestic SEPA payments,1/15/25,0.00h,,1225.05h,454.40h,,,,,1006.65h,1370.20h,1031.62h,,,,,11281.22h,5087.92h,2401.82h,
,VDE19-64,[TPH][STAR] Debit from customer additional fee in case of fee type is OUR (DEBT),,16443.93h,,,,,,,,,,,,,,,,16443.93h,0.00h,
,VDE19-89,[TPH] [PROD] TPH system installation and configuration,11/6/24,1697.93h,,531.33h,308.50h,,,,,0.08h,988.17h,0.00h,,,,,12957.40h,3526.02h,988.17h,
,VDE19-114,[TPH] Providing TPH incoming payment information to the user in channels,4/10/25,2564.03h,1321.03h,,,,,,,1702.68h,1371.58h,306.02h,,,,,9244.83h,7265.35h,1677.60h,
,VDE19-96,[TPH] Incoming MT910 message processing in TPH,5/21/25,2850.32h,167.65h,,,,,,,4222.42h,1014.82h,0.02h,,,,,8251.65h,8255.22h,1014.83h,
,VDE19-71,[TPH][CORE DB] Store STAR outgoing payments in DP table and notify Flow Manager,,16534.93h,,,,,,,,,,,,,,,,16534.93h,0.00h,
,VDE19-121,RT1 yearly releases 2024,11/7/24,1851.78h,,167.75h,597.05h,,,,,236.70h,436.68h,308.25h,,,,,12936.82h,3598.22h,744.93h,
,VDE19-45,[TPH] [Kafka service] Update Payment information from Kafka in ISOX,4/8/25,1.83h,,340.68h,337.40h,,,,,2199.90h,4386.57h,150.67h,,,,,9283.85h,7417.05h,4537.23h,
,VDE19-99,Enabler: [TPH] BB TPH IL - Kafka service for storing payment in DP table (plan B for reports),3/27/25,6329.70h,,,,,,,,820.22h,,,,,,9575.18h,,16725.10h,9575.18h,
,VDE19-151,[TPH] SIAM/SNAP integration with TPH,4/7/25,3316.03h,1005.02h,,,,,,,2039.18h,1104.07h,0.00h,,,,,9312.40h,7464.30h,1104.07h,
,VDE19-53,Enabler: [TPH] Pre-Production & Piloting activities,,912.53h,,0.00h,,0.05h,,,,15933.93h,,,,,,,,16846.52h,0.00h,
,VDE19-171,[IPR] Revisit and optimize code of SEPA application,4/10/25,6673.30h,138.48h,,,,,,,0.18h,702.63h,135.02h,,,,,9243.63h,7649.62h,837.65h,
,VDE19-107,[IPR] Split SEPA exchange application in to 2 “Virtual” instances dedicated for “Normal” and “Instant” message processing,2/27/25,283.17h,,0.00h,118.48h,,,,,366.25h,5857.53h,0.00h,,,,,10243.87h,6625.43h,5857.53h,
,VDE19-112,[TPH] GUI to manage risk rules checking manual cases,1/3/25,5377.83h,,,,,,,,,,,,,,11566.98h,,16944.82h,11566.98h,
,VDE19-100,Enabler [SLA]: prod BUG fixes & small improvements,,3608.28h,0.00h,,,,,,,0.07h,13337.78h,,,,,,,16946.13h,13337.78h,
,VDE19-79,[TPH] [BB TPH IL] - Account Check API to consume Namecheck Service,12/16/24,2516.58h,,312.28h,310.47h,,,,,0.85h,1779.62h,0.00h,,,,,11998.98h,4919.80h,1779.62h,
,VDE19-90,[TPH] Payment Order Data Manager & API to store TPH payment in CORE DB,3/25/25,288.82h,,306.28h,313.87h,,,,,2236.60h,4199.17h,0.00h,,,,,9623.97h,7344.73h,4199.17h,
,VDE19-131,[TPH] [CORE DB] Update CORE reports and procedures regarding Incoming TPH payments,12/9/25,8878.23h,0.00h,,,,,,,4729.12h,0.00h,0.00h,,,,,3408.12h,13607.35h,0.00h,
,VDE19-140,Enabler [TPH] Create system documentation in WIKI and update W670 Service Offering,,532.75h,,0.00h,,,,,,16482.90h,,,,,,,,17015.65h,0.00h,
,VDE19-147,[TPH] Monitoring/ Logging setup for TPH (all environments),,2569.40h,608.93h,,,,,,,4577.65h,9283.72h,,,,,,,17039.70h,9283.72h,
,VDE19-155,[TPH] User roles - Payments Operations in TPH UI,,3718.12h,2548.32h,440.50h,,,,,,3977.92h,6258.90h,,,,,,,16943.75h,6258.90h,
,VDE19-75,"[Dyn] Include TPH payments into swift services camt.052, camt.053, camt.054",4/24/25,8136.18h,,,,,,,,,,,,,,8899.35h,,17035.53h,8899.35h,
,VDE19-170,[TIDY: Local Disposal] One time data deletion of Payment product's data where AML law is not applicable,,17036.10h,,,,,,,,,,,,,,,,17036.10h,0.00h,
,VDE19-113,[TPH] Include TPH payments to Customer Statement,7/29/25,3955.78h,1331.58h,,,,,,,1932.95h,3117.92h,0.95h,,,,,6602.15h,10339.18h,3118.87h,
,VDE19-152,[TIDY: Local Disposal] Local Disposal Mechanism rules implementation in Payments area // Filebarn,,14030.10h,,,,,,,,2935.30h,,,,,,,,16965.40h,0.00h,
,VDE19-167,[TPH] [CORE DB] Include TPH payments to Nostro Statement,12/18/24,554.52h,,504.62h,430.95h,,,,,1724.17h,1872.02h,0.00h,,,,,11951.10h,5086.27h,1872.02h,
,VDE19-178,[TPH] [CORE DB] [FT] Include TPH payments to Comparison report,6/12/25,2947.85h,280.12h,,,,,,,4547.30h,1319.67h,168.18h,,,,,7726.32h,9263.12h,1487.85h,
,VDE19-174,[TPH] [REF] [PPTE] RTGS Directory is made available for TPH,11/27/24,171.65h,,0.02h,0.00h,,,,,1771.72h,2591.37h,0.02h,,,,,12457.63h,4534.77h,2591.38h,
,VDE19-122,[TPH] [REF] [PPTE] ECB and national CB FX rate upload to TPH,11/7/24,242.22h,0.00h,0.22h,0.00h,,,,,1701.45h,2113.28h,0.22h,,,,,12935.10h,4057.38h,2113.50h,
,VDE19-129,[TPH][REF][PPTE][PROD] Upload RMA from SWIFT central repository to TPH,12/19/24,2526.97h,,284.78h,32.00h,,,,,92.15h,2129.90h,0.00h,0.80h,,,,11926.15h,5066.60h,2130.70h,
,VDE19-67,[SEPA FLM] SEPA Payments service offering review,2/21/25,3962.40h,2546.32h,0.00h,,,,,,172.53h,209.87h,,,,,,10389.37h,6891.12h,209.87h,
,VDE19-59,[TIDY: Local Disposal] Local Disposal Mechanism rules implementation in Payments area // Products,,13940.97h,,,,,,,,3602.65h,,,,,,,,17543.62h,0.00h,
,VDE19-130,[TIDY: Local Disposal] Local Disposal Mechanism implementation in Payments area,,17639.65h,,,,,,,,,,,,,,,,17639.65h,0.00h,
,VDE19-119,Enabler: [TIDY: Local Disposal] Defining data retention/ deletion rules for Baltic Payments area service offerings,,13772.27h,,,,,,,,3795.42h,,,,,,,,17567.68h,0.00h,
,VDE19-95,[TPH] Data loadings for Reporting Reconciliation in EAP,1/28/26,7487.50h,149.13h,,,,,,,4453.13h,3510.47h,,,,,,2204.65h,15600.23h,3510.47h,
,VDE19-44,5. [TIDY Agr Summ] Data enrichment,,1369.28h,13437.17h,2110.13h,,,,,,892.17h,,,,,,,,17808.75h,0.00h,
,VDE19-54,4. [TIDY Agr Summ] Integration with Accounts API,,2234.93h,13437.15h,1344.97h,,,,,,863.75h,,,,,,,,17880.80h,0.00h,
,VDE19-80,3. [TIDY Agr Summ] Application integration with Oracle Database,,2234.95h,13076.65h,2109.93h,,,,,,26.80h,360.50h,,,,,,,17808.83h,360.50h,
,VDE19-146,"1. [TIDY Agr Summ] DB: prepare Oracle triggers, procedures & AQ tables",3/26/26,0.50h,10173.63h,3049.28h,,,,,,1346.05h,2230.52h,190.62h,,,,,842.33h,16990.60h,2421.13h,
,VDE19-141,[TPH][CORE DB] Store Standing Orders outgoing payment in DP and notify Flow Manager,,18284.47h,,,,,,,,,,,,,,,,18284.47h,0.00h,
,VDE19-127,0. [TIDY Agr Summ] Payment Products Data quality improvements & one-time Data cleaning // Phase 1,11/7/24,6.80h,,2614.18h,94.93h,,,,,398.13h,1949.43h,308.28h,,,,,12936.82h,5371.77h,2257.72h,
,VDE19-161,[TPH] [BB TPH IL] - Namecheck API,12/2/24,809.58h,,0.00h,0.00h,,,,,2567.32h,2718.97h,0.00h,,,,,12330.47h,6095.87h,2718.97h,
,VDE19-128,[IPR] Store all defined payments in one place,2/19/25,0.02h,,979.92h,454.42h,,,,,3507.30h,3242.12h,0.00h,,,,,10440.90h,8183.77h,3242.12h,
,VDE19-176,Enabler: Regular PBREL payment services performance testing,,4827.75h,,0.03h,0.25h,,,,,0.05h,13838.87h,,,,,,,18666.95h,13838.87h,
,VDE19-92,[ISO20022] Agent charges management MT to ISO 2024 (CBPR+ flow),11/11/24,1506.03h,,863.38h,284.02h,,,,,2212.42h,1036.23h,99.30h,,,,,12834.55h,6001.38h,1135.53h,
,VDE19-84,"Instant payments - Temporary instant payment sending out switching off in case of incident in other bank, Revolut. (LT, LV).",2/12/25,8252.55h,,,,,,,,,,,,,,10605.45h,,18858.00h,10605.45h,
,VDE19-157,TARGET & EURO1 yearly releases 2024,11/7/24,1579.65h,,0.00h,0.00h,,,,,2114.45h,2073.85h,87.10h,,,,,12936.80h,5855.05h,2160.95h,
,VDE19-97,[IPR] Enable cross-border SEPA payments in SMART form,4/15/25,1657.53h,,2472.00h,0.17h,,,,,860.55h,4342.85h,674.47h,,,,,9119.97h,10007.57h,5017.32h,
,VDE19-72,BPAY Innovation Backlog,,11658.27h,2561.98h,0.00h,0.00h,,,,,0.03h,5049.20h,,,,,,,19269.48h,5049.20h,
,VDE19-159,New Pricing of High Risk Country Payments,3/11/25,454.52h,,691.13h,1.47h,,,,,820.92h,7511.90h,0.00h,,,,,9960.40h,9479.93h,7511.90h,
,VDE19-115,[TPH] Payments Operational Reporting and Archiving,,11281.50h,,,,,,,,8209.28h,,,,,,,,19490.78h,0.00h,
,VDE19-50,[Dyn] Nice Actimize IFM-X [AFC domain],,19631.65h,,,,,,,,,,,,,,,,19631.65h,0.00h,
,VDE19-62,[TPH] Implement FCP screening flow distributor for Risk rules,1/3/25,8064.72h,,,,,,,,,,,,,,11566.97h,,19631.68h,11566.97h,
,VDE19-173,[TPH] Adapter/Connector for TPH API Gateway,2/13/25,9053.03h,,,,,,,,,,,,,,10578.67h,,19631.70h,10578.67h,
,VDE19-102,[TPH] Payment Event Interfaces for GDW [BI analytics domain],,5303.37h,295.05h,,,,,,,8414.15h,5715.13h,,,,,,,19727.70h,5715.13h,
,VDE19-175,[TPH] [MQs] TPH incoming payment related messages flow with ISO Exchange,6/17/25,314.93h,,0.00h,0.00h,,,,,4219.32h,7466.98h,0.00h,,,,,7606.47h,12001.23h,7466.98h,
,VDE19-108,[TPH] [MQ] [Kafka service] IWH feed via MQ to Kafka from TPH,4/8/25,4461.62h,,291.35h,0.02h,,,,,720.22h,4699.98h,150.65h,,,,,9283.87h,10323.83h,4850.63h,
,VDE19-142,[TPH BB IL] - Bookings Service,11/19/25,3313.42h,148.15h,,,,,,,6885.95h,5399.45h,0.02h,,,,,3884.78h,15746.98h,5399.47h,
,VDE19-126,"[TPH] [MQs] [Proscan] Sanctions & Risk Rules Screening DEV, TEST, PPTE",3/5/25,2858.42h,,0.00h,0.00h,,,,,1676.00h,4969.97h,1.12h,,,,,10102.28h,9505.50h,4971.08h,
,VDE19-42,"[TPH] [BB TPH IL] - Funds Update API (no returns, no payment creation)",4/2/25,3672.10h,,309.30h,313.78h,,,,,1513.48h,4390.80h,0.00h,,,,,9432.32h,10199.47h,4390.80h,
,VDE19-68,TEST: [TPH][EndToEnd] Incoming bank-to-bank pacs.009 payment MAIN,3/25/26,14566.97h,0.00h,,,,,,,4202.18h,1.08h,,,,,,863.97h,18770.23h,1.08h,
,VDE19-85,[Dyn] Separating FX from payment transaction (clean up),,0.02h,12785.77h,,,,,,,7110.68h,,,,,,,,19896.47h,0.00h,
,VDE19-169,Enabler: [Skyvault migration] server/environment preparation & application deployment,,6173.38h,,,,,,,,13814.05h,,,,,,,,19987.43h,0.00h,
,VDE19-109,Enabler: [TPH] Ensure K+TP and Trafis payments flow analysis after TPH implementation,,20128.77h,,,,,,,,,,,,,,,,20128.77h,0.00h,
,VDE19-93,TEST: [TPH][EndToEnd] Incoming customer pacs.008 payment MAIN,3/25/26,7221.53h,0.00h,0.00h,0.00h,,,,,12072.68h,1.18h,,,,,,863.92h,19295.40h,1.18h,
,VDE19-69,7. [TIDY Agr Summ] Implement Error handling process,,2259.17h,13437.15h,1344.95h,,,,,,3930.12h,,,,,,,,20971.38h,0.00h,
,VDE19-136,9. [TIDY Agr Summ] Migration of all Agreement Summary Data [day 0 loading],,5399.20h,13437.12h,1011.55h,,,,,,1197.15h,,,,,,,,21045.02h,0.00h,
,VDE19-143,6. [TIDY Agr Summ] Create and process requests for Messages,,5400.12h,13437.12h,1011.50h,,,,,,1197.23h,,,,,,,,21045.97h,0.00h,
,VDE19-154,2. [TIDY Agr Summ] Integration to KAFKA,,1301.00h,12191.90h,3048.13h,,,,,,3188.12h,1245.20h,,,,,,,20974.35h,1245.20h,
,VDE19-46,Enabler: [TPH] Define testing strategy for TPH implementation,12/27/24,0.40h,0.00h,331.52h,0.00h,,,,,3094.47h,4493.35h,,,,,,13340.65h,7919.73h,4493.35h,
,VDE19-98,[Enabler] [ISO20022] SWIFT MT94X service target architecture pre-analysis,11/26/25,12568.65h,,330.57h,0.00h,,,,,0.00h,5021.18h,,,,,3722.08h,,21642.48h,8743.27h,
,VDE19-48,[Enabler] [ISO20022] SWIFT MT101 service target architecture pre-analysis,11/26/25,12738.60h,,330.50h,0.02h,,,,,0.10h,5021.22h,,,,,3722.08h,,21812.52h,8743.30h,
,VDE19-158,Enabler: [Dyn Decom] Payment data availability TRE Liquidity Risk Reporting.,,23881.08h,,,,,,,,,,,,,,,,23881.08h,0.00h,
,VDE19-101,[TPH] [CORE API layer] Correspondent accounts API (NOSTRO),3/20/25,3822.83h,,189.48h,430.93h,,,,,5615.15h,4084.17h,0.00h,,,,,9738.97h,14142.57h,4084.17h,
,VDE19-65,Enabler: [Dyn Decom] Create Messaging Hub APIs on top of PL/SQL interfaces.,,24021.27h,,,,,,,,,,,,,,,,24021.27h,0.00h,
,VDE19-186,Enabler: [Dyn Decom] Fix the AS-IS metadata scanning.,,21983.13h,,,,,,,,2400.92h,,,,,,,,24384.05h,0.00h,
,VDE19-184,Enabler: [Dyn Decom] Liquidity Reporting,,21983.93h,,,,,,,,2492.47h,,,,,,,,24476.40h,0.00h,
,VDE19-139,"Enabler: [Dyn Decom] Search, view and perform free bookkeeping entries",,24571.25h,,,,,,,,,,,,,,,,24571.25h,0.00h,
,VDE19-103,[TPH] Requesting Agent Charges,11/20/25,9085.17h,150.33h,331.28h,0.00h,,,,,4127.72h,6918.77h,0.02h,,,,,3861.97h,20613.28h,6918.78h,
,VDE19-163,"Enabler: [Dyn Decom] Store, search and view messages in message archive",,24571.43h,,,,,,,,,,,,,,,,24571.43h,0.00h,
,VDE19-188,E-Invoices: investigate possible tech solutions for importing of big files in 30 seconds timeout query,3/23/26,17187.48h,,,,6738.57h,52.37h,,,,,,,117.72h,,907.42h,,25003.55h,1025.13h,
,VDE19-181,"[OpenShift] ""Payment Services"" consumer migration in production and Rancher functionality decommissioning",1/9/25,11765.37h,,170.83h,0.17h,,,,,377.43h,2666.70h,0.02h,,,,,11422.60h,14980.52h,2666.72h,
,VDE19-81,Enabler [SLA]: prod BUG fixes & small improvements // 2024,12/12/24,0.00h,,0.02h,0.00h,,,,,4898.85h,9716.27h,0.02h,,,,,12097.72h,14615.15h,9716.28h,
,VDE19-224,[SEPA FLM] Decommissioning deprecated cross-border SEPA payments functionality,2/12/25,12557.70h,1408.15h,,,27.27h,,,,195.33h,1995.12h,0.00h,,,,,10602.92h,16183.57h,1995.12h,
,VDE19-138,[TPH][REF][PPTE][PROD] Reference Data for TPH,8/25/25,6984.33h,2775.75h,,,,,,,6394.42h,4606.20h,0.17h,,,,,5954.27h,20760.87h,4606.37h,
,VDE19-160,Enabler: [TPH] Case/Investigations managements,,20823.98h,71.47h,94.90h,0.00h,,,,,1968.33h,5141.68h,,,,,,,28100.37h,5141.68h,
,VDE19-183,Enabler: [TPH] Outgoing customer payment processing analysis and business configuration,,4323.23h,71.45h,190.98h,796.68h,,,,,16716.50h,6025.52h,,,,,,,28124.37h,6025.52h,
,VDE19-185,Enabler: [Dyn Decom] Provide correspondent banking services,,28125.03h,71.45h,,,,,,,,,,,,,,,28196.48h,0.00h,
,VDE19-190,Enabler: [Dyn Decom] Manage Correspondent banking services,,28125.08h,71.45h,,,,,,,,,,,,,,,28196.53h,0.00h,
,VDE19-187,Enabler: [Dyn] Screen payment against AFC rules,,17926.05h,71.45h,312.72h,0.00h,,,,361.72h,3688.08h,5021.42h,,,,743.12h,,,28124.55h,5764.53h,
,VDE19-189,"Enabler: [Dyn Decom]Create and send free format MT messages (category 2,5,7,9)",,28077.17h,71.45h,,,,,,,0.00h,,,,,,,,28148.62h,0.00h,
,VDE19-191,Enabler: [Dyn Decom] Manage Intraday Liquidity,,19029.85h,71.45h,310.13h,0.08h,,,,,3667.93h,5021.28h,,,,,,,28100.73h,5021.28h,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
