Type,Key,Summary,Resolution Date,Open,Ready for Refinement,Investigation,Reopened,To Do,Backlog,Refined,In Development,Ready for test,In Testing,Blocked,ON-HOLD testing,Selected for Development,In Progress,Waiting for acceptance,Done,Abandoned
,PAYME-1057,[IPR-report final statuses] 8. [Dependant on VDE19-125] Start preparing report: get details of the list of payments,9/1/25,1754.37h,2590.38h,,,,,0.00h,93.97h,0.00h,0.00h,,,,,,4876.50h,
,PAYME-1053,[IPR-report final statuses] 9. Compose pain.002,9/24/25,1754.42h,2611.73h,,,,,0.00h,173.22h,458.00h,0.00h,,,,,,4317.87h,
,PAYME-1024,"[Waits E-2-E testing, currently on hold] Save API data to database",3/14/25,215.08h,0.00h,,214.27h,,,0.00h,284.07h,27.25h,0.35h,,,,,,8979.63h,
,PAYME-1012,[core-payment-order-data-manager] update single outgoing payment order,6/11/25,457.45h,120.50h,723.95h,,,,399.88h,152.47h,1050.68h,294.48h,,,,,,6837.37h,
,PAYME-1009,[core-payment-order-data-manager] store mass payment header,5/29/25,909.53h,287.13h,123.73h,67.47h,,,43.72h,208.57h,916.87h,324.35h,23.63h,,,,,7150.35h,
,PAYME-1008,[core-payment-order-data-manager] create api endpoint to retrieve status of single payment order,3/12/25,382.63h,21.47h,335.42h,,,,3.88h,117.37h,2.65h,167.65h,,,,,,9024.28h,
,PAYME-1007,[core-payment-order-data-manager] create API endpoint to retrieve basic data of multiple payment orders,5/19/25,1178.25h,288.97h,67.42h,,,,0.00h,335.57h,648.77h,143.32h,0.00h,,,,,7393.17h,
,PAYME-1006,[core-payment-order-data-manager] insert single outgoing payment order,6/9/25,909.40h,71.37h,4.78h,294.67h,,,403.22h,447.25h,677.03h,357.83h,,,,,,6889.88h,
,PAYME-1005,[core-payment-order-data-manager] create api endpoint to retrieve full data of single payment order,5/30/25,815.05h,137.70h,52.07h,,,,0.00h,385.90h,487.73h,1043.90h,,,,,,7133.13h,
,PAYME-999,[217][DB CORE] Search duplicate payment,5/2/25,1847.32h,0.02h,,156.25h,,,26.45h,17.05h,201.32h,30.38h,,,,,,7800.33h,
,PAYME-998,[217][DB CORE] [iBank] Delete payment,6/19/25,2182.90h,0.00h,0.00h,377.27h,,,163.30h,361.32h,77.22h,269.48h,,,,,,6647.65h,
,PAYME-997,[217][DB CORE] Payment accepting and processing,7/9/25,189.07h,0.00h,,24.73h,,,22.08h,1729.72h,893.05h,1054.55h,,,,,,6165.95h,
,PAYME-996,[217][DB CORE] Payment searching,4/24/25,1841.68h,0.00h,,,,,0.00h,33.13h,19.32h,193.52h,0.00h,,,,,7991.55h,
,PAYME-995,[217][CORE DB] Payment restoring,6/16/25,1847.40h,0.02h,,,,,27.68h,502.65h,332.32h,650.07h,,,,,,6719.08h,
,PAYME-994,[217][CORE DB] Payment validation debt cred data,6/11/25,187.82h,0.00h,,119.10h,,,0.00h,1320.65h,674.98h,598.10h,405.30h,,,,,6845.28h,
,PAYME-993,[217][DB CORE] Payment validation,6/3/25,74.33h,0.00h,,,,,0.00h,1362.15h,29.22h,1174.58h,405.30h,,,,,7033.67h,
,PAYME-992,[217][bank-components] Set DP.CREDITOR_BANK_CODE as null when there is no IBAN,6/12/25,0.00h,189.05h,,43.83h,,,1391.18h,885.40h,165.75h,752.60h,,,,,,6821.00h,
,PAYME-1059,[IPR-report final statuses] 6. [Dependant on VDE19-125] ] Create API to update status report information,5/29/25,1819.48h,716.97h,,167.70h,,,25.67h,26.78h,308.27h,2.37h,0.00h,,,,,7153.05h,
,PAYME-1039,Create API to update payment file status,3/14/25,998.92h,0.00h,,,,,0.00h,222.90h,18.93h,0.00h,,,,,,8979.67h,
,PAYME-1058,[IPR-report final statuses] 5. [Dependant on VDE19-125] Publish pain.002 (formed from memory) information to Kafka topic,9/24/25,4438.40h,770.82h,,,,,0.00h,71.33h,652.22h,0.00h,,,,,,4317.85h,
,PAYME-1055,[IPR-report final statuses] 2. Store pain.002 to filebarn,9/2/25,1849.85h,356.32h,,,,,1324.37h,1770.97h,96.30h,0.00h,,,,,,4852.87h,
,PAYME-1054,S4.2 - [IPR-report final statuses] 1. Compose pain.002 for rejected file or batch (from data stored in memory),9/24/25,2258.12h,0.00h,191.82h,,,,451.82h,530.93h,2134.42h,313.57h,,,,,,4274.02h,
,PAYME-980,"[217][SGW] Initiate, execute outgoing international payment",,2830.47h,0.00h,,,,,48.12h,552.78h,,,477.70h,,,,,6485.13h,
,PAYME-975,(Core reports) Adjust 'PROD EE/LV/LT big dom pmts' reports,1/24/25,70.20h,4.82h,,,,,41.90h,6.40h,170.25h,44.85h,,,,,,10151.65h,
,PAYME-974,(Core reports) Adjust 'pensions payments in EE' report (EE),1/22/25,1.35h,5.10h,68.58h,,,,41.70h,0.23h,174.68h,0.33h,,,,,,10198.17h,
,PAYME-962,"S3.1 - [217][OBN] Initiate, execute, view outgoing international payment",,3449.12h,0.00h,,,,,48.15h,1030.48h,,,1132.08h,,,,,5353.03h,
,PAYME-961,[217][MT101] Process outgoing international payments initiated with MT101,7/9/25,619.13h,146.73h,,157.62h,,,3601.37h,69.85h,4.58h,246.20h,,,,,,6167.45h,
,PAYME-959,[217][Core DB] Cancel OBN payment from FP; Cancel cut-off payment from iBank,7/4/25,620.83h,146.65h,2351.02h,42.23h,,,331.12h,916.38h,233.13h,85.67h,0.00h,,,,,6287.57h,
,PAYME-955,"[217][iBank][TEST]Initiate, execute, view outgoing international payment from account statement/payment archive/payment history",7/29/25,2686.02h,,577.03h,,,,,,,168.57h,2041.08h,,,,,5686.60h,
,PAYME-954,"S3.3 - [217]][iBank][TEST]Initiate, execute, view outgoing international payment via import of payments",8/12/25,2686.05h,,577.02h,,,,,,303.53h,178.55h,2060.60h,,,,,5353.55h,
,PAYME-953,"S3.3 - [217][iBank][TEST]Initiate, execute, view outgoing international payment via list of payments",8/5/25,2686.07h,,577.05h,,,,,,202.07h,137.47h,2038.63h,,,,,5518.05h,
,PAYME-952,"[217][iBank][TEST]Initiate, execute, view single outgoing international payment",7/26/25,2350.48h,,577.07h,,,,,,,140.72h,2322.58h,,,,,5768.55h,
,PAYME-949,[bank-components] Display foreign payments stored in DP table as old ones,1/10/25,721.37h,0.00h,,,,,0.00h,41.15h,0.00h,0.00h,,,,,,10491.55h,
,PAYME-948,[bank-components] Save foreign payments to DP table,1/10/25,44.60h,0.00h,,,,,0.00h,717.95h,0.00h,0.00h,,,,,,10491.55h,
,PAYME-947,[bank-components] Add new sysglobal,12/11/24,0.07h,0.00h,,,,,0.00h,44.50h,0.00h,0.00h,,,,,,11209.57h,
,PAYME-946,[Core DB] Implement new sysglobal for TH/THN VMK tables decommissioning,12/9/24,0.00h,0.00h,,,,,3.53h,5.93h,60.12h,0.48h,,,,,,11259.35h,
,PAYME-940,[Core DB] Exclude FPO from domestic payments comparison reports,1/20/25,499.02h,580.23h,,0.97h,,,48.50h,0.58h,26.22h,87.72h,,,,,,10251.23h,
,PAYME-917,[Core DB] Provide original outgoing payment data from DP,1/29/25,220.85h,402.88h,,,,,725.70h,43.45h,118.85h,174.90h,,,,,,10028.90h,
,PAYME-914,(enabler) Analyze what reporting must be adjusted when new payment type (FPO) appears in DP,1/27/25,1132.77h,0.00h,498.57h,,,,,,,,,,,,,10084.25h,
,PAYME-912,(enabler) Analyze and describe changes needed for FP debit batch to consume payments from DP,1/28/25,220.12h,241.05h,,,,,907.77h,291.93h,0.00h,0.00h,,,,,,10054.70h,
,PAYME-918,"(enabler) Analyze and describe changes needed in Bank components to store, manage and view all payments to/from DP",1/10/25,219.93h,403.83h,,,,,0.00h,600.28h,0.00h,0.00h,,,,,,10491.53h,
Production bug,PAYME-635,[ISO-exchange] Vulnerabilities,4/11/24,0.00h,0.00h,,66.48h,,,0.00h,644.70h,166.07h,154.15h,,,,,,17065.47h,
