Type,Key,Summary,Resolution Date,Open,Ready for Refinement,Investigation,Reopened,To Do,Backlog,Refined,In Development,Ready for test,In Testing,Blocked,ON-HOLD testing,Selected for Development,In Progress,Waiting for acceptance,Done,Abandoned
,PAYME-1752,6.1. [BH] Convert Swift pain.001 to Java object,,196.87h,,477.07h,,,,,,,,,,,,,,
,PAYME-1750,BH-data-manager: Update API collecting payment information needed for pain.002,,0.00h,72.62h,0.00h,,,,22.55h,26.98h,189.40h,,,430.95h,,,,,
,PAYME-1748,[BH worker] Send pain.002 message to ISO Exchange,,578.55h,,166.03h,,,,,,,,,,,,,,
,PAYME-1747,"[iBank] Implement VoP audit Trail logging in List Of payments, Salary payment & Smartform",,0.85h,358.25h,286.95h,,,,0.00h,99.65h,,,,,,,,,
,PAYME-1746,[Ibank] LT: Mass payments opened for editing - payment data is not prefilled,2/23/26,0.03h,3.27h,,,,,0.00h,,0.00h,67.73h,,,,,,676.38h,
,PAYME-1743,[iBank] Mass payments - in list of payments need some changes with INPRG payments,3/19/26,0.12h,429.00h,,,,,0.00h,198.75h,18.00h,22.73h,,,,,,100.23h,
,PAYME-1751,Incorrect total amount displayed in consolidated payment view on signing page,2/25/26,27.35h,16.10h,,,,,0.00h,57.60h,14.92h,26.63h,,,,,,626.50h,
,PAYME-1742,5. [BH] Call ISO Exchange to Get Swift pain.001 message,,292.42h,477.80h,,,,,,,,,,,,,,,
,PAYME-1737,1. [BH] Create a new Kafka topic schema for Swift pain.001 support,,293.73h,172.33h,306.15h,,,,,,,,,,,,,,
,PAYME-1735,2. [ISO Exchange] Add Batch Handler as a target local system,,309.68h,436.80h,41.68h,,,,,,,,,,,,,,
,PAYME-1734,4. [BH] Swift pain.001 process implementation,,309.75h,,478.43h,,,,,,,,,,,,,,
,PAYME-1733,3. [ISO Exchange] Publish the new Kafka topic for Swift pain.001 message,,309.78h,,478.43h,,,,,,,,,,,,,,
,PAYME-1732,[iBank] - List of payments - an error occurs when trying to forward prepared payment without signing rights,2/23/26,18.40h,0.00h,,,,,0.00h,95.77h,0.00h,2.10h,,,,,,673.80h,
,PAYME-1731,Issue in case close match in list of payments when beneficiary name was changed with not allowed characters (not national characters),2/20/26,0.50h,18.92h,,,,,0.00h,1.00h,19.83h,26.33h,,,,,,747.60h,
,PAYME-1729,"[iBank] mass payments, when VOP status is null can't be signed",2/19/26,0.17h,45.98h,,,,,0.00h,,3.48h,1.38h,,,,,,767.17h,
Bug Sub-Task,PAYME-1727,"When both batches in payment file get rejected, pain.002 is providing wrong information for one of them",3/4/26,0.02h,240.35h,,,,,0.00h,21.40h,194.73h,0.92h,,,,,,452.85h,0.00h
,PAYME-1726,Incorrect label and behavior in case VoP request counter has reached or exceeded 100 in the client session or client session has been flagged due to sending multiple VoP requests within one second,,0.03h,0.00h,,,,,992.13h,18.65h,,,,,,,,,
,PAYME-1724,"Refresh button does not dissapear, even the VOP is finalized",2/27/26,318.47h,0.00h,,,,,0.00h,41.85h,5.30h,19.58h,,,,,,577.45h,
Bug Sub-Task,PAYME-1723,SGW: CRE payments get NOVOP,2/23/26,41.05h,0.00h,,,,,0.00h,89.20h,163.47h,0.00h,,,,,,669.60h,
,PAYME-1722,Update consuming of Kafka topic tracker.status.reports,,19.25h,0.00h,,,,,0.00h,121.98h,409.00h,,,430.93h,,,,,
Production bug,PAYME-1721,VOP check is initiated again in case beneficiary's data is not changed in SMART payment form,,0.12h,1056.67h,0.00h,,,,,,,,,,,,,,
Bug Sub-Task,PAYME-1720,MsgId in pain.002 has to be generated on our side,3/4/26,0.00h,172.77h,,,,,0.00h,65.40h,293.72h,0.23h,,,,,,453.78h,0.00h
,PAYME-1718,Not correct status visible in Mass/Salary payment,2/18/26,0.05h,0.00h,,,,,66.50h,121.22h,27.08h,24.53h,,,,,,836.62h,0.95h
,PAYME-1717,[iBank] List of payments is very slow with 100 payments and not loading with 300+ payments,2/24/26,0.25h,0.00h,0.00h,,,,0.00h,341.50h,93.38h,1.25h,,,,,,647.23h,
,PAYME-1820,New SEPA country -SERBIA (as of 3rd of May 2026),,1102.88h,,,,,,,,,,,,,,,,
,PAYME-1716,VOP for mass payments is not updated correctly,3/3/26,51.92h,0.00h,,298.07h,,,0.00h,259.32h,34.37h,8.77h,,,,,,477.78h,
Bug Sub-Task,PAYME-1715,Mass payments have incorrect VOP status after editing,2/20/26,25.33h,0.00h,0.00h,237.03h,,,0.00h,0.52h,114.42h,8.88h,,,,,,744.18h,
Production bug,PAYME-1714,[DB CORE] FPO - 13537 error code problem,,0.00h,,1153.25h,,,,,,,,,,,,,,
,PAYME-1713,"LT country ""confirm button"" translations for received VoP response: ""Close match"" (CMTC)",2/17/26,71.10h,0.00h,,,,,0.00h,75.08h,20.87h,175.93h,,,,,,812.53h,
,PAYME-1794,Refactor code to use enum names instead of db values for labels,,769.80h,0.00h,,,,,334.43h,70.47h,,,,,,,,,
,PAYME-1712,Production green field migration,,0.00h,0.00h,,,,,0.00h,401.90h,,,701.73h,73.57h,,,,,
Bug Sub-Task,PAYME-1711,"Translations for pop-up, status after adding new payment if vop is performed and forward button loading icon issues",2/16/26,142.45h,0.00h,,,,,29.08h,21.00h,66.98h,144.15h,,,,,,840.10h,
,PAYME-1710,"Not possible to perform VOP manually, if in List of Payments exist payments with different VOP statuses",2/10/26,0.00h,74.60h,0.00h,,,,0.90h,89.63h,72.08h,31.73h,,,,,,980.63h,
,PAYME-1709,[iBank] Warnings are not refreshed while opening imported payment,2/9/26,74.12h,0.00h,,0.95h,,,0.68h,48.83h,116.73h,5.07h,,,,,,1006.57h,
,PAYME-1700,Testing Bank defined (only LV) - [iBank] Display VoP statuses in List of Payments for different payment types based on in channel code,2/2/26,0.02h,0.00h,,,,,0.00h,,139.73h,0.02h,,,,,,1179.75h,
,PAYME-1699,S1.2 - Testing E-invoice - [iBank] Display VoP statuses in List of Payments for different payment types based on in channel code,2/2/26,0.02h,0.00h,0.00h,,,,0.00h,,50.25h,95.37h,,,,,,1173.88h,
,PAYME-1698,S1.3 [TEST] Mobile bank - [iBank] Display VoP statuses in List of Payments for different payment types based on in channel code,2/10/26,0.02h,67.97h,,,,,0.05h,79.78h,146.03h,38.32h,,,,,,987.35h,
,PAYME-1697,s1.3 - Testing Open Banking - [iBank] Display VoP statuses in List of Payments for different payment types based on in channel code,2/2/26,0.03h,0.00h,,,,,0.00h,,140.32h,3.02h,,,,,,1176.18h,
,PAYME-1708,CVUL0075152,3/6/26,50.62h,0.00h,0.00h,,,,0.00h,92.20h,241.83h,29.20h,,503.32h,,,,406.50h,
,PAYME-1707,CVUL0075053,3/6/26,46.97h,0.00h,2.57h,,,,0.00h,93.30h,241.83h,29.20h,,503.32h,,,,406.50h,
,PAYME-1795,Update hint for VOP status,3/18/26,0.02h,1051.43h,,,,,17.40h,10.77h,91.72h,49.57h,,,,,,119.83h,
,PAYME-1796,Improve the Filter possibility for Verification of Payee column,,0.48h,1217.93h,,,,,0.00h,122.82h,,,,,,,,,
,PAYME-1691,Incorrect vop result message is shown in SMART form in the bottom of payment page,,0.25h,914.60h,,20.53h,,,550.48h,,0.00h,0.23h,,,,,,,
,PAYME-1690,"EE country incorrect ""Continue anyway"" button translations for received VoP response: ""Verification check is not possible"" (NOAP)",2/2/26,0.05h,0.00h,,,,,71.05h,76.85h,86.18h,2.03h,,,,,,1178.12h,
,PAYME-1689,"EE country incorrect ""Back"" button translations for received VoP response: „No match”",2/2/26,0.03h,0.00h,,,,,143.10h,5.28h,86.17h,1.65h,,,,,,1178.50h,
,PAYME-1688,"[iBank] After uploading file with 1000 payments, it cannot be opened in File import",2/24/26,95.02h,191.37h,,,,,0.00h,189.92h,95.07h,196.62h,,0.00h,,,,647.22h,
,PAYME-1687,"[iBank] - VOP status is not updated, when payment is updated from list of payments",2/19/26,0.10h,96.55h,68.38h,185.45h,,,0.00h,106.93h,124.75h,62.58h,,,,,,771.18h,
,PAYME-1686,"LV country incorrect LAT translation in case customer presses button ""go back"" when received VoP response: ""Verification check is not possible"" (NOAP)",2/2/26,0.05h,0.00h,,,,,76.97h,76.85h,86.18h,1.47h,,,,,,1178.68h,
,PAYME-1685,"LV country incorrect ""Continue anyway"" button translations for received VoP response: ""Verification check is not possible"" (NOAP)",2/2/26,0.15h,0.00h,,,,,148.50h,5.32h,86.15h,1.38h,,,,,,1178.77h,
,PAYME-1684,"LV country incorrect ""Continue anyway"" button translations for received VoP response: „No match”",2/2/26,18.48h,0.00h,,,,,76.95h,76.87h,86.17h,1.27h,,,,,,1178.88h,
,PAYME-1683,[iBank] Imported MASS payments - when user try to open 2nd time and sign - incorrect error is shown,1/29/26,1.78h,0.00h,,,,,15.77h,6.30h,1.00h,144.80h,,,,,,1269.28h,
,PAYME-1682,"LT country translations for received VoP response: ""Verification check is not possible"" (NOAP)",2/2/26,0.02h,0.00h,,,,,99.82h,76.88h,86.15h,1.12h,,,,,,1179.03h,
,PAYME-1680,[worker-payment-vop-handler] Improve grafana dashboard,1/30/26,0.00h,0.00h,,,,,0.00h,45.10h,0.00h,169.97h,,,,,,1250.97h,
