Type,Key,Resolution Date,Backlog,To Do,Open,In Progress,AC Test,Code review,Selected for Development,In Development,Done,Cancelled
,BWEBDEV-8134,,4d 20h 13m,,,0d 8h 25m,0d 23h 30m,,,,7d 1h 52m,
,BWEBDEV-8133,,6d 21h 37m,3d 3h 0m,,0d 1h 52m,1d 18h 38m,,,,1d 9h 6m,
,BWEBDEV-8120,,0d 17h 48m,0d 0h 0m,,0d 6h 5m,13d 2h 28m,,,,,
,BWEBDEV-8103,,4d 5h 52m,1d 23h 15m,,0d 1h 37m,1d 16h 31m,,,,6d 8h 41m,
,BWEBDEV-8092,,0d 1h 42m,0d 0h 0m,,0d 0h 13m,0d 21h 16m,,,,14d 5h 19m,
,BWEBDEV-8091,,0d 2h 28m,4d 20h 5m,,0d 21h 3m,0d 3h 15m,,,,9d 5h 46m,
,BWEBDEV-8081,,0d 1h 19m,0d 0h 34m,,1d 21h 38m,3d 22h 47m,,,,9d 8h 37m,
,BWEBDEV-8079,,0d 23h 13m,0d 0h 0m,,1d 3h 31m,13d 5h 52m,,,,,
,BWEBDEV-8060,,0d 3h 49m,2d 21h 35m,,0d 5h 47m,5d 20h 46m,,,,7d 4h 31m,
,BWEBDEV-8058,,0d 16h 25m,0d 1h 31m,,0d 0h 10m,0d 1h 43m,,,,16d 5h 38m,
,BWEBDEV-8054,,0d 19h 21m,6d 20h 52m,,1d 1h 55m,0d 5h 10m,,,,8d 3h 37m,
,BWEBDEV-8050,,0d 0h 40m,,,5d 5h 57m,8d 19h 56m,,,,3d 2h 28m,
,BWEBDEV-8038,,0d 1h 36m,0d 0h 58m,,0d 3h 25m,1d 21h 52m,,,,15d 3h 49m,
,BWEBDEV-8028,,0d 0h 49m,3d 0h 34m,,0d 16h 26m,6d 7h 19m,,,,10d 1h 18m,
,BWEBDEV-8025,,0d 0h 42m,2d 20h 1m,,0d 1h 13m,1d 21h 53m,,,,15d 7h 10m,
,BWEBDEV-8024,,0d 0h 1m,,,0d 0h 7m,2d 18h 24m,,,,17d 8h 43m,
,BWEBDEV-8023,,9d 19h 4m,0d 0h 1m,,0d 7h 12m,9d 8h 7m,0d 17h 28m,,,,
,BWEBDEV-8019,,0d 0h 28m,0d 2h 10m,,0d 1h 40m,2d 16h 30m,0d 1h 28m,,,17d 8h 56m,
,BWEBDEV-7992,,0d 1h 51m,,,,3d 5h 45m,0d 18h 49m,,,17d 2h 58m,
,BWEBDEV-7972,,0d 2h 4m,4d 19h 22m,,,3d 3h 31m,,,,14d 4h 48m,
,BWEBDEV-7970,,0d 0h 3m,0d 22h 31m,,0d 4h 13m,0d 1h 4m,,,,21d 3h 3m,
,BWEBDEV-7969,,0d 21h 21m,,,0d 7h 0m,1d 3h 1m,,,,19d 23h 46m,
,BWEBDEV-7965,,0d 12h 9m,0d 0h 55m,,0d 0h 19m,6d 0h 24m,,,,16d 9h 19m,
,BWEBDEV-7958,,0d 17h 1m,0d 0h 0m,,0d 0h 0m,0d 4h 34m,,,,22d 4h 47m,
,BWEBDEV-7956,,0d 0h 52m,0d 0h 19m,,0d 1h 1m,0d 15h 52m,,,,22d 9h 16m,
,BWEBDEV-7954,,0d 1h 1m,0d 15h 49m,,0d 4h 5m,0d 2h 40m,,,,22d 4h 21m,
,BWEBDEV-7946,,1d 18h 36m,0d 2h 16m,,5d 20h 49m,1d 1h 41m,,,,15d 6h 10m,
,BWEBDEV-7897,,0d 0h 57m,4d 1h 35m,,0d 1h 1m,5d 18h 9m,,,,17d 8h 46m,
,BWEBDEV-7893,,0d 0h 3m,0d 1h 58m,,0d 3h 40m,2d 4h 34m,3d 17h 22m,,,21d 4h 25m,
,BWEBDEV-7889,,13d 19h 43m,0d 22h 25m,,0d 5h 25m,0d 2h 16m,,,,13d 0h 6m,
,BWEBDEV-7880,,5d 20h 55m,0d 0h 6m,,0d 5h 4m,0d 21h 10m,,,,21d 6h 52m,
,BWEBDEV-7876,,0d 0h 57m,0d 1h 13m,,3d 20h 25m,0d 1h 10m,,,,24d 9h 19m,
,BWEBDEV-7846,,0d 0h 43m,0d 1h 58m,,0d 17h 51m,0d 1h 19m,,,,28d 7h 49m,
