Type,Key,Summary,Resolution Date,Funnel,Backlog,Think it,Idea Box Business,Reviewing,Analysing,Implementing,Choose It,Initial discovery,Delivery,Cancelled,Done,Funnel to Done,Implementing to Done,,,,,
Program Epic,VDE19-27,[Dyn] [TPH] Pre TPH improvements: FX trx separation,3/25/26,,,1243.85h,,,,12573.12h,1254.47h,356.02h,6024.32h,,863.35h,21451.77h,20207.92h,,,,,
Program Epic,VDE19-29,"Payment Baltic: application maintenance, enhancements & support",,,,189.02h,,,,13436.47h,0.02h,528.05h,8376.82h,,,22530.37h,22341.35h,,,,,
Program Epic,VDE19-36,[Enabler] E-invoice Receiver API,2/2/26,11356.03h,1.13h,5162.97h,6908.50h,,,,,,,2080.43h,,25509.07h,2080.43h,,,,,
Program Epic,VDE19-7,[NiceActimize] Streaming automated payments to Kafka for fraud detection and PSD2 compliance,4/16/25,,,317.05h,,,,4340.62h,813.52h,11255.13h,1705.82h,,9095.85h,18432.13h,18115.08h,,,,,
Program Epic,VDE19-28,[SEPA FM] SEPA flow merge (domestic and cross border payments),2/21/25,,,0.00h,,,,3048.12h,192.07h,6577.35h,7339.08h,,10388.35h,17156.62h,17156.62h,,,,,
Program Epic,VDE19-11,[OpenShift] Payments Baltic team owned application/services migration from Rancher to OpenShift,1/9/25,,,0.12h,,,,2015.33h,2641.97h,5202.05h,8690.38h,,11421.13h,18549.85h,18549.73h,,,,,
Program Epic,VDE19-23,[TIDY] GDPR data retention for Baltic Payments services,,9716.00h,,10902.73h,,551.27h,3169.20h,,5639.25h,3910.78h,,,,33889.23h,9550.03h,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
