Type,Key,Summary,Resolution Date,Open,Ready for Refinement,Investigation,Reopened,In Development,Refined,Ready for test,In Testing,Blocked,Waiting for acceptance,Done,Abandoned,,,,,,
,SOL-1687,[TPH][BALTICS] Booking-Podm PODM_RETURN_FROM_INVESTIGATION scenario do not resolve to correct values,4/9/26,1.10h,,,,27.22h,,0.27h,0.20h,,,474.82h,,,,,,,
,SOL-1686,Service account issues in PROD,4/16/26,192.07h,,,,,,,,,,312.55h,,,,,,,
,SOL-1685,Create Kafka Gate env resources,,210.72h,125.67h,,,,188.25h,,,,,,,,,,,,
,SOL-1683,"[TPH DB][2 weeks before] Create script for agent charges (prices, agreements) based on FP setup",,0.02h,0.73h,,,,524.57h,,,,,,,,,,,,
,SOL-1682,[TPH DB][2 weeks before][Bank corr types] SSI export from FP to TPH,,0.10h,1.03h,,,,524.57h,,,,,,,,,,,,
,SOL-1681,[Funds Update automation] UC5B REMOVAL of LT & LV support for Outgoing Return from Vostro account via Vostro,4/7/26,0.05h,,,,2.70h,,,,,,527.62h,,,,,,,
,SOL-1679,INITGPTY party does not map postal address,,620.57h,,,,,,,,,,,,,,,,,
,SOL-1678,[TPH] [EndToEnd] - Incoming customer pacs.008 payment agent charges Automation,,648.08h,,,,,,,,,,,,,,,,,
,SOL-1677,Tieto package installment (TPH Delivery 2.5.24),4/14/26,289.65h,,,,,,,,,,360.92h,,,,,,,
,SOL-1676,[Booking automation] BOOKING-PODM automated tests create possibility to process return flows in automation framework,4/10/26,0.00h,,,,197.25h,,,,,,453.38h,,,,,,,
,SOL-1675,FU test account switch to not cross-use same IBAN with Account check API tests,4/2/26,0.10h,,,,20.33h,,,,,,647.82h,,,,,,,
,SOL-1674,Migrate RTGS head.001.001.01 (V01) to head.001.001.04 (V04) with T2 R2026.JUN,,694.57h,,,,,,,,,,,,,,,,,
,SOL-1673,Renew certificates for TPHB,,696.78h,,,,,,,,,,,,,,,,,
,SOL-1704,CVUL0134665 - GO,4/17/26,219.85h,,,,46.40h,19.50h,,,120.47h,,291.30h,,,,,,,
,SOL-1703,CVUL0120896 - GO,4/17/26,218.68h,0.00h,,,65.40h,1.68h,,,120.47h,,291.30h,,,,,,,
,SOL-1738,CVUL0135947,,651.25h,,,,46.35h,,,,,,,,,,,,,
,SOL-1672,[Booking-PODM] podm_return_to_investigation INSERT podm scenario not resolving to correct field values (debtor assertion fields fails),,274.33h,,,,75.60h,,430.72h,,,,,,,,,,,
,SOL-1671,[Booking-PODM] podm_return_to_investigation INSERT podm scenario not resolving to correct field values,4/15/26,303.12h,,,,22.67h,,122.48h,,,,335.60h,,,,,,,
,SOL-1670,[Booking-PODM] podm_credited_remit_trn_updated podm scenario not resolving to correct field values,,325.88h,,,,458.07h,,,,,,,,,,,,,
,SOL-1669,[Booking-PODM] podm_cancelled podm scenario not resolving to correct field values,4/15/26,328.15h,,,,,,121.48h,0.20h,,,334.60h,,,,,,,
,SOL-1668,[Booking-PODM] podm_credited_benef_trn_account_number_updated podm scenario not resolving to correct field value,4/15/26,327.00h,,,,1.05h,,119.17h,,,,337.38h,,,,,,,
,SOL-1667,"[Booking-PODM] podm_credited podm scenario not resolving to correct field value (id.iban, othr.id only)",,331.38h,,312.33h,,141.22h,,,,,,,,,,,,,
,SOL-1666,DEBTOR party: iban is not mapped correctly,,406.07h,,,,,,,,,,,379.88h,,,,,,
,SOL-1665,[Booking-PODM] podm_credited podm scenario not resolving to correct field values,,408.85h,,312.30h,,66.72h,,,,,,,,,,,,,
,SOL-1664,[Booking-PODM] podm_credited_benef_trn_updated podm scenario not resolving to correct field values,,788.05h,,,,,,,,,,,,,,,,,
,SOL-1663,[Booking-PODM] podm_benef_trn_updated_if_entry_exists podm scenario not resolving to correct field values,,348.33h,,,,456.53h,,,,,,,,,,,,,
,SOL-1662,"[Booking automation] Update booking-podm automated test assertion fields crspdtAcctCd, cdtrAgtBkCd, cstmrId, prscnSts when they resolve to null",3/27/26,6.17h,,,,21.47h,,,,,,783.85h,,,,,,,
,SOL-1661,[TPH][BALTICS] Booking-Podm PODM_RETURN_FROM_INVESTIGATION scenario not updating original transaction and not inserting return transaction,,20.33h,,,,528.32h,263.20h,,,,,,,,,,,,
,SOL-1648,[Funds Update automation] UC34 Incoming Return of Transit Bank to Bank payment from Nostro to Vostro,3/27/26,0.13h,,,,72.55h,,,,,,791.20h,,,,,,,
,SOL-1647,Remove not needed DB users from Core DB,,0.00h,,879.00h,,,,,,,,,,,,,,,
,SOL-1646,Migrate Correspondent Accounts API to PRDM,,0.00h,19.48h,,,,859.58h,,,,,,,,,,,,
,SOL-1644,Migrate TPH Kafka repository to Github,4/15/26,0.00h,24.58h,,,311.80h,210.60h,,,,,337.27h,,,,,,,
,SOL-1641,[Booking automation] Automate booking-corrrespondent payment when settlement date is in the past,3/30/26,0.00h,,,,140.95h,27.72h,,,,,716.68h,,,,,,,
,SOL-1638,[Booking automation] Change all customer/Annika accounts to Giedrius personal Accounts for booking test autoamtion,4/15/26,0.02h,,,,95.78h,454.60h,,,,,338.47h,,,,,,,
,SOL-1635,[Funds Update automation] UC5B Outgoing Return from Vostro account via Vostro,3/23/26,0.02h,,,,73.27h,,,,,,882.45h,,,,,,,
,SOL-1626,[Booking automation] create BOOKING automated tests for UC11b scenario,3/20/26,0.00h,,,,27.63h,,,,,,954.70h,,,,,,,
,SOL-1619,Add all devs and Jaan to spacetime authorized users list for all andromeda services,,0.00h,,,,,1002.83h,,,,,,,,,,,,
,SOL-1618,Configure TPH to use Funds Update API in PROD,,0.00h,0.00h,,,,1002.93h,,,,,,,,,,,,
,SOL-1617,[Booking automation] fix booking-podm assertion IBANS for UC2a-UC3a test cases,3/18/26,0.00h,,,,2.83h,,,,,,1001.58h,,,,,,,
,SOL-1616,FU makes a bad request archival code is null,,0.13h,,,,,,,,,,674.00h,357.03h,,,,,,
,SOL-1614,[Funds Update automation] UC4B Outgoing Return from Vostro account via Nostro,3/19/26,0.02h,,,,69.68h,,,,,,980.70h,,,,,,,
,SOL-1613,Switch TPH Load balancers to Greenfield,,0.00h,24.93h,,,,43.38h,,,,,,983.95h,,,,,,
,SOL-1612,Namecheck API migration to PRDM,,0.00h,25.05h,,,50.47h,976.92h,,,,,,,,,,,,
,SOL-1611,Funds update API migration to PRDM,,0.02h,25.03h,,,311.73h,209.18h,506.47h,,,,,,,,,,,
,SOL-1609,[CORE DB] Create DB dump from PPTE to PROD,4/14/26,189.08h,,,,605.80h,,,,,,356.08h,,,,,,,
,SOL-1608,Tieto package installment (TPH Delivery 2.5.23 patch 02),3/13/26,0.00h,,,,24.10h,,,,,,1129.43h,,,,,,,
,SOL-1607,PODM changes caused failures for Tphbil-Api autotests requiring CD to be OTHR when PRTRY was present,3/11/26,0.18h,,,,0.65h,,,,,,1169.73h,,,,,,,
,SOL-1606,[Booking automation] create BOOKING-PODM automated tests for podm_return_from_investigation return scenario,3/18/26,0.17h,,,,168.45h,,,,,,1004.58h,,,,,,,
,SOL-1605,[CORR ACC API] Update scenario solver rule nostro_to_ledger,3/20/26,0.00h,4.48h,,,0.00h,48.43h,161.52h,28.52h,,,956.88h,,,,,,,
,SOL-1604,Add additional tables to replica dump,,0.27h,,,,,,1217.92h,,,,,,,,,,,
,SOL-1603,SNAP integration url update,3/13/26,0.00h,24.98h,,,67.22h,,,,,,1128.12h,,,,,,,
,SOL-1602,[Booking automation] create BOOKING-PODM automated tests for podm_return_to_investigation return scenario,,0.00h,,,811.57h,413.33h,,,,,,,,,,,,,
,SOL-1601,[Booking automation] create BOOKING-PODM automated tests for podm_return_to_investigation insert scenario,3/11/26,0.27h,,,,51.03h,,,,,,1174.02h,,,,,,,
,SOL-1600,PODM changes caused Get payment ID failures for Tphbil-Api autotests,3/9/26,0.00h,,,,66.85h,,,,,,1222.85h,,,,,,,
,SOL-1599,ISOX changes for Gate,3/24/26,0.00h,67.73h,,,362.00h,,,,,,862.93h,,,,,,,
,SOL-1598,[Booking automation] edit BOOKING-PODM automated tests to have a valid iban creation/assertion,3/9/26,0.00h,,,,69.75h,,,,,,1222.98h,,,,,,,
,SOL-1596,[TPH] [EndaToEnd] Add payment rescheduling verification in E2E framework (cut-off / currency holiday),3/20/26,0.00h,100.18h,,,97.83h,137.47h,,,,,959.73h,,,,,,,
,SOL-1595,[TPH] [EndaToEnd] Add account top-up functionality to E2E framework,3/17/26,0.02h,100.17h,,,144.28h,20.02h,,,,,1030.82h,,,,,,,
,SOL-1594,[TPH] [EndaToEnd] Add ISOX API integration in E2E framework to retrieve outgoing pacs.009 messages,3/18/26,0.05h,100.07h,,,144.20h,40.98h,,,,,1010.02h,,,,,,,
,SOL-1593,[TPH] [EndaToEnd] Extend E2E framework to transform MT910 message and send as connected message,,0.05h,100.17h,,,,1195.25h,,,,,,,,,,,,
,SOL-1592,[TPH] [EndaToEnd] Implement MT910 queue support in E2E framework,3/18/26,0.07h,100.20h,,,183.55h,1.27h,,,,,1010.45h,,,,,,,
,SOL-1591,[MVP] Set Payment State Sync job start time to 23:01,3/11/26,0.18h,,,,0.00h,98.93h,0.15h,20.92h,,,1177.25h,,,,,,,
,SOL-1589,[MVP][PODM Mapping] FU. Update fallback for Debtor/ Creditor Agent BIC and NAME mapping from TPH payload,4/14/26,0.02h,,,,100.95h,21.15h,831.50h,0.00h,,,362.58h,,,,,,,
,SOL-1588,[TPH] [BB TPH IL] - PODM API Automation - Extend coverage to full spec (Create/GET/PATCH/Return),,1.02h,,832.97h,,458.57h,,24.42h,,,,,,,,,,,
,SOL-1587,Scenario is considered Successfull even if payment update in PODM fails,3/13/26,120.93h,,31.85h,,19.50h,,0.45h,18.87h,,,1127.62h,,,,,,,
,SOL-1586,Configure auto tests to run on Gate env,3/27/26,0.00h,0.40h,,,526.00h,,,,,,793.80h,,,,,,,
,SOL-1585,[MVP][PODM Mapping] Bookings. Update fallback for Debtor/ Creditor Agent BIC & NAME and Debtor/ Creditor Account Number mapping from TPH payload,,25.03h,,,,103.47h,19.27h,1194.08h,,,,,,,,,,,
,SOL-1584,[Booking automation] create BOOKING-PODM automated tests for multiple update scenarios when there is no inserted payment,3/6/26,0.03h,,,,49.17h,,,,,,1292.77h,,,,,,,
,SOL-1583,[TPH] [EndToEnd] Implement possibility to put fixed amount of messages into the queue,3/5/26,27.07h,,,,21.57h,,,,,,1316.85h,,,,,,,
,SOL-1582,Switch traffic to Greenfield,3/9/26,0.00h,3.23h,,,4.63h,140.78h,,,,,1218.18h,,,,,,,
,SOL-1581,[TPH] [BB TPH IL] - Booking service API automation - extend test coverage,,3.45h,0.42h,,,,1363.32h,,,,,,,,,,,,
,SOL-1580,[TPH] [BB TPH IL] - Funds Update service API automation - extend test coverage,,3.52h,0.42h,,,,407.07h,,956.23h,,,,,,,,,,
,SOL-1579,[TPH] [BB TPH IL] - Funds Update/Booking service API automation - extend functionality,,0.00h,4.17h,,673.50h,25.88h,17.63h,,,,,646.33h,,,,,,,
,SOL-1578,[MVP][PODM Mapping] Update mapping rule for debtor and creditor name,3/3/26,0.05h,,,,0.70h,0.07h,0.02h,20.93h,,,1365.02h,,,,,,,
,SOL-1577,[Booking automation] Fix proscan test logic for booking podm automated tests,3/2/26,0.00h,,,,4.33h,,,,,,1387.07h,,,,,,,
,SOL-1576,"[Booking automation] create BOOKING-PODM, BOOKING-CORRESPONDENT automated tests for podm_remit_trn_updated_if_entry_exists scenario for nostro account",3/2/26,0.73h,,,,6.98h,,,,,,1385.97h,,,,,,,
,SOL-1575,Switch to PWH SpringBoot version,4/14/26,0.00h,96.05h,,,957.65h,48.98h,,,,,356.93h,,,,,,,
,SOL-1574,[Booking automation] create BOOKING-PODM automated tests for podm_cancelled scenario + framework improvements,3/5/26,0.07h,,,,145.52h,,,,,,1314.97h,,,,,,,
,SOL-1573,State Sync Job Scenario 3 is not working - uses wrong criteria,,21.02h,,70.87h,,,,,,,,,1391.20h,,,,,,
,SOL-1572,[PODM] PODM Insert not performed after getPaymentReferenceOpay failure (Return logic),3/3/26,0.13h,18.15h,,,6.68h,,72.47h,17.87h,,,1368.08h,,,,,,,
,SOL-1571,"[Booking automation] create BOOKING-PODM, BOOKING-CORRESPONDENT automated tests for podm_remit_trn_updated_if_entry_exists scenario",2/27/26,0.00h,,,,26.15h,,,,,,1460.58h,,,,,,,
,SOL-1570,Remove/fix failing FU automation test,2/26/26,0.37h,,,,0.08h,,,,,,1486.93h,,,,,,,
,SOL-1569,[TPH] [EndaToEnd] Position keeping transactions - check transactions for both CRE and DEB accounts,2/27/26,0.03h,,,,26.40h,,,,,,1463.25h,,,,,,,
,SOL-1568,Payment update (PATCH) in PODM fails with Error 400,2/26/26,18.55h,,,,0.47h,,0.65h,2.18h,,,1485.32h,,,,,,,
,SOL-1567,[CORE DB][TPH DB] TPH GATE replica for Tieto,4/14/26,142.98h,,,,1014.58h,,,,,,355.38h,,,,,,,
,SOL-1566,Performance testing framework,,1529.55h,,,,,,,,,,,,,,,,,
,SOL-1565,Migrate from CasC to Sealed secrets,3/16/26,0.00h,142.85h,,,331.58h,,,,,,1056.47h,,,,,,,
,SOL-1564,[Booking automation] create BOOKING-PODM automated tests update iban/id fields for all tests,2/25/26,0.00h,,,,45.03h,,,,,,1510.73h,,,,,,,
,SOL-1563,Update TPH Cipher,3/2/26,0.00h,25.02h,,,90.55h,47.35h,,,,,1393.73h,,,,,,,
,SOL-1562,[PODM] PODM Insert not performed after failure from getLedgerAccountInfo,2/24/26,0.05h,,,,,0.57h,0.13h,21.60h,,,1534.57h,,,,,,,
,SOL-1561,Investigate PODM update race condition,3/26/26,0.00h,27.08h,,,384.50h,331.92h,,,,,815.27h,,,,,,,
,SOL-1560,"[TPH] Set up post sync build installation in PPTE, GATE",,0.08h,,1649.63h,,,,,,,,,,,,,,,
,SOL-1559,"[TPH] Set up post sync scripts in PPTE, GATE",,0.23h,,1650.27h,,,,,,,,,,,,,,,
,SOL-1558,"[TPH] Enable TUMS process in PPTE, GATE",,0.25h,,1650.27h,,,,,,,,,,,,,,,
,SOL-1557,Align TPH Helm charts values between environments,3/2/26,0.00h,147.32h,,,115.12h,22.70h,,,,,1393.73h,,,,,,,
,SOL-1556,[Booking automation] create BOOKING-PODM automated tests for podm_benef_trn_updated_if_entry_exists scenario,2/26/26,0.18h,,,,194.53h,,,,,,1486.78h,,,,,,,
,SOL-1555,[Booking automation] create BOOKING-PODM automated tests for podm_updated_if_entry_exists scenario,2/17/26,0.00h,,,,2.57h,,,,,,1698.42h,,,,,,,
,SOL-1554,[Booking automation] create BOOKING-PODM automated tests for podm_to_investigation scenario,2/17/26,0.10h,,,,4.78h,,,,,,1701.00h,,,,,,,
,SOL-1553,Tieto package installment (TPH Delivery 2.5.23),2/19/26,62.33h,,,,,,,,,,1657.03h,,,,,,,
,SOL-1552,[TPH] [EndToEnd] - Create possibility to see payment references of tests in report,2/17/26,0.00h,,,,27.55h,,,,,,1701.10h,,,,,,,
,SOL-1551,[TPH] [EndToEnd] - Incoming customer pacs.009 payment HAPPY PATH Automation - priority 1 part2,4/7/26,115.20h,,,,1150.82h,,,,,,530.60h,,,,,,,
,SOL-1550,[Booking automation] create BOOKING-PODM automated tests for podm_reversed_from_investigation scenario,2/13/26,0.05h,,,,1.55h,,,,,,1795.05h,,,,,,,
,SOL-1549,[Booking automation] create BOOKING-PODM automated tests for podm_credited scenario,2/13/26,0.02h,,,,3.42h,,,,,,1797.03h,,,,,,,
,SOL-1548,[Booking automation] create BOOKING-PODM automated tests for podm_cancelled scenario,2/13/26,17.92h,,,,1.05h,,,,,,1800.45h,,,,,,,
,SOL-1547,[MVP][MT991] [EndToEnd] Test of MT991 End-to-End journey from TPH PPTE env to SAA TEST env,3/17/26,2.23h,,,,,,16.72h,774.17h,,,1027.35h,,,,,,,
,SOL-1546,Connect TPH test to IL gate,3/9/26,454.35h,,,,145.65h,,,,,,1223.20h,,,,,,,
,SOL-1545,Point test ROMA to test SAA queue,3/20/26,0.00h,123.80h,,,167.58h,186.13h,318.63h,69.07h,,,958.20h,,,,,,,
,SOL-1544,Migrate PROD,2/25/26,173.32h,115.85h,,,21.98h,,,,,,1512.78h,,,,,,,
,SOL-1530,[Booking automation] create BOOKING-PODM automated tests for podm_freezed_benef_trn_updated scenario,2/12/26,0.02h,,,,26.53h,,,,,,1819.48h,,,,,,,
,SOL-1529,[Booking] Verify and update scenario solver rules table,3/19/26,0.88h,,,,552.78h,,308.93h,0.65h,,,985.45h,,,,,,,
,SOL-1528,[Funds Update automation] UC4A Outgoing Return from Customer account via Nostro,3/16/26,573.65h,,,,235.92h,,,,,,1055.65h,,,,,,,
