Type,Key,Summary,Resolution Date,Open,Investigation,Ready for Refinement,Reopened,On Hold,To Do,Backlog,ON-HOLD testing,In Testing,Refined,In Development,Ready for test,Blocked,Selected for Development,In Progress,Waiting for acceptance,Done,Abandoned
,PAYME-1035,STAR: currency field is disabled after validation in foreign SO,2/27/25,141.50h,1823.33h,,,,0.00h,6.50h,0.80h,40.83h,,,10225.08h,,,,,,
,PAYME-943,For Ibank,12/27/24,244.32h,0.00h,,,,0.00h,22.33h,44.32h,265.38h,,,11711.53h,,,,,,
,PAYME-942,for STAR,12/27/24,143.12h,0.00h,,72.70h,,0.45h,2.55h,92.12h,265.78h,,,11711.53h,,,,,,
Production bug,PAYME-941,Einvoice. SOA button in Star and Ibank,12/27/24,4.82h,306.78h,,,,0.00h,,265.17h,0.00h,,,11711.52h,,,,,,
Production bug,PAYME-944,"Customer tries to apply for a recurring payment but the message - An error occurred, please try again later",12/4/24,0.00h,19.23h,,,,0.00h,3.02h,19.65h,0.18h,,,12264.13h,,,,,,
,PAYME-940,[Core DB] Exclude FPO from domestic payments comparison reports,1/20/25,499.02h,580.23h,0.97h,,,48.50h,0.58h,26.22h,87.72h,,,11136.07h,,,,,,
,PAYME-939,[CORE DB] upload allowed BIC list,12/3/24,6.65h,0.00h,,,,0.00h,0.02h,143.73h,0.17h,,,12281.63h,,,,,,
,PAYME-938,[CORE DB] add additional grants for CCA_API user,11/27/24,0.93h,0.00h,,,,0.00h,0.17h,23.25h,0.87h,,,12426.83h,,,,,,
,PAYME-937,[CORE DB] Create DB user for Funds Update API,11/27/24,1.05h,0.00h,,,,0.00h,3.53h,73.18h,42.85h,,,12431.22h,,,,,,
,PAYME-936,Preparations before going to prod,1/10/25,0.00h,0.00h,,,,43.22h,1155.13h,0.00h,0.00h,,,11376.37h,,,,,,
,PAYME-917,[Core DB] Provide original outgoing payment data from DP,1/29/25,220.85h,402.88h,,,,725.70h,43.45h,118.85h,174.90h,,,10913.73h,,,,,,
,PAYME-914,(enabler) Analyze what reporting must be adjusted when new payment type (FPO) appears in DP,1/27/25,1132.77h,0.00h,,498.57h,,,,,,,,10969.08h,,,,,,
,PAYME-912,(enabler) Analyze and describe changes needed for FP debit batch to consume payments from DP,1/28/25,220.12h,241.05h,,,,907.77h,291.93h,0.00h,0.00h,,,10939.55h,,,,,,
,PAYME-918,"(enabler) Analyze and describe changes needed in Bank components to store, manage and view all payments to/from DP",1/10/25,219.93h,403.83h,,,,0.00h,600.28h,0.00h,0.00h,,,11376.38h,,,,,,
,PAYME-903,[DB] Grant additional rights for maintenance,11/15/24,0.02h,0.00h,,,,0.00h,0.23h,0.40h,0.70h,,,12715.45h,,,,,,
,PAYME-905,[CORE DB] CORE DB changes: add table PAYMENTS.PAYMENT_PARTY_IDENTIFIER and new columns to table DP_ISO,12/5/24,447.73h,0.00h,,,,0.00h,45.52h,5.20h,1.78h,,,12231.55h,,,,,,
Production bug,PAYME-1078,Einvoice orders not received for sellers via SGW,4/7/25,2275.17h,866.13h,,,,47.23h,137.08h,0.80h,120.47h,,,9289.77h,,,,,,
Production bug,PAYME-945,Star: not all fields are filled in FP pdf blank,12/5/24,0.00h,454.50h,,,,7.05h,21.20h,11.92h,1.40h,,,12218.13h,,,,,,
,PAYME-902,[payment-monitoring-stack] Migrate from community Prometheus operator to Red Hat observability operator,12/10/24,0.00h,0.00h,,,,0.00h,649.53h,0.00h,0.00h,,,12115.42h,,,,,,
Production bug,PAYME-989,[FP] sometimes there is missing debtor address in outgoing international payment,2/7/25,675.30h,1071.87h,,50.67h,,0.00h,193.18h,5.00h,65.25h,,,10705.22h,,,,,,
,PAYME-900,[DB Core] Add originator_ip_address to the view for loading to EDW,11/14/24,67.78h,0.00h,,,,48.80h,0.00h,0.57h,20.80h,,,12743.85h,,,,,,
,PAYME-899,[FP] CBPR+ Pacs.009 from received Pacs.009 cant be sent out,11/27/24,0.62h,23.13h,114.47h,,,0.00h,330.53h,32.52h,55.78h,,,12425.85h,,,,,,
,PAYME-898,[CORE DB] user BPCS_NAMECHECK_USER - increase max session limit and add required grants,11/5/24,0.00h,0.00h,,,,0.00h,99.07h,20.28h,0.43h,,,12955.17h,,,,,,
,PAYME-896,[openshift] Add auto deployment to dev/gate/test on merge to master,10/30/24,0.00h,0.00h,,,,0.00h,25.17h,0.00h,0.00h,,,13103.97h,,,,,,
,PAYME-915,[StatementsAPI] Remove usage of sysglobal of SEPA flow merge launch,1/23/25,1868.73h,0.00h,,,,0.00h,165.22h,170.42h,0.00h,,,11061.75h,,,,,,
,PAYME-919,[TransactionsAPI] Remove usage of sysglobal of SEPA flow merge launch,1/23/25,1868.77h,0.00h,,,,0.00h,165.22h,170.38h,0.02h,,,11061.78h,,,,,,
,PAYME-921,[DB] Remove usage of sysglobal of SEPA flow merge launch,1/28/25,2035.22h,0.00h,,,,0.00h,3.42h,162.62h,122.38h,,,10942.68h,,,,,,
,PAYME-922,"[iBank, DB] Remove usage of sysglobal of SEPA flow merge launch",1/28/25,2035.28h,0.00h,,,,0.00h,1.83h,141.23h,145.33h,,,10942.70h,,,,,,
,PAYME-923,"[MT950, DB] Remove usage of sysglobal of SEPA flow merge launch",1/24/25,2035.58h,0.00h,,,,0.00h,1.80h,146.78h,45.13h,,,11037.38h,,,,,,
,PAYME-924,"[StandingOrders, DB] Remove usage of sysglobal of SEPA flow merge launch",1/23/25,2038.58h,0.00h,,,,0.00h,1.60h,164.92h,2.80h,,,11061.73h,,,,,,
,PAYME-926,[OpenBank] Remove usage of sysglobal of SEPA flow merge launch,1/31/25,2404.72h,,,,,,,,,,,10865.30h,,,,,,
,PAYME-930,[Swedbank-Gateway] Remove usage of sysglobal of SEPA flow merge launch,2/4/25,2496.98h,,,,,,,,,,,10773.07h,,,,,,
,PAYME-935,[iBank] Remove usage of sysglobal of SEPA flow merge launch,12/31/24,956.75h,0.00h,,,,0.00h,95.90h,120.85h,484.67h,,,11612.30h,,,,,,
,PAYME-932,[Homebank] Remove usage of sysglobal of SEPA flow merge launch,1/28/25,1990.52h,0.00h,67.75h,,,0.00h,0.00h,144.18h,27.15h,,,10993.12h,,,,,,
,PAYME-927,[Statements] Remove usage of sysglobal of SEPA flow merge launch,1/23/25,2038.77h,0.00h,,,,0.00h,147.53h,23.13h,0.63h,,,11060.83h,,,,,,
,PAYME-934,"[STAR, DB] Remove usage of sysglobal of SEPA flow merge launch",1/14/25,1871.02h,0.00h,,,,0.00h,5.77h,90.33h,23.00h,,,11280.98h,,,,,,
,PAYME-933,"[Forms, DB] Remove usage of sysglobal of SEPA flow merge launch",1/23/25,2040.22h,0.00h,,,,0.00h,120.27h,45.72h,0.12h,,,11064.97h,,,,,,
,PAYME-931,[SEPA-Exchange] Remove usage of sysglobal of SEPA flow merge launch,12/20/24,838.28h,0.00h,,,,0.00h,150.33h,186.42h,215.20h,,,11881.75h,,,,,,
,PAYME-929,[DB] Remove sysglobal of SEPA flow merge launch,1/22/25,2159.77h,0.00h,,,,0.00h,1.45h,22.15h,0.08h,,,11088.65h,,,,,,
,PAYME-928,[EPE] [BANK COMPONENTS] Remove usage of sysglobal of SEPA flow merge launch,12/20/24,1054.67h,0.00h,,,,0.00h,,120.83h,215.20h,,,11881.77h,,,,,,
,PAYME-925,[DB] Remove unused SQL fragments,1/16/25,2056.43h,0.00h,,,,0.00h,3.45h,3.63h,0.07h,,,11226.57h,,,,,,
,PAYME-920,[FP] Disable automated processing of incoming SEPA messages,11/25/24,737.03h,0.00h,,,,0.00h,71.72h,1.93h,0.90h,,,12478.73h,,,,,,
,PAYME-916,[FP] Disable functionality of processing SEPA messages,11/25/24,717.27h,0.00h,,,,0.00h,94.80h,1.93h,5.43h,,,12474.20h,,,,,,
,PAYME-897,[ISO Exchange] Support admi.007 from CLM,11/8/24,0.35h,194.60h,,,,0.00h,143.42h,71.40h,2.47h,,,12885.30h,,,,,,
,PAYME-911,(Maintenance) Remove log file monitoring in Zabbix,2/4/25,2543.42h,,,,,,,,,,,10770.87h,,,,,,
,PAYME-893,[openshift] Update production tokens for baltic pipelines,11/11/24,0.00h,0.00h,,,,93.93h,71.23h,338.50h,0.00h,,,12812.08h,,,,,,
,PAYME-910,(Batch portal) Request removal of SEPA-Transfer application,1/30/25,2421.70h,,,,,,,,,,,10896.05h,,,,,,
,PAYME-1037,STAR: Matrix printing buttons should be removed from Domestic standing orders functionality,3/4/25,2925.43h,239.17h,,,,0.00h,24.62h,68.52h,28.90h,,,10100.43h,,,,,,
,PAYME-891,Recreate access tokens for BPAY projects,10/16/24,0.00h,0.00h,,,,0.00h,4.53h,0.00h,0.00h,,,13433.97h,,,,,,
,PAYME-890,[payment-services-gateway] Create aggregated health check for F5 load balancer,11/21/24,0.00h,0.00h,,,,193.63h,25.18h,645.15h,5.07h,,,12571.60h,,,,,,
,PAYME-889,Fix Log archiving script and remove security logs from payment-services-gateway,10/17/24,0.00h,0.00h,,,,0.00h,30.23h,19.17h,0.00h,,,13414.78h,,,,,,
Production bug,PAYME-888,''CANCEL RETURNING'' button issue for incoming crossboarder/intragroup SEPA payment,10/14/24,0.53h,17.13h,,,,0.00h,5.03h,65.50h,6.52h,,,13484.25h,,,,,,
,PAYME-894,[ISOX] Create a new ISOX API app user for TPH Baltic,10/24/24,308.90h,3.32h,,0.00h,,0.00h,20.45h,3.20h,27.02h,,,13243.60h,,,,,,
,PAYME-904,Incoming Instant payment to start account (STARDIKONTO) from non-credit institution should not be credited,12/31/24,0.02h,1225.97h,,,,0.00h,73.83h,356.97h,333.10h,,,11617.95h,,,,,,
,PAYME-885,[epe] Migrate from payment-xml to lib-payment-xml,10/25/24,1.48h,0.00h,,,,0.00h,378.50h,5.77h,46.70h,,,13220.47h,,,,,,
Production bug,PAYME-884,"Incoming crossborder to account where ref number is mandatory, can’t be credited",10/8/24,0.00h,2.55h,,,,0.00h,4.70h,16.95h,0.50h,,,13631.98h,,,,,,
,PAYME-883,Call database procedure,12/11/24,96.62h,0.00h,,,,0.00h,815.28h,725.37h,0.00h,,,12091.63h,,,,,,
,PAYME-882,Add Idempotency-Key validations and Hazzelcast connection,12/11/24,101.33h,0.00h,,,,232.95h,817.85h,485.12h,0.00h,,,12091.63h,,,,,,
,PAYME-881,Create project structure,10/8/24,0.02h,0.00h,,,,0.00h,96.60h,0.00h,0.00h,,,13632.30h,,,,,,
,PAYME-880,Incoming international payment processing in ForeignPayments must be adjusted to pass the counterparty country indicator to the database procedure,10/18/24,25.95h,98.05h,,,,0.00h,164.75h,23.52h,51.50h,,,13388.90h,,,,,,
,PAYME-892,[BANKAPP] Turn off TPH BankApp in Production,10/21/24,0.40h,404.88h,,,,0.73h,73.60h,0.00h,0.00h,,,13319.23h,,,,,,
,PAYME-874,[RT1-uploader] Migrate from payment-xml to lib-payment-xml,10/8/24,0.00h,0.00h,39.62h,,,0.00h,68.08h,29.85h,120.73h,0.00h,,13634.45h,,,,,,
,PAYME-872,[ROMA] Update routing.properties,9/27/24,0.42h,0.98h,,,,0.00h,19.62h,0.00h,0.00h,,,13897.70h,,,,,,
,PAYME-871,[TPH] Deploy patch: Delivery of TPH Gateway 2.5.13 Patch 01 Swedbank Baltics 2024-09-23,9/27/24,0.00h,0.00h,,0.00h,,3.27h,20.18h,0.00h,0.00h,,,13897.72h,,,,,,
,PAYME-906,[CORE DB] Update DP table views and triggers due to DB changes and Payment Order Data Manager developments,2/7/25,1345.78h,362.20h,,,,0.00h,1006.43h,485.28h,42.65h,,,10704.12h,,,,,,
,PAYME-869,[Forms] 'Case details' button issue for legacy payment,10/4/24,0.12h,70.47h,,,,238.50h,0.00h,21.77h,0.03h,,,13729.27h,,,,,,
,PAYME-867,[ISO Exchange] Fix local setup with payment-xml,9/30/24,0.00h,0.00h,,,,0.00h,142.30h,0.00h,94.92h,,,13823.38h,,,,,,
,PAYME-870,"iBank: TypeError when selecting ""Beneficiary"" field in SMART form",9/26/24,84.20h,27.88h,,,,0.00h,19.40h,26.55h,0.13h,,,13919.98h,,,,,,
,PAYME-866,[FP] Unstructured address is truncated in XML at edge cases,10/2/24,0.00h,0.00h,0.80h,,,163.35h,162.52h,1.68h,4.02h,,,13776.02h,,,,,,
,PAYME-865,[FP] Change URLs to MDM API,9/30/24,0.00h,0.00h,,,,186.87h,118.37h,0.28h,1.35h,,,13825.05h,,,,,,
,PAYME-842,"[TPH] Initial configuration (firewalls, certificates, openshift namespace)",10/8/24,140.58h,0.00h,,0.00h,,0.00h,508.75h,0.00h,0.00h,,,13627.72h,,,,,,
,PAYME-840,[TPH][Order] Setup Oracle Exadata db,10/31/24,140.12h,0.00h,,,,0.00h,531.28h,524.73h,0.00h,,,13080.97h,,,,,,
,PAYME-839,[Jenkins] Build production deployment pipeline,10/31/24,504.18h,0.00h,,,,139.92h,5.32h,546.72h,0.00h,,,13080.97h,,,,,,
,PAYME-846,[TPH][Order] Setup NFS share,10/2/24,140.13h,0.00h,,,,0.00h,364.05h,0.00h,0.00h,,,13772.97h,,,,,,
,PAYME-845,[TPH][Order] Setup load balancer,9/30/24,140.18h,0.00h,,,,0.00h,313.60h,0.00h,0.00h,,,13823.38h,,,,,,
,PAYME-843,[TPH][Order] Setup Single Sign On,10/31/24,142.78h,0.00h,,,,478.05h,383.37h,191.98h,0.00h,,,13080.97h,,,,,,
,PAYME-841,[TPH][Order] Setup MQ,10/31/24,142.78h,0.00h,,,,309.32h,263.32h,480.93h,0.00h,,,13080.82h,,,,,,
,PAYME-847,[DB Core] - Namecheck exclusions list,10/24/24,0.00h,456.52h,,528.15h,,0.00h,23.98h,1.98h,21.28h,,,13245.53h,,,,,,
Production bug,PAYME-836,[FP] Locking of record is not disappearing even when user turns off record window,9/16/24,0.25h,0.00h,,,,1.37h,0.00h,68.13h,70.15h,,,14161.20h,,,,,,
,PAYME-879,LT: SOA T&C update in PDF,10/29/24,506.33h,0.00h,,0.03h,,0.00h,574.95h,69.00h,26.83h,,,13125.63h,,,,,,
,PAYME-878,LV- PDF blank update and T&C change from 01.11.2024.,10/31/24,1199.55h,0.00h,,,,0.00h,4.73h,17.42h,4.60h,,,13078.08h,,,,,,
,PAYME-864,[CORE DB] Changes in CORE DB,12/5/24,166.28h,317.18h,,,,95.78h,1486.80h,5.20h,1.02h,,,12232.30h,,,,,,
,PAYME-853,[No Testing] Store certificates and passwords in CyberArk,10/28/24,81.72h,716.25h,,,,407.82h,72.28h,0.20h,0.00h,,,13148.73h,,,,,,
,PAYME-854,Create Correspondent Accounts API endpoint core-correspondent-accounts/transactions/reversal,1/9/25,109.53h,688.85h,289.82h,,,1052.67h,559.12h,47.08h,287.28h,,,11393.07h,,,,,,
,PAYME-851,Create Correspondent Accounts API service in Core layer,10/2/24,197.82h,420.22h,,,,0.00h,123.25h,0.00h,1.37h,,,13773.05h,,,,,,
,PAYME-834,[DB] ST_UPDATE for recall related to legacy payment xml issue,9/10/24,0.32h,187.90h,,,,3.32h,46.68h,97.77h,0.92h,,,14299.68h,,,,,,
,PAYME-833,[DB] CL_RECEIPT related to legacy payment have incorrect header in xml,9/10/24,0.37h,189.70h,,,,27.00h,18.22h,80.20h,20.40h,,,14302.55h,,,,,,
,PAYME-844,Add relevant information to System Documentation,11/6/24,0.02h,1518.45h,,,,215.58h,,0.00h,0.00h,,,12932.75h,,,,,,
Production bug,PAYME-1032,STAR: Tech error on FX when sell rate is missing,2/28/25,0.07h,4317.45h,16.73h,,,0.00h,99.23h,23.42h,28.33h,,,10199.10h,,,,,,
,PAYME-830,"[FP] System crashes, if too many symbols are copied to address field",9/2/24,1.58h,70.67h,,,,70.77h,91.13h,1.08h,1.22h,,,14496.92h,,,,,,
,PAYME-829,(CORE DB) Report about incoming recall refuses where case is in VM,10/4/24,0.20h,76.10h,,,,907.33h,27.70h,0.63h,1.92h,,,13723.55h,,,,,,
Production bug,PAYME-828,[DB] remove debugging code from RETURN payment code,9/20/24,100.57h,0.00h,,,,552.85h,0.73h,47.47h,0.02h,,,14060.00h,,,,,,
,PAYME-827,GRANT for PMNT_BATCH,8/22/24,0.68h,0.00h,,,,0.00h,0.78h,3.35h,0.03h,,,14758.08h,,,,,,
,PAYME-849,"[CORE DB] Create new event types and subtypes for correspondent transactions, initiated by TPH",11/5/24,564.53h,522.35h,,,,716.18h,1.32h,125.35h,23.30h,,,12954.68h,,,,,,
,PAYME-852,[CORE DB] Create a package in CORESRV schema for correspondent accounts transactions,11/11/24,562.43h,524.45h,,,,695.03h,22.08h,195.13h,98.70h,,,12809.90h,,,,,,
,PAYME-823,[openshift] Update dev certificates for payment services & reencrypt secrets,8/14/24,0.00h,0.00h,,,,0.00h,123.95h,0.00h,0.03h,,,14947.82h,,,,,,
,PAYME-822,Ibank: Tech error after pressing button,8/14/24,14.92h,3.55h,,0.28h,,0.00h,1.70h,114.68h,2.48h,,,14950.03h,,,,,,
,PAYME-825,[STAR PB]: need to activate ''Export to pdf'' button for cross border Standing Order Agreements,9/6/24,18.62h,196.07h,18.93h,,,0.00h,137.80h,100.53h,8.67h,231.80h,,14402.82h,,,,,,
Production bug,PAYME-819,FP - Unexpected program closure due to some country codes in ordering bank unstructured address,8/14/24,0.23h,93.72h,,,,91.30h,78.10h,0.47h,46.33h,,,14948.90h,,,,,,
,PAYME-815,[payment-monitor] Both clusters were leaders after db patching,7/22/24,0.02h,0.00h,,0.00h,,0.00h,1.48h,0.13h,0.00h,,,15499.28h,,,,,,
,PAYME-814,Add new Jenkins job to uninstall helm charts,7/22/24,0.00h,0.00h,,,,0.00h,101.42h,0.00h,0.00h,,,15499.27h,,,,,,
,PAYME-813,[Forms] Legacy payments leftovers,10/4/24,19.68h,772.78h,,,,190.83h,884.28h,24.80h,3.62h,,,13725.48h,,,,,,
,PAYME-818,The old payment form opens when open pdf / html before paying e-invoice.,8/2/24,2.17h,18.73h,,,,170.47h,168.13h,24.58h,1.40h,,,15236.70h,,,,,,
,PAYME-808,[Forms] Legacy payment duplication issue,9/20/24,0.20h,837.47h,0.02h,,,716.27h,0.70h,4.95h,40.73h,,,14066.45h,,,,,,
,PAYME-855,"[TEST] Regression testing for other Baltic applications, creating correspondent transactions",12/10/24,0.15h,3646.73h,,,,19.00h,,0.00h,0.00h,,,12121.03h,,,,,,
,PAYME-817,"[iBank] smart form - Other ID ""Document type"" should be optional",9/2/24,0.00h,330.08h,209.53h,1.15h,,313.95h,146.52h,48.22h,243.75h,,,14494.37h,,,,,,
,PAYME-856,[CORE DB] Change nostro export to include counterparty reference and mark reverse transactions in reconciliation statements,12/3/24,224.12h,2590.57h,189.12h,,,71.33h,122.87h,294.05h,187.90h,,,12282.92h,,,,,,
,PAYME-857,[CORE DB] Change procedures to enable storing data in the new vm.korresp_toiming columns,11/8/24,224.13h,1965.88h,,,,691.50h,1.95h,219.05h,25.42h,,,12882.95h,,,,,,
Production bug,PAYME-802,[FP] LVMK batch stopped working,7/4/24,0.00h,72.60h,,66.12h,,0.00h,0.75h,0.18h,3.92h,,,15934.02h,,,,,,
,PAYME-858,[CORE DB] Create new columns in VM.KORRESP_TOIMING table,11/7/24,294.77h,1965.85h,,,,691.08h,1.68h,173.60h,45.40h,,,12909.13h,,,,,,
,PAYME-801,[FP] Replace usage of network disc Y: in FPserver configuration,8/14/24,0.02h,1.40h,,1175.85h,,0.00h,22.75h,0.77h,120.23h,,,14953.80h,,,,,,
,PAYME-877,EE: Standing order agreements Blank update,10/31/24,3099.27h,0.00h,,,,0.00h,117.32h,21.42h,7.17h,,,13075.52h,,,,,,
,PAYME-876,"[EE, LV, LT] Standing order agreements PDF update regarding T&C changes from 01.11.2024",10/31/24,2518.97h,0.05h,,,,721.87h,0.00h,16.10h,7.55h,,,13075.12h,,,,,,
,PAYME-774,(Forms) Sort SEPA case list by case open date,7/30/24,0.08h,46.10h,,,,624.42h,248.33h,87.72h,30.08h,,,15307.33h,,,,,,
,PAYME-831,[CORE DB] Stop processing outgoing SEPA payments in VVMKBatch during Flow Merge activation,9/10/24,94.82h,92.42h,,,,548.27h,21.72h,1088.42h,355.93h,,,14302.95h,,,,,,
,PAYME-780,[FP TEST] Test E1S1 and RTGS pacs.004,8/22/24,49.25h,169.60h,,15.60h,,839.68h,,649.30h,28.30h,,,14756.07h,,,,,,
,PAYME-779,[FP] Change E1S1 and RTGS validations for pacs.009,9/4/24,1.47h,169.68h,27.53h,64.32h,,478.42h,308.53h,816.15h,197.02h,,,14445.68h,,,,,,
,PAYME-781,[FP] Change E1S1 and RTGS validations for pacs.008,8/23/24,5.75h,169.70h,,65.87h,,436.87h,90.90h,887.87h,126.00h,,,14731.70h,,,,,,
,PAYME-755,[cicd] Add lifecycle option to kubernetes deployments,6/7/24,0.02h,0.00h,,,,0.00h,41.15h,0.00h,0.00h,,,16585.58h,,,,,,
,PAYME-873,Sometimes the instruction_id doesn't increase by one when using SMART form,10/14/24,1660.62h,1170.43h,,94.52h,,0.03h,89.00h,104.27h,139.05h,,,13487.93h,,,,,,
,PAYME-746,"[DB] Improve VM.DW_CORRESP_TRANSACTION - remove ""new line"" symbol from transaction details",5/30/24,0.00h,0.00h,,,,0.00h,3.72h,42.22h,0.88h,,,16777.75h,,,,,,
,PAYME-838,[DB Core] New transaction type (OP_ID) for incoming foreign payments/returns with FREE charges,11/15/24,0.00h,355.43h,,45.18h,,3173.55h,116.55h,27.97h,406.48h,,,12716.33h,,,,,,
,PAYME-909,(MQ) Request old MQ channels removal,2/12/25,6267.38h,,,,,,,,,,,10578.67h,,,,,,
Production bug,PAYME-744,FP - Catch incoming payment from unknown country - impact on pacs.009/pacs.004,5/30/24,0.03h,1.30h,,,,0.00h,45.77h,5.68h,24.65h,,,16770.70h,,,,,,
,PAYME-742,[TPH] Test execution for Incoming Financial Transfers scheme derivation,7/16/24,,,0.00h,,0.00h,,,1079.38h,192.52h,,,15650.07h,,,,,,
,PAYME-741,[TPH] Test execution for Outgoing/Onwards Financial Transfers scheme derivation,7/16/24,,,,,0.00h,,,1012.63h,265.22h,,,15644.17h,,,,,,
,PAYME-737,[TPH] Test execution for Outgoing/onwards customer payments scheme derivation,7/3/24,0.00h,0.00h,,,,0.00h,,169.68h,797.63h,,,15955.27h,,,,,,
,PAYME-736,[TPH] Execute test cases for Outgoing returns/rejects scheme derivation,7/5/24,0.00h,0.00h,,,,0.00h,,1013.23h,0.05h,,,15909.33h,,,,,,
,PAYME-734,[TPH] Create test cases for SWEDSESS/SWEDSESS return scheme derivation,5/23/24,0.00h,0.00h,,,,0.00h,,125.35h,21.67h,,,16942.17h,,,,,,
,PAYME-733,[TPH] Create test cases for Incoming returns/rejects scheme derivation,5/23/24,0.00h,0.00h,,,,0.00h,,125.38h,21.65h,,,16942.18h,,,,,,
,PAYME-732,[TPH] Create test cases for Incoming customer payments scheme derivation,5/22/24,0.00h,0.00h,,,,0.00h,,102.18h,22.07h,,,16965.02h,,,,,,
,PAYME-731,[TPH]Create test cases for Incoming Financial Transfers scheme derivation,5/22/24,,,,,0.02h,,,,124.32h,,,16965.02h,,,,,,
,PAYME-861,[FP] Support camt.106 and camt.105 in ISO message search,9/26/24,0.10h,1942.28h,,,,1026.20h,24.72h,195.72h,0.53h,,,13917.82h,,,,,,
,PAYME-730,[FP] - Catch incoming payment from unknown country (Payer bank clearing code issue),5/23/24,0.00h,96.40h,,,,67.63h,,0.45h,6.10h,,,16938.88h,,,,,,
,PAYME-859,[ISO Exchange] Receive and store camt.105.001.02_ChargesPaymentNotification_MultipleCharges,9/26/24,142.82h,1848.85h,,,,1102.73h,141.70h,3.03h,1.65h,,,13915.85h,,,,,,
,PAYME-862,[ISO Exchange] Receive and store camt.105.001.02_ChargesPaymentNotification,9/26/24,143.55h,1848.15h,,,,1081.55h,161.83h,4.08h,1.55h,,,13915.95h,,,,,,
,PAYME-863,[ISO Exchange] Receive and store camt.106.001.02_ChargesPaymentRequest,9/26/24,143.02h,1848.05h,,0.65h,,1077.83h,141.77h,0.43h,27.32h,,,13917.63h,,,,,,
,PAYME-860,[ISO Exchange] Receive and store camt.106.001.02_ChargesPaymentRequest_MultipleCharges,9/26/24,49.68h,1849.27h,,92.85h,,1050.95h,168.68h,2.07h,25.67h,,,13917.63h,,,,,,
,PAYME-728,Create test cases for Outgoing returns/rejects scheme derivation,5/23/24,,,,,0.07h,,,215.42h,1.80h,,,16945.00h,,,,,,
,PAYME-727,Create test cases for Outgoing/Onwards Financial Transfers scheme derivation,5/23/24,,,,,0.00h,,,175.20h,42.12h,,,16945.02h,,,,,,
,PAYME-726,Create test cases for Outgoing/onwards customer payments scheme derivation,5/23/24,,,,,0.00h,,,168.57h,48.77h,,,16945.02h,,,,,,
,PAYME-725,[ISO Exchange ] Onboard logs to Andromeda platform in test environment,9/18/24,0.70h,242.50h,,,,2783.30h,95.60h,3.20h,17.70h,,,14113.42h,,,,,,
,PAYME-724,[openshift] [test] Migrate W670/W668 services from scp-west-zone01-z01 -> scp-west-zone01-z02,6/7/24,0.00h,0.00h,,,,19.28h,672.57h,0.00h,0.02h,,,16585.55h,,,,,,
,PAYME-723,[openshift] Migrate to new openshift test clusters,5/22/24,0.00h,0.00h,,,,0.00h,312.53h,0.00h,0.00h,,,16968.33h,,,,,,
,PAYME-775,[DB] Disable returning incoming SEPA payments in FP,7/23/24,0.55h,1000.65h,,,,531.65h,0.17h,267.13h,22.88h,,,15475.90h,,,,,,
,PAYME-722,FP - Dedicated country field under Unstructured address,7/10/24,0.00h,122.05h,,525.63h,,0.00h,212.30h,463.27h,190.72h,,,15789.17h,,,,,,
,PAYME-776,[DB] Update incoming payment op_id configuration in FP,8/8/24,44.90h,1357.92h,1.83h,,,532.53h,0.03h,289.32h,5.58h,,,15092.98h,,,,,,
,PAYME-777,[DB] Disable sending SEPA case messages in Foreign Payments,7/19/24,217.05h,695.83h,,114.73h,,532.68h,18.17h,150.83h,21.48h,,,15574.57h,,,,,,
,PAYME-778,[DB] Disable sending SEPA payments in Foreign Payments,8/6/24,190.37h,837.25h,,,,551.50h,0.00h,170.07h,436.82h,,,15139.33h,,,,,,
,PAYME-721,Swift printer error affects EE swift flow for Securities Services,5/16/24,95.20h,0.00h,,,,202.02h,0.00h,46.63h,0.02h,,,17100.28h,,,,,,
,PAYME-800,(TEST) Reconcile SEPA payments (Day D+1),7/3/24,0.68h,1176.65h,,,,191.95h,,0.00h,123.20h,,,15958.18h,,,,,,
,PAYME-719,[grafana] Payment-services dashboard,6/11/24,0.00h,0.00h,,,,147.23h,119.87h,0.00h,839.35h,,,16485.43h,,,,,,
,PAYME-718,[openshift] Remove imagePull Secrets from payment services stack,4/26/24,0.00h,0.00h,,,,0.00h,22.92h,0.00h,0.03h,,,17593.05h,,,,,,
,PAYME-717,[openshift] Remove imagePull Secrets from payment-monitor,4/26/24,0.02h,0.00h,,,,0.00h,22.92h,0.00h,0.00h,,,17593.08h,,,,,,
Production bug,PAYME-716,[openshift] Remove imagePull Secrets from iso-exchange,4/25/24,0.00h,0.00h,,,,0.17h,17.38h,0.00h,0.00h,,,17619.17h,,,,,,
,PAYME-804,[iBank] Prefill of data in Payment form in iBank,7/15/24,1685.47h,0.02h,,71.18h,,0.00h,18.50h,145.00h,2.22h,,,15646.10h,,,,,,
Production bug,PAYME-714,[ISO-exchange] Lower logging level for response logging,4/23/24,0.02h,0.00h,,,,0.00h,0.22h,0.00h,0.00h,,,17658.65h,,,,,,
Production bug,PAYME-713,[ISO-exchange] Log archiving issue,4/25/24,0.13h,0.28h,,,,20.60h,2.23h,0.00h,41.63h,,,17619.05h,,,,,,
,PAYME-711,[DB] Debtor agent data needs correction,,0.00h,73.80h,,,,17635.48h,48.13h,,,,,,,,,,,
