Key,Resolution Date,Backlog,To Do,Open,In Progress,AC Test,Code review,Discovery,Delivery,Done,Cancelled
BWEBDEV-7666,,2d 7h 28m,0d 0h 0m,,0d 0h 1m,4d 16h 13m,,,,31d 9h 46m,
BWEBDEV-7664,,2d 18h 57m,0d 4h 19m,,6d 11h 4m,10d 7h 19m,,,,20d 8h 19m,
BWEBDEV-7663,,2d 19h 55m,0d 4h 17m,,0d 23h 43m,15d 17h 43m,,,,20d 8h 19m,
BWEBDEV-7659,,0d 0h 16m,0d 0h 18m,,,2d 18h 15m,,,,38d 6h 19m,
BWEBDEV-7658,,0d 0h 1m,3d 17h 47m,,0d 0h 19m,10d 3h 52m,,,,27d 3h 31m,
BWEBDEV-7657,,0d 0h 7m,0d 0h 16m,,2d 21h 19m,38d 5h 4m,,,,,
BWEBDEV-7656,,6d 0h 22m,0d 19h 10m,,0d 1h 18m,34d 6h 8m,,,,,
BWEBDEV-7655,,0d 1h 28m,2d 19h 55m,,1d 0h 55m,21d 1h 31m,,,,16d 3h 37m,
BWEBDEV-7654,,5d 0h 13m,0d 19h 16m,,0d 4h 34m,0d 21h 38m,,,,34d 6h 28m,
BWEBDEV-7653,,4d 1h 1m,0d 0h 19m,,7d 19h 52m,6d 23h 3m,,,,22d 7h 55m,
BWEBDEV-7652,,3d 21h 16m,0d 0h 10m,,0d 2h 49m,7d 21h 1m,,,,29d 6h 57m,
BWEBDEV-7651,,0d 0h 13m,0d 4h 46m,,0d 0h 13m,2d 18h 9m,,,,38d 6h 28m,
BWEBDEV-7650,,0d 0h 13m,0d 0h 19m,,,0d 4h 58m,,,,41d 0h 25m,
BWEBDEV-7649,,5d 0h 47m,0d 21h 19m,,0d 1h 43m,27d 23h 19m,,,,7d 6h 50m,
BWEBDEV-7647,,0d 0h 16m,3d 0h 46m,,0d 0h 40m,38d 4h 57m,,,,,
BWEBDEV-7646,,0d 0h 7m,,,0d 0h 37m,6d 4h 41m,,,,35d 1h 28m,
BWEBDEV-7644,,5d 0h 2m,0d 0h 0m,,0d 0h 1m,0d 0h 25m,,,,36d 6h 45m,
BWEBDEV-7643,,0d 0h 25m,0d 0h 15m,,,0d 6h 39m,,,,41d 0h 25m,
BWEBDEV-7642,,3d 5h 31m,,,0d 3h 21m,0d 16h 52m,,,,37d 8h 27m,
BWEBDEV-7640,,0d 0h 43m,,,0d 0h 6m,1d 2h 19m,,,,41d 0h 25m,
BWEBDEV-7639,,5d 22h 19m,,,0d 3h 10m,12d 18h 25m,,,,23d 8h 4m,
BWEBDEV-7636,,0d 21h 7m,0d 0h 1m,,5d 1h 49m,8d 0h 19m,,,,28d 5h 43m,
BWEBDEV-7635,,22d 1h 42m,12d 20h 25m,,0d 22h 22m,6d 8h 33m,,,,,
BWEBDEV-7633,,0d 1h 4m,0d 2h 40m,,0d 21h 18m,3d 21h 28m,,,,37d 6h 58m,
BWEBDEV-7631,,0d 3h 53m,0d 23h 26m,,0d 0h 13m,9d 18h 26m,,,,31d 8h 30m,
BWEBDEV-7630,,0d 2h 6m,0d 0h 0m,,0d 0h 1m,3d 19h 49m,,,,38d 8h 52m,
BWEBDEV-7628,,0d 4h 35m,0d 22h 4m,,3d 20h 19m,0d 6h 15m,,,,37d 1h 58m,
BWEBDEV-7627,,8d 23h 35m,0d 0h 33m,,1d 0h 21m,3d 0h 13m,,,,23d 8h 16m,5d 22h 28m
BWEBDEV-7626,,0d 0h 10m,0d 2h 51m,,0d 21h 28m,6d 2h 49m,,,,35d 4h 22m,
BWEBDEV-7625,,0d 12h 41m,1d 0h 46m,,0d 0h 7m,0d 2h 4m,,,,41d 6h 34m,
BWEBDEV-7624,,0d 0h 31m,0d 0h 0m,,0d 0h 7m,1d 17h 2m,,,,41d 8h 25m,
BWEBDEV-7623,,0d 16h 37m,0d 3h 2m,,,1d 6h 11m,,,,41d 0h 23m,
BWEBDEV-7621,,0d 23h 58m,0d 19h 48m,,2d 23h 35m,3d 23h 28m,,,,34d 7h 31m,
BWEBDEV-7620,,0d 17h 25m,1d 0h 33m,,0d 0h 10m,3d 3h 17m,,,,38d 5h 31m,
BWEBDEV-7618,,0d 0h 16m,0d 0h 1m,,0d 1h 22m,0d 1h 8m,,,,43d 1h 28m,
BWEBDEV-7617,,1d 2h 37m,6d 17h 35m,,4d 5h 27m,0d 0h 52m,,,,31d 2h 27m,
BWEBDEV-7616,,0d 2h 17m,0d 1h 43m,,,43d 1h 55m,,,,,
BWEBDEV-7615,,0d 4h 28m,0d 16h 28m,,0d 23h 19m,10d 0h 46m,,,,31d 8h 58m,
BWEBDEV-7613,,0d 6h 10m,0d 0h 1m,,0d 0h 16m,43d 1h 7m,,,,,
BWEBDEV-7612,,5d 4h 9m,0d 0h 24m,,0d 1h 31m,38d 2h 8m,,,,,
BWEBDEV-7610,,1d 21h 58m,0d 18h 3m,,17d 22h 8m,16d 3h 10m,,,,7d 7h 22m,
BWEBDEV-7608,,0d 0h 16m,0d 0h 10m,,,33d 17h 15m,,,,10d 8h 7m,
BWEBDEV-7607,,0d 0h 25m,0d 0h 18m,,0d 16h 53m,0d 2h 40m,,,,43d 6h 1m,
BWEBDEV-7606,,0d 0h 1m,0d 0h 10m,,,10d 0h 40m,,,,34d 1h 40m,
BWEBDEV-7604,,13d 17h 7m,0d 1h 1m,,0d 2h 40m,0d 5h 34m,,,,30d 0h 19m,
BWEBDEV-7602,,0d 17h 46m,1d 2h 6m,,5d 7h 5m,13d 17h 46m,,,,23d 6h 38m,
BWEBDEV-7601,,20d 22h 46m,1d 0h 55m,,0d 1h 31m,0d 1h 53m,,,,22d 1h 55m,
BWEBDEV-7600,,0d 3h 58m,0d 16h 49m,,1d 7h 16m,35d 18h 36m,,,,6d 6h 31m,
BWEBDEV-7599,,0d 1h 26m,0d 19h 11m,,1d 1h 26m,20d 0h 3m,,,,22d 7h 17m,
BWEBDEV-7598,,0d 1h 31m,1d 22h 51m,,0d 21h 26m,19d 0h 21m,,,,22d 7h 17m,
BWEBDEV-7597,,0d 1h 40m,,,2d 1h 4m,24d 17h 40m,,,,17d 9h 16m,
BWEBDEV-7596,,0d 2h 1m,,,0d 0h 1m,0d 0h 25m,,,,44d 3h 37m,
BWEBDEV-7595,,0d 2h 52m,0d 0h 21m,,1d 16h 58m,42d 10h 43m,,,,,
BWEBDEV-7594,,0d 21h 43m,0d 1h 34m,,6d 1h 0m,5d 22h 39m,,,,31d 8h 25m,
BWEBDEV-7593,,0d 0h 6m,,,0d 0h 10m,2d 23h 28m,,,,41d 8h 19m,
BWEBDEV-7592,,0d 22h 36m,0d 0h 19m,,6d 0h 11m,0d 2h 37m,,,,37d 6h 28m,
BWEBDEV-7591,,1d 22h 52m,0d 1h 49m,,4d 22h 39m,0d 4h 16m,,,,37d 4h 49m,
BWEBDEV-7590,,0d 1h 34m,0d 0h 6m,,0d 1h 31m,0d 10h 9m,,,,43d 20h 25m,
BWEBDEV-7589,,1d 4h 49m,0d 0h 6m,,1d 2h 52m,7d 19h 40m,,,,34d 6h 43m,
BWEBDEV-7587,,0d 17h 37m,10d 3h 28m,,2d 20h 42m,24d 0h 19m,,,,7d 6h 49m,
BWEBDEV-7586,,0d 0h 16m,2d 17h 25m,,0d 23h 22m,2d 23h 25m,,,,38d 8h 31m,
BWEBDEV-7581,,13d 16h 40m,1d 7h 48m,0d 0h 0m,1d 22h 13m,17d 20h 38m,,,,10d 7h 10m,
BWEBDEV-7579,,0d 0h 4m,0d 19h 37m,,0d 4h 39m,7d 20h 48m,,,,36d 5h 40m,
BWEBDEV-7578,,0d 0h 18m,,,0d 0h 24m,0d 17h 22m,,,,44d 8h 47m,
BWEBDEV-7577,,0d 0h 16m,0d 0h 0m,,0d 19h 22m,1d 4h 13m,,,,43d 3h 31m,
BWEBDEV-7575,,0d 0h 33m,2d 2h 16m,,,2d 0h 46m,,,,41d 0h 25m,
BWEBDEV-7574,,0d 1h 13m,2d 19h 16m,,8d 22h 34m,33d 9h 1m,,,,,
BWEBDEV-7573,,0d 23h 4m,0d 1h 25m,,21d 0h 26m,23d 3h 10m,,,,,
BWEBDEV-7571,,1d 3h 4m,0d 17h 19m,,0d 3h 21m,0d 3h 52m,,,,43d 1h 7m,
BWEBDEV-7570,,0d 1h 25m,2d 18h 7m,,0d 0h 12m,6d 4h 49m,,,,36d 4h 19m,
BWEBDEV-7569,,0d 2h 49m,0d 19h 36m,,0d 5h 43m,7d 17h 0m,,,,36d 8h 25m,
BWEBDEV-7567,,0d 2h 40m,0d 19h 6m,,2d 2h 13m,10d 21h 38m,,,,31d 8h 31m,
BWEBDEV-7566,,0d 0h 15m,0d 2h 16m,,0d 20h 22m,10d 0h 34m,,,,34d 6h 45m,
BWEBDEV-7565,,0d 23h 18m,0d 3h 55m,,0d 19h 23m,0d 23h 0m,,,,42d 8h 53m,
BWEBDEV-7564,,0d 3h 4m,2d 21h 46m,,,1d 5h 16m,,,,41d 0h 25m,
BWEBDEV-7563,,0d 0h 33m,0d 0h 0m,,0d 1h 40m,0d 3h 40m,,,,45d 1h 13m,
BWEBDEV-7562,,0d 4h 31m,0d 0h 0m,,0d 0h 12m,20d 22h 10m,,,,24d 4h 34m,
BWEBDEV-7561,,0d 1h 18m,0d 0h 0m,,0d 0h 13m,2d 20h 54m,,,,42d 9h 43m,
BWEBDEV-7560,,0d 0h 4m,0d 1h 7m,,,4d 2h 7m,,,,41d 4h 58m,
BWEBDEV-7558,,1d 1h 22m,0d 0h 4m,,6d 4h 19m,0d 19h 25m,,,,37d 8h 12m,
BWEBDEV-7556,,2d 13h 27m,0d 1h 28m,,2d 6h 34m,43d 1h 42m,,,,,
BWEBDEV-7553,,2d 18h 35m,0d 0h 3m,,2d 2h 49m,8d 22h 40m,,,,34d 6h 43m,
BWEBDEV-7552,,2d 18h 22m,0d 0h 0m,,0d 0h 49m,0d 0h 7m,,,,45d 7h 40m,
BWEBDEV-7549,,0d 0h 1m,0d 0h 42m,,0d 1h 10m,2d 21h 5m,,,,45d 5h 2m,
BWEBDEV-7548,,0d 0h 9m,,,0d 0h 4m,3d 20h 58m,,,,44d 7h 25m,
BWEBDEV-7547,,26d 6h 25m,,,0d 21h 51m,4d 20h 13m,,,,16d 4h 52m,
BWEBDEV-7546,,3d 3h 7m,0d 0h 0m,,7d 17h 19m,6d 0h 19m,,,,31d 9h 49m,
BWEBDEV-7544,,0d 1h 1m,0d 2h 10m,,0d 1h 42m,3d 20h 7m,,,,44d 6h 16m,
BWEBDEV-7543,,2d 23h 28m,0d 1h 46m,,0d 3h 27m,3d 20h 52m,,,,41d 5h 51m,
BWEBDEV-7542,,0d 4h 16m,,,4d 15h 13m,36d 5h 42m,,,,7d 7h 24m,
BWEBDEV-7541,,0d 15h 7m,0d 0h 7m,,0d 0h 28m,6d 3h 43m,,,,42d 4h 45m,
BWEBDEV-7537,,0d 1h 22m,0d 18h 48m,,0d 0h 19m,2d 21h 57m,,,,45d 7h 1m,
BWEBDEV-7536,,0d 23h 43m,2d 17h 15m,,11d 10h 53m,32d 16h 58m,,,,1d 4h 46m,
BWEBDEV-7535,,0d 19h 18m,0d 0h 1m,,0d 3h 37m,11d 18h 6m,,,,36d 8h 57m,
BWEBDEV-7534,,3d 16h 37m,0d 0h 49m,,0d 0h 13m,0d 1h 18m,,,,45d 7h 13m,
BWEBDEV-7532,,0d 16h 36m,0d 7h 24m,,0d 3h 7m,26d 19h 49m,,,,21d 3h 31m,
BWEBDEV-7530,,0d 2h 25m,,,0d 0h 19m,18d 20h 40m,,,,30d 3h 28m,
BWEBDEV-7529,,0d 0h 16m,0d 1h 52m,,0d 0h 13m,18d 21h 7m,,,,30d 3h 30m,
BWEBDEV-7528,,0d 2h 38m,0d 0h 1m,,0d 19h 18m,28d 0h 58m,,,,20d 4h 7m,
BWEBDEV-7527,,0d 0h 22m,0d 0h 0m,,0d 1h 58m,28d 21h 22m,,,,20d 3h 28m,
BWEBDEV-7526,,0d 0h 49m,,,0d 3h 43m,18d 19h 36m,,,,30d 3h 8m,
BWEBDEV-7525,,0d 1h 43m,0d 0h 0m,,0d 20h 53m,3d 20h 15m,,,,44d 8h 25m,
BWEBDEV-7524,,0d 0h 31m,0d 0h 0m,,0d 1h 37m,18d 21h 43m,,,,30d 3h 28m,
BWEBDEV-7523,,0d 0h 3m,0d 18h 52m,,,11d 5h 23m,,,,37d 3h 7m,
BWEBDEV-7522,,0d 0h 9m,0d 0h 7m,,0d 0h 13m,11d 23h 22m,,,,37d 3h 40m,
BWEBDEV-7521,,0d 0h 13m,0d 0h 25m,,0d 0h 10m,11d 23h 8m,,,,37d 3h 43m,
BWEBDEV-7520,,0d 0h 18m,0d 0h 0m,,0d 0h 9m,11d 23h 37m,,,,37d 3h 40m,
BWEBDEV-7519,,3d 20h 32m,0d 2h 43m,,3d 2h 32m,13d 16h 49m,,,,28d 9h 7m,
BWEBDEV-7517,,0d 0h 1m,,,0d 0h 24m,11d 20h 52m,,,,37d 6h 37m,
BWEBDEV-7940,,1d 19h 46m,0d 0h 54m,25d 1h 32m,1d 20h 25m,19d 0h 53m,,,,1d 8h 40m,
BWEBDEV-7516,,0d 0h 16m,0d 0h 7m,,0d 0h 6m,11d 21h 18m,,,,37d 6h 37m,
BWEBDEV-7515,,0d 1h 18m,0d 2h 43m,,0d 22h 10m,0d 1h 13m,,,,48d 1h 15m,
BWEBDEV-7514,,0d 0h 1m,0d 0h 7m,,0d 20h 28m,12d 6h 25m,,,,36d 1h 52m,
BWEBDEV-7513,,0d 0h 7m,0d 0h 31m,,1d 0h 18m,6d 19h 19m,,,,41d 8h 57m,
BWEBDEV-7512,,0d 3h 1m,0d 0h 12m,,0d 17h 15m,0d 0h 52m,,,,48d 9h 2m,
BWEBDEV-7511,,0d 0h 7m,0d 21h 58m,,4d 7h 13m,2d 19h 25m,,,,41d 5h 49m,
BWEBDEV-7509,,0d 0h 4m,0d 0h 10m,,1d 1h 7m,0d 3h 22m,,,,48d 2h 7m,
BWEBDEV-7508,,0d 0h 49m,0d 0h 0m,,0d 20h 58m,3d 7h 58m,,,,45d 1h 57m,
BWEBDEV-7507,,0d 23h 19m,4d 1h 5m,,0d 3h 13m,12d 19h 23m,,,,31d 8h 58m,
BWEBDEV-7506,,1d 0h 4m,0d 0h 0m,,0d 1h 25m,20d 21h 26m,,,,27d 9h 4m,
BWEBDEV-7505,,3d 22h 20m,1d 2h 7m,,0d 3h 13m,16d 19h 16m,,,,27d 9h 4m,
BWEBDEV-7504,,0d 1h 31m,0d 0h 1m,,0d 0h 39m,22d 3h 1m,,,,27d 3h 25m,
BWEBDEV-7503,,0d 0h 10m,1d 0h 43m,,3d 21h 4m,7d 1h 40m,,,,37d 9h 31m,
BWEBDEV-7502,,0d 0h 42m,0d 0h 0m,,0d 0h 7m,0d 5h 31m,,,,49d 3h 19m,
BWEBDEV-7501,,0d 12h 16m,0d 0h 19m,,0d 1h 49m,5d 1h 45m,,,,44d 2h 31m,
BWEBDEV-7499,,0d 15h 37m,0d 0h 4m,,0d 0h 1m,0d 1h 42m,,,,49d 7h 19m,
BWEBDEV-7498,,0d 15h 45m,,,0d 6h 15m,41d 19h 16m,,,,7d 7h 30m,
BWEBDEV-7497,,0d 0h 1m,0d 0h 7m,,0d 0h 16m,0d 18h 37m,,,,49d 7h 2m,
BWEBDEV-7496,,0d 18h 22m,0d 0h 6m,,0d 0h 0m,0d 2h 36m,,,,49d 6h 9m,
BWEBDEV-7495,,0d 0h 49m,0d 19h 19m,,0d 0h 13m,6d 1h 7m,,,,43d 5h 57m,
BWEBDEV-7494,,9d 2h 1m,9d 17h 19m,,0d 5h 4m,8d 19h 46m,,,,22d 7h 19m,
BWEBDEV-7493,,0d 0h 55m,0d 17h 37m,,0d 2h 46m,0d 0h 49m,,,,49d 5h 28m,
BWEBDEV-7492,,0d 0h 28m,0d 0h 12m,,0d 0h 12m,29d 20h 28m,,,,20d 6h 37m,
BWEBDEV-7491,,0d 1h 11m,0d 0h 0m,,0d 20h 30m,12d 22h 1m,,,,36d 8h 23m,
BWEBDEV-7490,,0d 1h 34m,0d 19h 36m,,0d 0h 51m,28d 23h 46m,,,,20d 6h 25m,
BWEBDEV-7489,,0d 1h 43m,0d 0h 43m,,0d 0h 4m,29d 19h 23m,,,,20d 6h 34m,
BWEBDEV-7488,,0d 0h 18m,0d 0h 46m,,0d 18h 1m,19d 6h 4m,,,,30d 3h 28m,
BWEBDEV-7487,,0d 23h 22m,0d 1h 21m,,0d 8h 49m,17d 11h 51m,,,,31d 8h 7m,
BWEBDEV-7485,,0d 0h 54m,0d 21h 1m,,0d 3h 22m,0d 21h 49m,,,,48d 7h 4m,
BWEBDEV-7483,,0d 0h 4m,,,0d 0h 15m,0d 1h 6m,,,,50d 4h 55m,
BWEBDEV-7482,,0d 0h 21m,0d 1h 21m,,0d 19h 53m,6d 23h 50m,,,,42d 8h 55m,
BWEBDEV-7481,,0d 0h 1m,0d 1h 19m,,0d 0h 30m,1d 21h 31m,,,,48d 7h 34m,
BWEBDEV-7480,,0d 0h 31m,0d 0h 1m,,0d 0h 40m,5d 22h 54m,,,,44d 7h 9m,
BWEBDEV-7479,,0d 0h 34m,0d 2h 13m,,0d 0h 37m,0d 19h 0m,,,,49d 9h 5m,
BWEBDEV-7478,,0d 0h 3m,0d 0h 0m,,0d 22h 15m,4d 21h 1m,,,,44d 12h 40m,
BWEBDEV-7476,,0d 1h 4m,0d 0h 37m,,0d 3h 10m,0d 23h 28m,,,,49d 4h 12m,
BWEBDEV-7475,,0d 0h 7m,1d 2h 11m,,5d 1h 30m,0d 3h 4m,,,,44d 1h 46m,
BWEBDEV-7474,,0d 2h 49m,1d 2h 25m,0d 0h 1m,0d 2h 15m,7d 20h 24m,,,,41d 5h 51m,
BWEBDEV-7473,,0d 16h 7m,0d 5h 19m,,3d 19h 5m,46d 7h 34m,,,,,
BWEBDEV-7472,,0d 15h 46m,0d 0h 9m,,0d 4h 50m,0d 22h 43m,,,,49d 5h 31m,
BWEBDEV-7471,,0d 0h 10m,0d 16h 37m,,0d 0h 25m,0d 1h 19m,,,,50d 6h 47m,
BWEBDEV-7469,,0d 1h 26m,0d 0h 0m,,0d 19h 1m,,,,,50d 7h 34m,
BWEBDEV-7468,,0d 21h 49m,0d 0h 0m,,0d 1h 11m,1d 1h 34m,,,,49d 3h 46m,
BWEBDEV-7467,,0d 0h 9m,0d 20h 31m,,0d 4h 49m,7d 19h 1m,,,,42d 7h 55m,
BWEBDEV-7466,,0d 0h 10m,0d 0h 0m,,0d 0h 28m,23d 2h 7m,,,,28d 1h 40m,
BWEBDEV-7465,,0d 0h 9m,0d 22h 43m,,0d 1h 57m,0d 3h 0m,,,,50d 3h 40m,
BWEBDEV-7464,,0d 0h 10m,0d 1h 53m,,0d 0h 51m,0d 1h 34m,,,,51d 3h 1m,
BWEBDEV-7463,,0d 16h 51m,0d 1h 43m,,2d 4h 46m,11d 0h 4m,,,,38d 2h 45m,
BWEBDEV-7462,,0d 0h 6m,0d 17h 45m,,0d 0h 22m,0d 3h 57m,,,,51d 4h 20m,
BWEBDEV-7461,,0d 0h 12m,0d 18h 41m,,0d 0h 55m,10d 0h 58m,,,,41d 5h 49m,
BWEBDEV-7460,,0d 0h 6m,0d 0h 25m,,0d 0h 43m,0d 19h 40m,,,,51d 6h 37m,
BWEBDEV-7459,,0d 0h 1m,0d 0h 27m,,0d 1h 16m,7d 19h 34m,,,,44d 6h 19m,
BWEBDEV-7458,,0d 0h 7m,0d 1h 46m,,1d 21h 46m,1d 1h 22m,,,,49d 2h 45m,
BWEBDEV-7457,,0d 0h 10m,0d 0h 6m,,0d 21h 19m,26d 21h 52m,,,,24d 8h 49m,
BWEBDEV-7456,,0d 0h 55m,,,0d 0h 37m,37d 21h 31m,,,,14d 6h 15m,
BWEBDEV-7455,,0d 0h 13m,0d 2h 46m,,0d 0h 3m,52d 3h 17m,,,,,
BWEBDEV-7454,,0d 2h 40m,0d 0h 3m,,3d 2h 25m,0d 22h 49m,,,,48d 2h 24m,
BWEBDEV-7453,,0d 0h 4m,0d 1h 7m,,0d 1h 55m,0d 21h 41m,,,,51d 5h 57m,
BWEBDEV-7452,,0d 0h 22m,,,0d 5h 22m,2d 22h 46m,,,,49d 2h 20m,
BWEBDEV-7450,,0d 21h 51m,0d 4h 24m,,0d 21h 18m,1d 1h 55m,,,,49d 5h 43m,
BWEBDEV-7449,,0d 0h 6m,0d 4h 42m,,0d 0h 25m,24d 23h 22m,,,,27d 3h 49m,
BWEBDEV-7448,,0d 0h 15m,0d 0h 18m,,0d 0h 18m,0d 3h 52m,,,,52d 3h 52m,
BWEBDEV-7447,,0d 17h 43m,1d 1h 30m,,0d 5h 57m,1d 20h 15m,,,,49d 6h 49m,
BWEBDEV-7446,,0d 0h 37m,0d 0h 15m,,2d 20h 27m,5d 4h 49m,,,,47d 1h 34m,
BWEBDEV-7445,,0d 0h 31m,5d 3h 4m,,0d 14h 43m,42d 0h 6m,,,,7d 9h 16m,
BWEBDEV-7444,,0d 0h 1m,2d 18h 52m,,0d 0h 49m,30d 6h 1m,,,,22d 2h 1m,
BWEBDEV-7443,,0d 0h 1m,,,,5d 21h 5m,,,,49d 6h 55m,
BWEBDEV-7442,,0d 0h 15m,0d 2h 31m,,0d 0h 13m,9d 18h 33m,,,,45d 8h 46m,
BWEBDEV-7441,,0d 0h 10m,4d 2h 49m,,0d 0h 0m,0d 0h 0m,,,,51d 4h 22m,
BWEBDEV-7440,,0d 4h 55m,0d 0h 3m,,2d 17h 35m,20d 23h 53m,,,,31d 9h 10m,
BWEBDEV-7439,,0d 0h 46m,0d 0h 25m,,0d 1h 49m,0d 2h 52m,,,,55d 3h 13m,
BWEBDEV-7437,,1d 22h 43m,0d 3h 58m,,0d 2h 58m,3d 18h 28m,,,,51d 8h 30m,
BWEBDEV-7436,,0d 0h 43m,0d 2h 31m,,0d 16h 45m,5d 4h 4m,,,,52d 3h 7m,
BWEBDEV-7434,,0d 2h 21m,0d 0h 1m,,0d 0h 4m,5d 20h 41m,,,,52d 5h 43m,
BWEBDEV-7433,,0d 0h 52m,0d 21h 23m,,2d 2h 40m,6d 2h 30m,,,,49d 3h 19m,
BWEBDEV-7432,,0d 7h 19m,5d 14h 52m,,3d 2h 20m,0d 1h 43m,,,,49d 4h 43m,
BWEBDEV-7431,,0d 1h 11m,0d 2h 32m,,0d 0h 0m,26d 22h 25m,,,,31d 5h 16m,
BWEBDEV-7427,,0d 6h 55m,,,0d 0h 7m,3d 8h 7m,,,,55d 2h 46m,
BWEBDEV-7426,,0d 10h 22m,1d 4h 52m,,1d 22h 34m,0d 1h 19m,,,,55d 4h 45m,
BWEBDEV-7423,,0d 15h 46m,0d 0h 1m,,0d 0h 27m,34d 2h 34m,,,,24d 7h 51m,
BWEBDEV-7422,,0d 0h 22m,0d 0h 0m,,0d 17h 30m,6d 1h 18m,,,,52d 7h 39m,
BWEBDEV-7420,,0d 1h 1m,0d 1h 52m,,7d 17h 46m,45d 5h 1m,,,,6d 2h 37m,
BWEBDEV-7419,,0d 0h 24m,0d 2h 46m,,1d 19h 17m,4d 23h 7m,,,,52d 8h 12m,
BWEBDEV-7417,,1d 7h 7m,2d 15h 38m,,0d 1h 15m,12d 4h 11m,,,,43d 2h 31m,
BWEBDEV-7413,,0d 1h 57m,,,0d 21h 18m,6d 22h 13m,,,,51d 9h 42m,
BWEBDEV-7411,,0d 3h 32m,0d 0h 0m,,0d 0h 0m,6d 18h 26m,,,,52d 9h 46m,
BWEBDEV-7410,,0d 4h 52m,0d 0h 28m,,4d 16h 10m,17d 1h 58m,,,,37d 8h 40m,
BWEBDEV-7408,,5d 14h 22m,0d 0h 42m,,11d 23h 33m,3d 14h 10m,,,,43d 20h 25m,
BWEBDEV-7407,,5d 20h 43m,,,1d 1h 0m,7d 4h 0m,,,,51d 2h 58m,
BWEBDEV-7405,,6d 20h 40m,0d 0h 30m,,7d 5h 4m,2d 22h 49m,,,,48d 4h 7m,
BWEBDEV-7404,,0d 1h 1m,5d 20h 3m,,0d 6h 5m,6d 18h 4m,,,,52d 8h 34m,
BWEBDEV-7402,,9d 23h 7m,0d 3h 46m,,0d 2h 31m,12d 20h 7m,,,,42d 6h 46m,
BWEBDEV-7401,,0d 15h 13m,6d 1h 45m,,0d 2h 51m,17d 22h 28m,,,,41d 4h 42m,
BWEBDEV-7398,,0d 0h 12m,0d 16h 52m,,0d 0h 19m,12d 22h 28m,,,,52d 9h 49m,
BWEBDEV-7397,,0d 0h 13m,34d 17h 40m,,1d 7h 31m,5d 17h 15m,,,,24d 8h 30m,
BWEBDEV-7393,,0d 0h 4m,0d 22h 10m,,1d 14h 16m,27d 7h 34m,,,,36d 9h 4m,
BWEBDEV-7392,,0d 0h 55m,10d 22h 52m,,0d 2h 49m,18d 18h 22m,0d 0h 0m,,,36d 8h 58m,
BWEBDEV-7390,,0d 2h 42m,0d 0h 46m,,1d 0h 43m,16d 0h 3m,,,,49d 3h 5m,
BWEBDEV-7389,,0d 2h 22m,0d 3h 27m,,0d 17h 0m,12d 23h 45m,,,,52d 8h 50m,
BWEBDEV-7388,,0d 5h 49m,0d 17h 40m,,6d 1h 46m,22d 21h 16m,,,,36d 9h 0m,
BWEBDEV-7382,,2d 14h 58m,0d 20h 10m,,0d 4h 43m,17d 0h 52m,,,,48d 2h 7m,
BWEBDEV-7381,,2d 11h 36m,0d 4h 37m,,0d 0h 27m,13d 16h 37m,,,,52d 9h 46m,
BWEBDEV-7378,,2d 17h 58m,0d 4h 10m,,38d 1h 40m,0d 21h 58m,,,,27d 4h 36m,
BWEBDEV-7373,,0d 0h 3m,0d 0h 0m,,0d 0h 3m,16d 20h 41m,,,,52d 9h 13m,
BWEBDEV-7372,,3d 3h 15m,0d 22h 13m,,0d 1h 16m,12d 19h 22m,,,,52d 8h 35m,
BWEBDEV-7371,,3d 22h 50m,7d 5h 1m,,2d 22h 19m,14d 5h 22m,,,,41d 0h 23m,
BWEBDEV-7367,,0d 0h 15m,3d 21h 25m,,0d 5h 40m,29d 11h 25m,,,,36d 10h 40m,
BWEBDEV-7366,,0d 23h 45m,3d 16h 7m,,11d 6h 58m,22d 18h 22m,,,,31d 8h 55m,
BWEBDEV-7362,,1d 0h 22m,3d 1h 12m,,0d 0h 33m,14d 19h 8m,,,,51d 7h 16m,
BWEBDEV-7361,,0d 1h 16m,0d 0h 0m,,4d 19h 46m,55d 22h 49m,,,,9d 8h 49m,
BWEBDEV-7360,,1d 0h 52m,0d 2h 0m,,2d 17h 34m,13d 23h 58m,,,,52d 8h 35m,
BWEBDEV-7358,,0d 3h 46m,0d 19h 28m,,0d 5h 7m,17d 18h 38m,,,,51d 7h 2m,
BWEBDEV-7357,,0d 1h 28m,0d 0h 28m,,0d 1h 55m,20d 19h 7m,,,,49d 7h 16m,
BWEBDEV-7356,,3d 21h 16m,0d 4h 52m,,8d 0h 25m,5d 18h 35m,,,,52d 9h 16m,
BWEBDEV-7352,,1d 4h 37m,2d 21h 50m,,7d 21h 31m,9d 7h 13m,,,,49d 0h 31m,
BWEBDEV-7351,,0d 0h 54m,0d 0h 1m,,3d 1h 50m,22d 21h 31m,,,,44d 7h 28m,
BWEBDEV-7348,,0d 0h 25m,0d 2h 43m,,0d 2h 25m,17d 18h 19m,,,,52d 8h 9m,
BWEBDEV-7341,,5d 0h 13m,0d 3h 19m,,0d 0h 0m,20d 20h 19m,,,,45d 3h 5m,
BWEBDEV-7340,,0d 0h 25m,0d 0h 39m,,5d 20h 16m,13d 4h 15m,,,,52d 1h 24m,
BWEBDEV-7336,,0d 21h 13m,0d 0h 1m,,0d 3h 55m,14d 21h 56m,,,,55d 5h 55m,
