Key,Resolution Date,Backlog,To Do,Open,In Progress,AC Test,Code review,Discovery,Delivery,Done,Cancelled
BWEBDEV-8104,,0d 0h 16m,0d 0h 58m,,,14d 6h 13m,,,,,
BWEBDEV-8150,,8d 5h 5m,2d 21h 12m,,2d 5h 7m,1d 0h 28m,,,,,
BWEBDEV-8102,,0d 10h 26m,0d 0h 0m,,0d 22h 34m,10d 1h 1m,,,,3d 9h 24m,
BWEBDEV-8101,,0d 16h 55m,0d 0h 28m,,0d 0h 43m,0d 2h 16m,,,,14d 4h 6m,
BWEBDEV-8099,,0d 1h 4m,0d 20h 43m,,0d 21h 7m,2d 21h 31m,,,,10d 8h 19m,
BWEBDEV-8097,,0d 19h 55m,0d 1h 13m,,0d 21h 56m,13d 8h 19m,,,,,
BWEBDEV-8096,,0d 0h 46m,0d 0h 0m,,0d 1h 23m,1d 0h 38m,,,,14d 0h 49m,
BWEBDEV-8095,,0d 1h 23m,0d 0h 4m,,0d 0h 0m,15d 2h 46m,,,,,
BWEBDEV-8094,,0d 1h 57m,0d 0h 4m,,0d 17h 58m,1d 5h 52m,,,,13d 2h 22m,
BWEBDEV-8093,,0d 0h 22m,0d 0h 0m,,0d 0h 15m,1d 1h 23m,,,,14d 2h 13m,
BWEBDEV-8090,,0d 20h 7m,0d 0h 0m,,0d 6h 28m,0d 20h 25m,,,,13d 5h 31m,
BWEBDEV-8089,,0d 20h 19m,0d 0h 33m,,0d 0h 13m,0d 5h 43m,,,,14d 1h 46m,
BWEBDEV-8088,,1d 19h 13m,0d 0h 0m,,0d 6h 46m,13d 2h 38m,,,,,
BWEBDEV-8087,,0d 3h 16m,0d 17h 31m,,,6d 6h 56m,,,,8d 0h 56m,
BWEBDEV-8086,,0d 3h 40m,0d 18h 41m,,,7d 5h 56m,,,,7d 1h 3m,
BWEBDEV-8085,,0d 5h 13m,,,0d 0h 1m,0d 0h 43m,,,,15d 0h 10m,
BWEBDEV-8084,,0d 0h 28m,0d 1h 16m,,0d 1h 43m,0d 1h 22m,,,,15d 1h 34m,
BWEBDEV-8083,,0d 22h 16m,0d 0h 0m,,0d 0h 27m,0d 6h 10m,,,,14d 1h 46m,
BWEBDEV-8082,,0d 3h 53m,4d 19h 46m,,0d 0h 28m,0d 22h 34m,,,,9d 8h 4m,
BWEBDEV-8080,,0d 3h 58m,0d 1h 55m,,,15d 2h 21m,,,,,
BWEBDEV-8078,,2d 16h 28m,3d 0h 5m,,7d 0h 52m,1d 21h 49m,,,,1d 5h 4m,
BWEBDEV-8077,,0d 14h 43m,0d 0h 16m,,2d 0h 15m,6d 0h 15m,,,,7d 6h 54m,
BWEBDEV-8076,,0d 17h 55m,2d 2h 1m,,0d 1h 4m,13d 1h 43m,,,,,
BWEBDEV-8074,,9d 23h 31m,2d 17h 13m,,2d 4h 4m,1d 5h 15m,,,,,
BWEBDEV-8073,,0d 0h 12m,,,0d 20h 46m,5d 20h 28m,,,,9d 8h 43m,
BWEBDEV-8072,,0d 0h 51m,,,0d 0h 27m,8d 21h 4m,,,,7d 5h 52m,
BWEBDEV-8071,,0d 1h 55m,5d 21h 26m,,0d 5h 40m,1d 14h 40m,,,,8d 8h 34m,
BWEBDEV-8067,,0d 2h 34m,0d 1h 3m,,7d 0h 43m,2d 16h 40m,,,,6d 8h 26m,
BWEBDEV-8066,,0d 0h 49m,0d 0h 0m,,0d 0h 58m,0d 0h 33m,,,,16d 3h 45m,
BWEBDEV-8065,,1d 3h 46m,0d 0h 4m,,1d 20h 21m,0d 1h 36m,,,,13d 4h 28m,
BWEBDEV-8064,,0d 0h 9m,1d 1h 28m,,1d 21h 52m,7d 0h 16m,,,,6d 7h 1m,
